Name,Season,playerid,runsPredicted,HRsPredicted,RBIsPredicted,AVGPredicted,opsPredicted,linearSVRRuns,linearSvrHR,linearSvrRBI,linearSvrAVG,linearSvrOPS,svrRuns,SvrHR,svrRBI,svrAVG,svrOPS,runs,hr,rbi,avg,ops
Will Venable,2018,211,41.57628857,6.387189773,31.7878097,0.253352211,0.670002177,41.40907015,6.346720481,32.47474192,0.258162072,0.669368046,42.26573742,7.448583353,31.82606746,0.257,0.736251238,#REF!,#REF!,#REF!,#REF!,#REF!
Victor Martinez,2018,393,57.06457521,13.00108393,60.06657861,0.258266642,0.732409038,57.41895892,12.80628326,57.2370936,0.26078388,0.731960671,55.70807739,12.40175474,56.41179288,0.257,0.778174863,#REF!,#REF!,#REF!,#REF!,#REF!
Juan Uribe,2018,454,42.91134388,11.81443608,43.72088984,0.23688611,0.698394263,42.23006,11.65394364,42.70356771,0.23737917,0.697995181,40.587658,11.43651016,41.22614213,0.257,0.764949333,#REF!,#REF!,#REF!,#REF!,#REF!
Carlos Beltran,2018,589,61.37191638,18.00416962,69.77152344,0.254321079,0.735407122,60.66738696,17.58134416,66.35677049,0.254145326,0.735239447,60.8810041,18.51989542,65.67803851,0.257,0.788277122,#REF!,#REF!,#REF!,#REF!,#REF!
Brandon Barnes,2018,629,28.8830802,-0.70660273,20.69009213,0.248990298,0.655010205,28.66803589,-0.483560392,20.59370829,0.257585814,0.654326344,28.75663323,1.506305386,20.5162296,0.257,0.71378827,#REF!,#REF!,#REF!,#REF!,#REF!
Adrian Beltre,2018,639,65.30236624,20.613652,72.96074547,0.28516751,0.89134866,66.90141565,20.48587373,69.70918656,0.288689303,0.890939769,65.49815822,21.1769621,70.42546251,0.257,0.839173504,#REF!,#REF!,#REF!,#REF!,#REF!
Torii Hunter,2018,731,61.51822967,20.97810234,68.64048389,0.237652769,0.702083785,61.08183282,20.30323886,67.65902837,0.236002126,0.701944214,61.75698681,22.02793735,68.03572073,0.257,0.779652988,#REF!,#REF!,#REF!,#REF!,#REF!
David Ortiz,2018,745,75.00606304,27.5818828,90.4859888,0.273482126,0.880105533,76.12593681,27.16125882,85.74413998,0.274737216,0.879703036,76.82483082,28.62854445,83.6971785,0.257,0.840847493,#REF!,#REF!,#REF!,#REF!,#REF!
A.J. Pierzynski,2018,746,43.18082909,8.974915114,43.33732455,0.243949067,0.694790758,43.22570252,8.888370884,42.10437048,0.245519754,0.694291889,43.6943842,8.459581415,40.59082996,0.257,0.75623792,#REF!,#REF!,#REF!,#REF!,#REF!
Todd Frazier,2018,785,78.29579197,27.91458813,82.89495427,0.232159557,0.773736937,76.31240797,27.18127326,82.10615028,0.229034292,0.77362427,73.34454519,29.40192289,81.46718964,0.257,0.812024602,#REF!,#REF!,#REF!,#REF!,#REF!
Brandon Phillips,2018,791,70.33317856,13.06617393,63.58246037,0.277737793,0.734141328,69.73936687,12.75296951,62.07453927,0.282016886,0.733740303,72.28396923,11.47783572,63.60248903,0.257,0.774610127,#REF!,#REF!,#REF!,#REF!,#REF!
Marlon Byrd,2018,950,64.35279285,23.51937183,70.0448117,0.253461683,0.743045235,62.15626043,22.94107033,71.8102267,0.252585384,0.742990023,61.73681028,24.79580762,70.61453455,0.257,0.800628252,#REF!,#REF!,#REF!,#REF!,#REF!
Jimmy Rollins,2018,971,63.06343098,11.93154988,47.76498515,0.2265516,0.643070415,58.99753818,11.50368777,51.57177456,0.224211057,0.642823295,58.56534847,10.44185033,52.95092373,0.257,0.728062787,#REF!,#REF!,#REF!,#REF!,#REF!
