Name,Season,League,Position,playerid,runsPredicted,HRsPredicted,RBIsPredicted,AVGPredicted,opsPredicted,linearSvrRBI,linearSvrAVG,linearSvrHR,linearSvrOPS,linearSVRRuns,svrRBI,svrAVG,SvrHR,svrOPS,svrRuns,runsActual,HRsActual,RBIsActuals,AVGActuals,OpsActuals
Ronald Acuna Jr.,2019,NL,OF,18401,76.30676841,25.23311758,71.27869305,0.292572689,0.91796796,73.02457727,0.299801427,25.23385349,0.919207025,73.12636835,75.27914471,0.2565,26.65723191,0.856925529,23.48225735,127,41,101,0.28,0.883
Cody Bellinger,2019,NL,OF,15998,84.47444787,28.27619497,81.92742287,0.277986566,0.848902905,82.90424452,0.280802695,28.00446175,0.849796123,82.0123844,87.64493923,0.2565,31.06713568,0.818562257,24.31575356,121,47,115,0.305,1.035
Anthony Rendon,2019,NL,3B,12861,84.94591524,25.6257819,87.95879363,0.29064305,0.905912813,84.74929721,0.296206423,25.36941979,0.906981014,86.48309022,86.79393137,0.2565,24.64313344,0.836598776,33.07460371,117,34,126,0.319,1.01
Freddie Freeman,2019,NL,1B,5361,96.0010962,27.94931893,92.98614053,0.312899557,0.929253574,90.23642023,0.319951063,27.71155649,0.930456641,96.27004762,91.34418912,0.2565,29.17082021,0.84952073,60.16569918,113,38,121,0.295,0.938
Charlie Blackmon,2019,NL,OF,7859,111.0669345,30.11619542,88.97597184,0.30355002,0.909281428,93.33702112,0.311523028,29.84035144,0.910365733,106.4977106,86.903538,0.2565,29.88691519,0.836838554,54.44653526,112,32,86,0.314,0.94
Trevor Story,2019,NL,SS,12564,84.52405335,32.06306416,91.63071615,0.281920501,0.869328963,93.62173848,0.290771778,31.6925271,0.870241317,82.23261002,93.74716567,0.2565,34.25305818,0.821771334,34.21601948,111,35,85,0.294,0.917
Juan Soto,2019,NL,OF,20123,74.39634384,23.46465017,67.93099042,0.296986469,0.922897664,67.00824959,0.304163516,23.5120592,0.924078857,74.16271397,69.88867159,0.2565,25.23188832,0.842354545,24.62390707,110,34,110,0.282,0.949
Kris Bryant,2019,NL,3B,15429,81.14748931,20.79541341,69.41334765,0.289232654,0.878012322,69.46237607,0.295867103,20.72683637,0.878996556,80.03023186,73.2864986,0.2565,19.913626,0.823919651,26.22284951,108,31,77,0.282,0.903
Adam Eaton,2019,NL,OF,11205,64.36538305,7.293522832,42.67833404,0.287719751,0.800514661,43.75821878,0.290556027,7.429458457,0.800813936,64.00654165,46.95343493,0.2565,7.214671355,0.801217697,41.9132996,103,15,49,0.279,0.792
Nolan Arenado,2019,NL,3B,9777,99.78937042,36.34675169,110.4340678,0.29262762,0.941837795,107.4734616,0.301828933,35.89065844,0.943150227,99.64086552,96.36011343,0.2565,35.41670306,0.863668968,49.62293369,102,41,118,0.315,0.962
Ozzie Albies,2019,NL,2B,16556,71.55581919,17.78919522,59.73934373,0.259442119,0.77292664,63.4966975,0.259123907,17.65361556,0.773182777,68.41616458,66.91811966,0.2565,17.36944505,0.797875354,30.79806021,102,24,86,0.295,0.852
