"Name","Team","PA","HR","R","RBI","AVG","OPS","playerid"
"Christian Yelich","Brewers","580","44","100","97",".329","1.100","11477"
"Mike Trout","Angels","600","45","110","104",".291","1.083","10155"
"Yordan Alvarez","Astros","369","27","58","78",".313","1.067","19556"
"Alex Bregman","Astros","690","41","122","112",".296","1.015","17678"
"Nelson Cruz","Twins","521","41","81","108",".311","1.031","2434"
"David Freese","Dodgers","186","11","35","29",".315","1.002","9549"
"Cody Bellinger","Dodgers","660","47","121","115",".305","1.035","15998"
"Anthony Rendon","Nationals","646","34","117","126",".319","1.010","12861"
"Ketel Marte","Diamondbacks","628","32","97","92",".329",".981","13613"
"Mitch Garver","Twins","359","31","70","67",".273",".995","15161"
"Joey Gallo","Rangers","297","22","54","49",".253",".986","14128"
"George Springer","Astros","556","39","96","96",".292",".974","12856"
"Howie Kendrick","Nationals","370","17","61","62",".344",".966","4229"
"Fernando Tatis Jr.","Padres","372","22","61","53",".317",".969","19709"
"Juan Soto","Nationals","659","34","110","110",".282",".949","20123"
"Nolan Arenado","Rockies","662","41","102","118",".315",".962","9777"
"Anthony Rizzo","Cubs","613","27","89","94",".293",".924","3473"
"Xander Bogaerts","Red Sox","698","33","110","117",".309",".939","12161"
"Keston Hiura","Brewers","348","19","51","49",".303",".938","20003"
"Charlie Blackmon","Rockies","634","32","112","86",".314",".940","7859"
"Freddie Freeman","Braves","692","38","113","121",".295",".938","5361"
"J.D. Martinez","Red Sox","657","36","98","105",".304",".939","6184"
"Mark Canha","Athletics","497","26","80","58",".273",".913","11445"
"Jeff McNeil","Mets","567","23","83","75",".318",".916","15362"
"Bo Bichette","Blue Jays","212","11","32","21",".311",".930","19612"
"Peter Alonso","Mets","693","53","103","120",".260",".941","19251"
"Jordan Luplow","Indians","261","15","42","38",".276",".923","16424"
"Aaron Judge","Yankees","447","27","75","55",".272",".921","15640"
"Eugenio Suarez","Reds","662","49","87","103",".271",".930","12552"
"Carlos Correa","Astros","321","21","42","59",".279",".926","14162"
"Mookie Betts","Red Sox","706","29","135","80",".295",".915","13611"
"Trevor Story","Rockies","656","35","111","85",".294",".917","12564"
"Carlos Santana","Indians","686","34","110","93",".281",".911","2396"
"Austin Meadows","Rays","591","33","83","89",".291",".922","15672"
"Kris Bryant","Cubs","634","31","108","77",".282",".903","15429"
"Yoan Moncada","White Sox","559","25","83","79",".315",".915","17232"
"Miguel Sano","Twins","439","34","76","79",".247",".923","12164"
"Josh Bell","Pirates","613","37","94","116",".277",".936","13145"
"Jorge Soler","Royals","679","48","95","117",".265",".922","14221"
"Josh Donaldson","Braves","659","37","96","94",".259",".900","5038"
"Hunter Pence","Rangers","316","18","53","59",".297",".910","8252"
"Rafael Devers","Red Sox","702","32","129","115",".311",".916","17350"
"DJ LeMahieu","Yankees","655","26","109","102",".327",".893","9874"
"Nick Solak","Rangers","135","5","19","17",".293",".884","19294"
"Jose Altuve","Astros","548","31","89","74",".298",".903","5417"
"J.D. Davis","Mets","453","22","65","57",".307",".895","16219"
"Trey Mancini","Orioles","679","35","106","97",".291",".899","15149"
"Marcus Semien","Athletics","747","33","123","92",".285",".892","12533"
"Max Muncy","Dodgers","589","35","101","98",".251",".889","13301"
"Mike Ford","Yankees","163","12","30","25",".259",".909","15585"
"Matt Joyce","Braves","238","7","32","23",".295",".858","3353"
"Bryan Reynolds","Pirates","546","16","83","68",".314",".880","19326"
"Justin Turner","Dodgers","549","27","80","67",".290",".881","5235"
"Giovanny Urshela","Yankees","476","21","73","74",".314",".889","10681"
"Ronald Acuna Jr.","Braves","715","41","127","101",".280",".883","18401"
"Will Smith","Dodgers","196","15","30","42",".253",".907","19197"
"Dominic Smith","Mets","197","11","35","25",".282",".881","15653"
"Willson Contreras","Cubs","409","24","57","64",".272",".888","11609"
"Matt Olson","Athletics","547","36","73","91",".267",".896","14344"
"Ian Happ","Cubs","156","11","25","30",".264",".898","17919"
"Brad Miller","- - -","170","13","26","25",".260",".894","12775"
"Michael Brantley","Astros","637","22","88","90",".311",".875","4106"
