,Name,Season,playerid,weightBABIP,weightOBP,weightwOBA,weightOPS,weightwRC+,weightwRAA,weight1B,AVGPredicted,linearSvrAVG,svrAVG,BayesRidgeAVG,HuberRegressorAVG,RidgeAVG,ARDRegressionAVG
263,Mike Trout,2019,10155,1.084404602465879,3.532253082925892,3.1823414979064295,3.3394610669466136,3.421116862820896,3.7764662551290717,0.3576096884884232,0.3255245918920616,0.3369952053871412,0.2565,0.3240752312795012,0.32511769949593494,0.3217029168295097,0.3155120066315605
153,J.D. Martinez,2019,6184,1.6569385246634307,1.8175454706376843,2.711330806653387,2.8828184137209716,2.6616480112068643,3.2618265147288223,0.7723153010802133,0.3191748286880567,0.3301541908853423,0.2565,0.31891464381863205,0.32020814310941154,0.3184893171386848,0.3222537170198061
393,Tyler Naquin,2019,13359,3.0359745584181135,1.278557572964031,1.376351933159047,1.3966541423138887,1.319517871317517,0.8717012381664001,-0.33237464970308983,0.31408651942532717,0.32302867575369465,0.2565,0.31382924374359034,0.31477137452310705,0.3133899844949224,0.3111509078396636
128,Freddie Freeman,2019,5361,1.420217768370212,1.8845698724209354,1.782766872468815,1.8398050807851363,1.6972431202684113,2.288825161007666,1.2585218813602432,0.312899557471012,0.31995106315702365,0.2565,0.3124698637862483,0.31339015171485995,0.31176188174528635,0.3116496254580207
224,Paul Goldschmidt,2019,9218,1.469763973175769,1.9404235405736467,1.8662030520622122,1.883393697683947,1.717334888829629,2.6095426803875315,1.115519945983764,0.3095037321531788,0.3185285704931981,0.2565,0.30928074440128805,0.310385804572908,0.30891771203576374,0.3113108369616771
313,Christian Yelich,2019,11477,1.6376705561279365,1.7672771693002451,1.9227243350125778,1.8325403113020011,1.9262892818662938,2.547840155517409,1.5695510908040862,0.3110219918544419,0.3176968374859152,0.2565,0.31129838727952225,0.3119065405350001,0.3117700395050188,0.317874992101379
132,Jose Altuve,2019,5417,1.5468358473177486,1.898533289459114,1.4947774783883836,1.3561789980507086,1.745463364815334,1.9409856526739009,2.2631104773800113,0.31605857495913836,0.3176429587938097,0.2565,0.316003191896016,0.3160623862018622,0.31593550900778444,0.31834810271229863
461,Aaron Judge,2019,15640,1.76153606814183,2.0884357611783297,2.1488094668140376,2.1438875748649378,2.2919594696804575,2.4685083378272523,0.05015552742899252,0.3068756909722743,0.3168963032720601,0.2565,0.30653210517188456,0.3073705743756212,0.30598115029684814,0.3069561647978587
399,Mookie Betts,2019,13611,0.8999826179118591,2.1247406454775897,2.318373315665133,2.34522547196897,2.2718677011192394,2.92958215004355,1.1476953814434716,0.3074432487298413,0.31535975511571057,0.2565,0.30727536716673126,0.30797566534965803,0.3070076832701755,0.3094849288729029
4,David Ortiz,2019,745,0.3109332941124543,2.08843576117833,2.587522282095443,2.797716828347103,2.525023984990584,3.26521676334806,0.5256369625557865,0.302189028486083,0.31205363641941897,0.2565,0.30151746351427766,0.3025952425244495,0.3004138324032934,0.3002336505917104
