,Name,Season,playerid,weightwRC,weightHR,weightPA,weightAB,weightR,weightH,weight2B,RBIsPredicted,linearSvrRBI,svrRBI,BayesRidgeRBI,HuberRegressorRBI,RidgeRBI,ARDRegressionRBI
4,David Ortiz,2019,745,2.40358542860014,2.303023579781287,1.1474294568756664,0.9840116926980146,0.9438591932530369,1.5191025019653792,2.7846452285822076,121.72843824856561,114.13901242021048,88.94068877564047,121.37416855807152,122.5044850590527,118.48831790195675,121.3811359259343
107,Giancarlo Stanton,2019,4949,1.9242089110811986,2.8253400148508088,1.488313280945579,1.3816648301066752,1.9471236436858583,1.2724745944638167,1.1286826382737474,112.43062537038352,108.27799389435154,95.70540583719618,112.21966703792813,112.61218972065214,110.55462673975347,112.29690845697885
220,Khris Davis,2019,9112,1.5259034222603138,3.09654277921383,1.299373797061868,1.2355124643053577,1.5774998987895557,0.8462632591698542,0.673292925938921,110.37513482080723,107.74840102274875,92.04949707834643,110.32909772744748,110.20066731238038,109.94488990460812,110.34618203831307
242,Nolan Arenado,2019,9777,2.2590675078775178,2.303023579781287,1.4869920258135252,1.4335971428279555,1.959309041869253,1.7657304094669417,1.8738658039125544,110.43406784852615,107.47346162206222,96.36011343012294,110.34053906113033,110.88305551931286,109.58251174449683,110.35873058513718
153,J.D. Martinez,2019,6184,2.262592335212216,2.654582718770388,0.8950697266533669,0.8356336563514996,1.7562190721460098,1.4520580222562165,1.2839291311151655,110.30938315563546,107.02775663123899,94.54752559861979,110.22919984343837,110.80034752442988,109.55832321455236,110.25068601294485
315,Manny Machado,2019,11493,1.7973151270320675,2.082043549559566,1.6495064070561578,1.6902911457074263,1.1956907557098584,1.7944637579137257,1.4288258577671558,111.10756285267206,106.22563817796521,97.53064271354958,110.95797287902192,110.83338199027793,109.7064160200907,110.9582445398321
369,Francisco Lindor,2019,12916,1.9700316664322741,1.9213308003074054,1.8496765595623272,1.839411072235674,2.4873429631496853,1.8160137692488139,2.1015606600799677,101.41058728582925,100.49989415222305,90.19065336256142,101.35298615660076,101.88135755935937,100.94461066788219,101.391349843528
395,Jose Ramirez,2019,13510,2.1956206158529525,1.820885332024805,1.4651913161346353,1.2941217886622312,2.0608540267308744,1.471213587887406,2.391354113383948,101.12261665715842,99.70807146092913,93.01291472362905,101.06618868751883,102.05041472601508,100.64009119782872,101.07888640734105
224,Paul Goldschmidt,2019,9218,2.3189895725673857,1.8007962383682852,1.5305934451713044,1.3111852628420804,1.9065056497412098,1.547835850412163,1.3874267930094444,98.76146665868555,98.15193153220395,95.94561677498731,98.85350294191294,99.31787233106999,99.56511675594399,98.8458447455084
37,Nelson Cruz,2019,2434,1.4836054942439367,2.323112673437807,1.0734391694806467,0.9847535828797472,0.939797393858572,0.9372521959180036,0.08335625314153211,100.88577279470181,97.57215618358742,90.95451463948024,100.8684218200247,100.53332955420521,100.66547875088304,100.87124949420644
263,Mike Trout,2019,10155,2.4917061119675923,2.122221736872606,0.8765721548046119,0.3986603393110125,1.8171460630629825,0.8821799447283343,0.4145487712032241,98.28650650725498,93.72743037756338,86.21098205994562,98.03721613235975,99.30955631722594,96.07543702105872,98.1769712917689
399,Mookie Betts,2019,13611,2.3718619825878573,1.4492370993791837,1.3390114510234854,1.2110300883081826,2.6051351455891663,1.763335963763043,2.598349437172506,94.16230011225267,93.66082772984527,85.81176037722216,94.08943035480078,95.46620387879831,93.57771958447952,94.13970082848773
360,Trevor Story,2019,12564,1.3390875735213146,1.7103953169139445,0.9862363307650878,1.0574588206895394,0.9804153878032207,1.0761300467441262,1.6358211815557133,91.63071615175173,93.62173847698313,93.74716567380405,91.98802487837565,91.6488256047115,94.74957032060519,91.82927191173664
192,Charlie Blackmon,2019,7859,2.2625923352122164,1.6400834891161242,1.6310088352074028,1.6487452955304023,2.7554217231843663,2.065036122454275,1.1907812354103147,88.97597183769335,93.3370211183901,86.90353799856473,89.38619532344292,89.34949664196537,92.65343267750794,89.33284342409947
