"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2018","Mike Trout","Angels","140","471","608","147","80","24","4","39","101","79","122","25","124","10","4","0","5","24","2",".312","20.1 %","20.4 %","0.98",".460",".628","1.088",".316","5.9",".346","136","65.4",".447","190","3.5","0.0","1.5","242","110","74","124","24.5 %","40.2 %","37.3 %","22.5 %","16.0 %","39.6 %","44.4 %","10155"
"2017","Mike Trout","Angels","114","402","507","123","62","25","3","33","92","72","94","15","90","7","4","0","8","22","4",".306","18.5 %","17.8 %","1.04",".442",".629","1.071",".323","6.2",".318","111","49.6",".437","181","2.3","1.0","0.7","220","90","85","123","23.2 %","40.2 %","35.8 %","24.1 %","19.0 %","42.7 %","38.3 %","10155"
"2016","Mike Trout","Angels","159","549","681","173","107","32","5","29","123","100","116","12","137","11","5","0","5","30","7",".315","17.0 %","20.1 %","0.85",".441",".550",".991",".235","6.6",".371","136","56.2",".418","170","2.6","3.5","3.5","212","108","94","103","19.0 %","40.5 %","32.9 %","26.6 %","12.0 %","46.3 %","41.7 %","10155"
"2017","George Springer","Astros","140","548","629","155","92","29","0","34","112","85","64","1","111","11","4","0","11","5","7",".283","10.2 %","17.6 %","0.58",".367",".522",".889",".239","3.1",".297","106","29.2",".376","140","-2.4","0.7","-0.5","121","88","112","93","22.8 %","40.8 %","33.8 %","25.4 %","17.9 %","45.4 %","36.7 %","12856"
"2016","Tyler Naquin","Indians","116","321","365","95","58","18","5","14","52","43","36","4","112","4","2","2","4","6","3",".296","9.9 %","30.7 %","0.32",".372",".514",".886",".218","6.0",".411","60","16.9",".374","133","-0.2","1.6","0.2","123","115","105","85","22.2 %","37.6 %","35.7 %","26.8 %","16.9 %","44.6 %","38.5 %","13359"
"2017","Austin Jackson","Indians","85","280","318","89","60","19","3","7","46","35","33","0","64","1","4","0","13","3","1",".318","10.4 %","20.1 %","0.52",".387",".482",".869",".164","5.0",".385","52","13.6",".371","129","-0.1","2.4","-1.9","123","104","111","85","10.3 %","36.8 %","35.9 %","27.3 %","11.4 %","56.8 %","31.8 %","9848"
"2017","Aaron Hicks","Yankees","88","301","361","80","47","18","0","15","54","52","51","0","67","3","5","1","8","10","5",".266","14.1 %","18.6 %","0.76",".372",".475",".847",".209","3.9",".290","57","12.8",".363","128","-0.4","3.3","-0.3","168","77","102","111","15.8 %","42.9 %","35.0 %","22.1 %","19.6 %","49.6 %","30.8 %","5297"
"2018","Aaron Hicks","Yankees","137","480","581","119","71","18","3","27","90","79","90","1","111","3","6","2","1","11","2",".248","15.5 %","19.1 %","0.81",".366",".467",".833",".219","5.3",".264","89","21.4",".360","129","1.0","3.4","2.6","187","102","94","105","19.0 %","45.4 %","36.9 %","17.8 %","18.6 %","41.9 %","39.5 %","5297"
"2016","Jackie Bradley Jr.","Red Sox","156","558","636","149","86","30","7","26","94","87","63","5","143","10","5","0","10","9","2",".267","9.9 %","22.5 %","0.44",".349",".486",".835",".219","5.9",".312","94","18.9",".354","118","0.6","3.3","1.2","124","90","107","97","18.1 %","46.0 %","34.3 %","19.8 %","16.0 %","48.1 %","36.0 %","12984"
"2016","Cameron Maybin","Tigers","94","349","391","110","87","14","5","4","65","43","36","0","69","3","1","2","8","15","6",".315","9.2 %","17.6 %","0.52",".383",".418",".801",".103","6.9",".383","57","10.8",".352","121","0.3","2.2","0.2","115","106","128","61","6.7 %","31.1 %","36.8 %","32.2 %","19.8 %","55.5 %","24.7 %","5223"
