Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2016,Josh Donaldson,Blue Jays,3B,155,577,700,164,90,32,5,37,122,99,109,6,119,9,3,2,16,7,1,0.284,15.60%,17.00%,0.92,0.404,0.549,0.953,0.265,5.1,0.3,131,49,0.403,157,0.5,-0.1,-0.4,194,104,87,114,19.80%,46.00%,27.70%,26.40%,16.40%,43.20%,40.40%,5038
2017,Jose Ramirez,Indians,3B,152,585,645,186,95,56,6,29,107,83,52,5,69,3,5,0,13,17,5,0.318,8.10%,10.70%,0.75,0.374,0.583,0.957,0.265,6,0.319,120,41.1,0.396,146,0.9,-1.4,0.5,96,105,90,109,14.10%,46.30%,32.10%,21.70%,16.70%,49.30%,34.00%,13510
2017,Josh Donaldson,Blue Jays,3B,113,415,496,112,58,21,0,33,65,78,76,1,111,3,2,0,5,2,2,0.27,15.30%,22.40%,0.68,0.385,0.559,0.944,0.289,1.6,0.289,92,31.6,0.396,151,-0.8,1.9,1.3,182,82,95,116,25.60%,47.10%,33.00%,19.90%,17.30%,46.40%,36.30%,5038
2018,Alex Bregman,Astros,3B,157,594,705,170,87,51,1,31,105,103,96,2,85,12,3,0,15,10,4,0.286,13.60%,12.10%,1.13,0.394,0.532,0.926,0.246,3.6,0.289,129,46.5,0.396,156,-0.1,3.6,-0.1,164,103,82,119,14.00%,48.40%,32.40%,19.10%,17.20%,47.50%,35.40%,17678
2018,Jose Ramirez,Indians,3B,157,578,698,156,75,38,4,39,110,105,106,15,80,8,6,0,2,34,6,0.27,15.20%,11.50%,1.33,0.387,0.552,0.939,0.282,6.2,0.252,125,43.7,0.391,146,3.9,4,4.1,183,97,79,126,16.90%,50.00%,30.20%,19.80%,18.30%,45.60%,36.10%,13510
2017,Adrian Beltre,Rangers,3B,94,340,389,106,66,22,1,17,47,71,39,2,52,4,6,0,7,1,0,0.312,10.00%,13.40%,0.75,0.383,0.532,0.915,0.221,2.3,0.321,68,20.8,0.384,133,-0.1,-3.5,-0.3,119,97,100,102,15.60%,41.20%,38.10%,20.80%,17.40%,46.60%,36.10%,639
2016,Adrian Beltre,Rangers,3B,153,583,640,175,111,31,1,32,89,104,48,6,66,6,3,0,10,1,1,0.3,7.50%,10.30%,0.73,0.358,0.521,0.879,0.221,2.1,0.293,103,28.1,0.371,127,-0.6,-1.3,0.8,94,87,91,118,14.60%,41.00%,34.60%,24.40%,16.40%,48.10%,35.60%,639
2018,Matt Chapman,Athletics,3B,145,547,616,152,80,42,6,24,100,68,58,0,146,9,2,0,18,1,2,0.278,9.40%,23.70%,0.4,0.356,0.508,0.864,0.23,4.5,0.338,99,27.4,0.369,138,-1,5.4,-1.8,113,96,95,108,15.20%,40.50%,35.00%,24.60%,16.10%,40.70%,43.20%,16505
2016,Manny Machado,Orioles,3B,157,640,696,188,110,40,1,37,105,96,48,9,120,3,5,0,14,0,3,0.294,6.90%,17.20%,0.4,0.343,0.533,0.876,0.239,2.3,0.309,110,27.6,0.366,131,-1.6,1.5,0.2,86,98,85,120,16.50%,41.90%,34.50%,23.60%,21.70%,42.90%,35.40%,11493
2016,Ryon Healy,Athletics,3B,72,269,283,82,49,20,0,13,36,37,12,1,60,1,0,1,7,0,0,0.305,4.20%,21.20%,0.2,0.337,0.524,0.861,0.219,1.3,0.352,44,10.8,0.364,132,-0.1,-1.1,-0.4,53,96,95,109,16.00%,41.90%,34.30%,23.80%,19.50%,50.50%,30.00%,15447
