Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2016,Gary Sanchez,Yankees,C,53,201,229,60,28,12,0,20,34,42,24,2,57,2,2,0,5,1,0,0.299,10.50%,24.90%,0.42,0.376,0.657,1.032,0.358,2.2,0.317,47,20.2,0.425,170,0.1,-1.7,0.5,131,80,112,96,40.00%,54.10%,30.80%,15.10%,18.50%,39.70%,41.80%,11442
2017,Alex Avila,Tigers,C,77,219,264,60,38,11,0,11,30,32,43,2,80,1,1,0,6,0,1,0.274,16.30%,30.30%,0.54,0.394,0.475,0.869,0.201,1.1,0.38,44,11.7,0.373,133,-0.6,-1.3,-0.4,193,130,84,102,21.20%,32.10%,37.10%,30.70%,5.00%,44.30%,50.70%,7476
2017,Robinson Chirinos,Rangers,C,88,263,309,67,36,13,1,17,46,38,34,0,79,10,1,1,5,1,0,0.255,11.00%,25.60%,0.43,0.36,0.506,0.866,0.251,3.7,0.298,50,12.5,0.369,122,0,-2.5,0.4,131,67,93,127,20.00%,52.70%,25.30%,22.00%,16.70%,47.90%,35.50%,3142
2017,Gary Sanchez,Yankees,C,122,471,525,131,78,20,0,33,79,90,40,1,120,10,4,0,9,2,1,0.278,7.60%,22.90%,0.33,0.345,0.531,0.876,0.253,2.6,0.304,85,20.7,0.368,131,-0.3,-2.2,1.1,90,104,98,101,25.40%,51.60%,33.20%,15.20%,18.60%,44.50%,36.90%,11442
2016,Sandy Leon,Red Sox,C,78,252,283,78,52,17,2,7,36,35,23,1,66,2,2,4,4,0,0,0.31,8.10%,23.30%,0.35,0.369,0.476,0.845,0.167,2.9,0.392,44,10.3,0.362,124,-0.2,-1.5,0.4,101,121,100,88,12.10%,46.40%,28.10%,25.50%,19.80%,49.00%,31.30%,5273
2018,Wilson Ramos,Rays,C,78,293,315,87,59,14,0,14,30,53,22,1,61,0,0,0,17,0,0,0.297,7.00%,19.40%,0.36,0.346,0.488,0.834,0.191,0.6,0.335,48,11,0.358,130,-0.2,-4.8,-2.8,84,102,124,71,23.30%,42.70%,28.90%,28.50%,17.20%,40.50%,42.20%,1433
2017,Mike Zunino,Mariners,C,124,387,435,97,47,25,0,25,52,64,39,0,160,8,1,0,8,1,0,0.251,9.00%,36.80%,0.24,0.331,0.509,0.84,0.258,1.9,0.355,65,12.4,0.355,126,0,-1.8,0.1,106,110,74,125,24.00%,50.90%,32.50%,16.70%,17.50%,43.90%,38.60%,13265
2018,Omar Narvaez,White Sox,C,97,280,322,77,53,14,1,9,30,30,38,1,65,2,0,2,5,0,2,0.275,11.80%,20.20%,0.58,0.366,0.429,0.794,0.154,1.9,0.33,46,8.6,0.348,122,-1,-1.9,-0.3,142,136,99,80,14.50%,34.60%,37.30%,28.10%,18.00%,53.50%,28.60%,13338
2016,Evan Gattis,Astros,C,128,447,499,112,61,19,0,32,58,72,43,6,127,4,5,0,12,2,1,0.251,8.60%,25.50%,0.34,0.319,0.508,0.826,0.257,1.9,0.273,70,11.1,0.345,121,-0.2,-0.2,-1.1,107,88,93,115,24.10%,46.60%,36.70%,16.70%,17.60%,50.00%,32.40%,11003
2017,Welington Castillo,Orioles,C,96,341,365,96,65,11,0,20,44,53,22,0,97,0,2,0,10,0,0,0.282,6.00%,26.60%,0.23,0.323,0.49,0.813,0.208,1,0.336,51,7,0.344,112,-0.2,-1.3,-0.8,72,120,91,99,22.50%,41.10%,36.60%,22.40%,12.20%,48.80%,39.00%,3256
2018,Robinson Chirinos,Rangers,C,113,360,426,80,46,15,1,18,48,65,45,0,140,19,2,0,7,2,0,0.222,10.60%,32.90%,0.32,0.338,0.419,0.757,0.197,3.4,0.304,56,6.5,0.333,101,0.1,-3.7,0.1,127,100,71,134,16.70%,49.60%,31.50%,18.90%,14.90%,41.00%,44.10%,3142
2017,Salvador Perez,Royals,C,129,471,499,126,74,24,1,27,57,80,17,3,95,5,5,0,23,1,0,0.268,3.40%,19.00%,0.18,0.297,0.495,0.792,0.227,2.4,0.28,64,3.3,0.329,102,0,-0.4,-3.2,40,97,77,129,15.10%,53.00%,29.70%,17.30%,16.50%,45.40%,38.10%,7304
2016,Alex Avila,White Sox,C,57,169,209,36,23,6,0,7,19,11,38,0,78,1,1,0,3,0,0,0.213,18.20%,37.30%,0.49,0.359,0.373,0.732,0.16,0.6,0.341,26,1.8,0.329,107,-0.1,-2.4,0.3,227,122,119,64,33.30%,38.00%,43.50%,18.50%,8.70%,58.70%,32.60%,7476
2016,Brian McCann,Yankees,C,130,429,492,104,71,13,0,20,56,58,54,2,99,7,2,0,15,1,0,0.242,11.00%,20.10%,0.55,0.335,0.413,0.748,0.17,1.9,0.269,61,3.2,0.326,102,-0.1,-1.9,-1.7,137,105,78,124,13.70%,50.00%,32.20%,17.80%,14.80%,49.70%,35.50%,4810
2017,Chris Gimenez,Twins,C,77,186,225,41,25,9,0,7,28,16,33,0,60,4,0,2,3,1,0,0.22,14.70%,26.70%,0.55,0.35,0.382,0.731,0.161,2.7,0.286,28,0.9,0.326,101,0,-1.1,0.6,174,127,86,102,15.20%,53.90%,31.30%,14.80%,15.60%,53.90%,30.50%,7324
2018,Yan Gomes,Indians,C,112,403,435,107,65,26,0,16,52,48,21,2,119,8,3,0,4,0,0,0.266,4.80%,27.40%,0.18,0.313,0.449,0.762,0.184,1.5,0.336,55,3.8,0.326,101,-0.2,-2,0.9,58,128,75,113,13.60%,42.90%,32.40%,24.70%,13.90%,42.90%,43.20%,9627
2017,Evan Gattis,Astros,C,84,300,325,79,45,22,0,12,41,55,18,0,50,4,3,0,10,0,1,0.263,5.50%,15.40%,0.36,0.311,0.457,0.767,0.193,2,0.278,41,1.2,0.325,105,-0.6,-1.7,-0.8,66,103,85,116,11.20%,44.30%,30.80%,24.90%,19.80%,46.60%,33.60%,11003
2018,Mitch Garver,Twins,C,103,302,335,81,53,19,2,7,38,45,29,2,72,2,1,1,8,0,0,0.268,8.70%,21.50%,0.4,0.335,0.414,0.749,0.146,2.6,0.33,42,2.7,0.325,104,-0.2,-0.3,-0.3,104,106,94,103,8.00%,38.80%,34.50%,26.70%,21.60%,37.90%,40.50%,15161
2017,Russell Martin,Blue Jays,C,91,307,365,68,43,12,0,13,49,35,50,0,83,7,0,1,13,1,2,0.221,13.70%,22.70%,0.6,0.343,0.388,0.731,0.166,2.2,0.261,45,0.9,0.324,101,-0.9,0.3,-0.7,163,117,111,77,20.60%,40.00%,37.30%,22.70%,16.40%,53.30%,30.20%,4616
2017,Brian McCann,Astros,C,97,349,399,84,53,12,1,18,47,62,38,3,58,7,5,0,9,1,0,0.241,9.50%,14.50%,0.66,0.323,0.436,0.759,0.195,2.6,0.237,49,0.6,0.323,103,0,-2.2,0.4,113,84,96,114,14.80%,46.30%,33.10%,20.60%,19.30%,51.40%,29.40%,4810
2016,Russell Martin,Blue Jays,C,137,455,535,105,69,16,0,20,62,74,64,1,148,10,5,1,12,2,1,0.231,12.00%,27.70%,0.43,0.335,0.398,0.733,0.167,2.2,0.291,65,1.6,0.322,101,-0.3,-1.5,0,149,88,106,100,18.00%,37.40%,36.70%,25.90%,18.90%,47.60%,33.60%,4616
2017,Omar Narvaez,White Sox,C,90,253,295,70,58,10,0,2,23,14,38,1,45,1,0,3,8,0,0,0.277,12.90%,15.30%,0.84,0.373,0.34,0.713,0.063,0.8,0.33,36,0.1,0.321,101,-0.2,-0.2,-0.5,153,136,101,79,3.40%,34.10%,33.20%,32.70%,20.40%,60.20%,19.40%,13338
2017,Christian Vazquez,Red Sox,C,99,324,345,94,69,18,2,5,43,32,17,0,64,3,1,0,14,7,2,0.29,4.90%,18.60%,0.27,0.33,0.404,0.735,0.114,5.1,0.348,41,-0.9,0.318,92,0.3,-1.1,-1.6,59,123,109,77,6.80%,29.10%,37.60%,33.30%,21.50%,52.10%,26.40%,9774
2017,James McCann,Tigers,C,106,352,391,89,60,14,2,13,39,49,26,0,89,9,3,1,8,1,0,0.253,6.60%,22.80%,0.29,0.318,0.415,0.733,0.162,3.3,0.3,46,-1.6,0.316,94,0,-1.4,-0.4,79,139,87,94,14.30%,43.80%,27.70%,28.50%,15.70%,46.10%,38.20%,12859
2017,Jason Castro,Twins,C,110,356,407,86,54,22,0,10,49,47,45,1,108,4,1,1,10,0,0,0.242,11.10%,26.50%,0.42,0.333,0.388,0.72,0.146,1.5,0.318,48,-2,0.315,94,-0.3,-1.7,-0.4,131,121,97,92,12.00%,34.40%,37.20%,28.40%,14.00%,50.00%,36.00%,8722
2018,Max Stassi,Astros,C,88,221,250,50,29,13,0,8,28,27,23,0,74,6,0,0,6,0,0,0.226,9.20%,29.60%,0.31,0.316,0.394,0.71,0.167,1.4,0.302,29,-0.4,0.313,100,-0.1,-1.4,-0.2,111,83,122,84,17.80%,45.60%,37.40%,17.00%,21.10%,42.90%,36.10%,10059
2018,John Hicks,Tigers,C,81,288,312,75,53,12,1,9,35,32,22,0,84,0,1,1,9,0,1,0.26,7.10%,26.90%,0.26,0.312,0.403,0.715,0.142,2.4,0.337,35,-1,0.311,94,-0.6,-0.7,-1,85,91,101,104,11.70%,35.40%,35.90%,28.60%,20.40%,42.70%,36.90%,12547
