Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2018,Mike Trout,Angels,CF,140,471,608,147,80,24,4,39,101,79,122,25,124,10,4,0,5,24,2,0.312,20.10%,20.40%,0.98,0.46,0.628,1.088,0.316,5.9,0.346,136,65.4,0.447,190,3.5,0,1.5,242,110,74,124,24.50%,40.20%,37.30%,22.50%,16.00%,39.60%,44.40%,10155
2017,Mike Trout,Angels,CF,114,402,507,123,62,25,3,33,92,72,94,15,90,7,4,0,8,22,4,0.306,18.50%,17.80%,1.04,0.442,0.629,1.071,0.323,6.2,0.318,111,49.6,0.437,181,2.3,1,0.7,220,90,85,123,23.20%,40.20%,35.80%,24.10%,19.00%,42.70%,38.30%,10155
2016,Mike Trout,Angels,CF,159,549,681,173,107,32,5,29,123,100,116,12,137,11,5,0,5,30,7,0.315,17.00%,20.10%,0.85,0.441,0.55,0.991,0.235,6.6,0.371,136,56.2,0.418,170,2.6,3.5,3.5,212,108,94,103,19.00%,40.50%,32.90%,26.60%,12.00%,46.30%,41.70%,10155
2017,George Springer,Astros,CF,140,548,629,155,92,29,0,34,112,85,64,1,111,11,4,0,11,5,7,0.283,10.20%,17.60%,0.58,0.367,0.522,0.889,0.239,3.1,0.297,106,29.2,0.376,140,-2.4,0.7,-0.5,121,88,112,93,22.80%,40.80%,33.80%,25.40%,17.90%,45.40%,36.70%,12856
2016,Tyler Naquin,Indians,CF,116,321,365,95,58,18,5,14,52,43,36,4,112,4,2,2,4,6,3,0.296,9.90%,30.70%,0.32,0.372,0.514,0.886,0.218,6,0.411,60,16.9,0.374,133,-0.2,1.6,0.2,123,115,105,85,22.20%,37.60%,35.70%,26.80%,16.90%,44.60%,38.50%,13359
2017,Austin Jackson,Indians,CF,85,280,318,89,60,19,3,7,46,35,33,0,64,1,4,0,13,3,1,0.318,10.40%,20.10%,0.52,0.387,0.482,0.869,0.164,5,0.385,52,13.6,0.371,129,-0.1,2.4,-1.9,123,104,111,85,10.30%,36.80%,35.90%,27.30%,11.40%,56.80%,31.80%,9848
2017,Aaron Hicks,Yankees,CF,88,301,361,80,47,18,0,15,54,52,51,0,67,3,5,1,8,10,5,0.266,14.10%,18.60%,0.76,0.372,0.475,0.847,0.209,3.9,0.29,57,12.8,0.363,128,-0.4,3.3,-0.3,168,77,102,111,15.80%,42.90%,35.00%,22.10%,19.60%,49.60%,30.80%,5297
2018,Aaron Hicks,Yankees,CF,137,480,581,119,71,18,3,27,90,79,90,1,111,3,6,2,1,11,2,0.248,15.50%,19.10%,0.81,0.366,0.467,0.833,0.219,5.3,0.264,89,21.4,0.36,129,1,3.4,2.6,187,102,94,105,19.00%,45.40%,36.90%,17.80%,18.60%,41.90%,39.50%,5297
2016,Jackie Bradley Jr.,Red Sox,CF,156,558,636,149,86,30,7,26,94,87,63,5,143,10,5,0,10,9,2,0.267,9.90%,22.50%,0.44,0.349,0.486,0.835,0.219,5.9,0.312,94,18.9,0.354,118,0.6,3.3,1.2,124,90,107,97,18.10%,46.00%,34.30%,19.80%,16.00%,48.10%,36.00%,12984
2016,Cameron Maybin,Tigers,CF,94,349,391,110,87,14,5,4,65,43,36,0,69,3,1,2,8,15,6,0.315,9.20%,17.60%,0.52,0.383,0.418,0.801,0.103,6.9,0.383,57,10.8,0.352,121,0.3,2.2,0.2,115,106,128,61,6.70%,31.10%,36.80%,32.20%,19.80%,55.50%,24.70%,5223
