Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2018,J.D. Martinez,Red Sox,DH,150,569,649,188,106,37,2,43,111,130,69,11,146,4,7,0,19,6,1,0.33,10.60%,22.50%,0.47,0.402,0.629,1.031,0.299,4,0.375,136,59.7,0.427,170,0.4,-2.1,-2.4,128,106,103,93,29.50%,37.70%,30.90%,31.40%,10.90%,44.20%,44.90%,6184
2016,Gary Sanchez,Yankees,DH,53,201,229,60,28,12,0,20,34,42,24,2,57,2,2,0,5,1,0,0.299,10.50%,24.90%,0.42,0.376,0.657,1.032,0.358,2.2,0.317,47,20.2,0.425,170,0.1,-1.7,0.5,131,80,112,96,40.00%,54.10%,30.80%,15.10%,18.50%,39.70%,41.80%,11442
2016,David Ortiz,Red Sox,DH,151,537,626,169,82,48,1,38,79,127,80,15,86,2,7,0,22,2,0,0.315,12.80%,13.70%,0.93,0.401,0.62,1.021,0.305,2.2,0.312,126,52.2,0.419,163,0.1,-7.4,-2.5,159,108,75,127,18.40%,48.00%,34.10%,17.90%,12.50%,41.70%,45.90%,745
2018,Shohei Ohtani,Angels,DH,114,326,367,93,48,21,2,22,59,61,37,2,102,2,1,0,2,10,4,0.285,10.10%,27.80%,0.36,0.361,0.564,0.925,0.279,5.5,0.35,65,22.4,0.39,151,0.2,-0.3,1.2,121,111,103,90,29.70%,36.90%,37.30%,25.80%,10.20%,46.70%,43.10%,19755
2017,Nelson Cruz,Mariners,DH,155,556,645,160,93,28,0,39,91,119,70,7,140,12,7,0,15,1,1,0.288,10.90%,21.70%,0.5,0.375,0.549,0.924,0.261,1.7,0.315,113,34.8,0.385,146,-0.6,-3.8,0.5,129,87,93,115,22.00%,41.80%,36.40%,21.80%,14.70%,44.70%,40.70%,2434
2017,Adrian Beltre,Rangers,DH,94,340,389,106,66,22,1,17,47,71,39,2,52,4,6,0,7,1,0,0.312,10.00%,13.40%,0.75,0.383,0.532,0.915,0.221,2.3,0.321,68,20.8,0.384,133,-0.1,-3.5,-0.3,119,97,100,102,15.60%,41.20%,38.10%,20.80%,17.40%,46.60%,36.10%,639
2016,Nelson Cruz,Mariners,DH,155,589,667,169,98,27,1,43,96,105,62,5,159,9,7,0,15,2,0,0.287,9.30%,23.80%,0.39,0.36,0.555,0.915,0.268,2.8,0.32,114,35.8,0.383,148,0,-3.1,-0.1,116,88,101,106,26.20%,40.70%,37.30%,22.00%,16.30%,47.40%,36.40%,2434
2018,Steve Pearce,Red Sox,DH,76,215,251,61,35,14,1,11,35,42,29,0,41,5,2,0,2,0,0,0.284,11.60%,16.30%,0.71,0.378,0.512,0.89,0.228,2.4,0.303,43,13.7,0.382,140,-0.2,0.7,0.7,139,96,103,98,17.50%,54.00%,29.00%,17.10%,16.50%,46.60%,36.90%,9957
2018,Tyler White,Astros,DH,66,210,237,58,31,12,3,12,27,42,24,0,49,2,1,0,1,0,1,0.276,10.10%,20.70%,0.49,0.354,0.533,0.888,0.257,3.4,0.307,40,12,0.377,143,-0.5,-0.4,1,122,87,92,117,17.40%,42.00%,37.70%,20.40%,21.00%,46.30%,32.70%,15564
2016,Edwin Encarnacion,Blue Jays,DH,160,601,702,158,82,34,0,42,99,127,87,3,138,5,8,0,22,2,0,0.263,12.40%,19.70%,0.63,0.357,0.529,0.886,0.266,2.2,0.27,115,31.9,0.373,136,0,-1.1,-1.2,155,100,87,116,21.50%,52.20%,29.30%,18.50%,16.80%,45.70%,37.60%,2151
2017,Edwin Encarnacion,Indians,DH,157,554,669,143,84,20,1,38,96,107,104,5,133,5,5,0,18,2,0,0.258,15.50%,19.90%,0.78,0.377,0.504,0.881,0.245,2.7,0.271,111,29.4,0.373,130,-0.1,-7.5,-0.7,185,104,86,115,21.30%,46.70%,32.90%,20.40%,15.50%,47.00%,37.60%,2151
2016,Carlos Santana,Indians,DH,158,582,688,151,83,31,3,34,89,87,99,0,99,2,5,0,18,5,2,0.259,14.40%,14.40%,1,0.366,0.498,0.865,0.239,3.5,0.258,110,29.4,0.37,130,-0.2,0.7,-1.6,179,78,97,116,16.90%,52.90%,30.70%,16.40%,17.80%,45.90%,36.30%,2396
