Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2017,Marwin Gonzalez,Astros,LF,134,455,515,138,81,34,0,23,67,90,49,4,99,6,2,3,8,8,3,0.303,9.50%,19.20%,0.49,0.377,0.53,0.907,0.226,3.2,0.343,89,26.5,0.382,144,0,-0.6,1.1,113,98,101,99,18.10%,41.80%,33.50%,24.70%,18.60%,48.80%,32.70%,5497
2017,Justin Upton,Tigers,LF,152,557,635,152,73,44,0,35,100,109,74,3,180,3,1,0,9,14,5,0.273,11.70%,28.30%,0.41,0.361,0.54,0.901,0.268,4,0.341,108,30.6,0.378,137,0.3,2.4,1.4,138,96,85,120,21.20%,38.60%,35.70%,25.70%,19.80%,39.20%,41.00%,5222
2017,Austin Jackson,Indians,LF,85,280,318,89,60,19,3,7,46,35,33,0,64,1,4,0,13,3,1,0.318,10.40%,20.10%,0.52,0.387,0.482,0.869,0.164,5,0.385,52,13.6,0.371,129,-0.1,2.4,-1.9,123,104,111,85,10.30%,36.80%,35.90%,27.30%,11.40%,56.80%,31.80%,9848
2016,Chris Young,Red Sox,LF,76,203,227,56,29,18,0,9,29,24,21,0,50,3,0,0,4,4,2,0.276,9.30%,22.00%,0.42,0.352,0.498,0.85,0.222,3.4,0.326,35,8.6,0.364,125,-0.1,0.4,0.5,115,122,58,140,11.80%,50.30%,27.50%,22.20%,23.50%,39.20%,37.30%,3882
2016,Robbie Grossman,Twins,LF,99,332,389,93,62,19,1,11,49,37,55,0,96,2,0,0,3,2,3,0.28,14.10%,24.70%,0.57,0.386,0.443,0.828,0.163,2.7,0.364,60,14.4,0.363,127,-1.1,1.3,1.1,176,124,86,104,12.80%,41.50%,32.20%,26.30%,17.40%,51.30%,31.40%,5254
2017,Aaron Hicks,Yankees,LF,88,301,361,80,47,18,0,15,54,52,51,0,67,3,5,1,8,10,5,0.266,14.10%,18.60%,0.76,0.372,0.475,0.847,0.209,3.9,0.29,57,12.8,0.363,128,-0.4,3.3,-0.3,168,77,102,111,15.80%,42.90%,35.00%,22.10%,19.60%,49.60%,30.80%,5297
2017,Khris Davis,Athletics,LF,153,566,652,140,68,28,1,43,91,110,73,1,195,6,7,0,20,4,0,0.247,11.20%,29.90%,0.37,0.336,0.528,0.864,0.281,3.4,0.29,102,22.1,0.361,130,0.4,0.3,-2,133,95,89,116,26.90%,34.40%,42.30%,23.30%,13.50%,44.40%,42.10%,9112
2018,Michael Brantley,Indians,LF,143,570,631,176,121,36,2,17,89,76,48,0,60,5,6,1,15,12,3,0.309,7.60%,9.50%,0.8,0.364,0.468,0.832,0.16,4.8,0.319,96,22.7,0.359,124,0.8,1.4,-0.8,92,116,106,83,10.90%,40.40%,36.80%,22.80%,12.20%,50.70%,37.10%,4106
2018,Andrew Benintendi,Red Sox,LF,148,579,661,168,105,41,6,16,103,87,71,1,106,2,7,2,9,21,3,0.29,10.70%,16.00%,0.67,0.366,0.465,0.83,0.174,6.7,0.328,100,23,0.357,122,2.5,0.3,1.5,129,112,96,97,9.40%,38.40%,33.40%,28.20%,13.70%,58.30%,28.00%,17901
2017,Josh Reddick,Astros,LF,134,477,540,150,99,34,4,13,77,82,43,1,72,0,12,1,9,7,3,0.314,8.00%,13.30%,0.6,0.363,0.484,0.847,0.17,4.8,0.339,82,16.6,0.357,127,-0.2,2.7,0.8,95,119,78,116,7.40%,35.90%,36.10%,28.00%,17.20%,51.70%,31.10%,3892
2016,Jose Ramirez,Indians,LF,152,565,618,176,116,46,3,11,84,76,44,1,62,4,4,1,10,22,7,0.312,7.10%,10.00%,0.71,0.363,0.462,0.825,0.15,5.5,0.333,91,18.7,0.355,119,1.2,6.7,0.7,89,112,93,102,6.00%,39.00%,32.70%,28.40%,14.40%,58.90%,26.80%,13510
2016,Hyun Soo Kim,Orioles,LF,95,305,346,92,69,16,1,6,36,22,36,0,51,4,1,0,5,1,3,0.302,10.40%,14.70%,0.71,0.382,0.42,0.801,0.118,2.4,0.345,51,9.8,0.352,121,-1.3,1.3,0,130,101,119,76,8.80%,37.30%,33.70%,29.00%,20.00%,49.80%,30.20%,18718
2016,Brandon Guyer,Rays,LF,101,293,345,78,51,17,1,9,39,32,19,1,55,31,1,1,6,3,2,0.266,5.50%,15.90%,0.35,0.372,0.423,0.795,0.157,3.8,0.3,50,9.3,0.351,121,-0.4,-1.9,-0.4,69,105,92,107,10.00%,41.70%,32.10%,26.30%,20.80%,50.80%,28.30%,2636
2017,Eddie Rosario,Twins,LF,151,542,589,157,95,33,2,27,79,78,35,1,106,0,8,4,10,9,8,0.29,5.90%,18.00%,0.33,0.328,0.507,0.836,0.218,3.9,0.312,86,14.2,0.349,117,-1.9,1,0.4,71,99,98,103,16.40%,39.30%,36.80%,23.90%,16.70%,51.60%,31.70%,12155
2017,Trey Mancini,Orioles,LF,147,543,586,159,105,26,4,24,65,78,33,1,139,6,4,0,12,1,0,0.293,5.60%,23.70%,0.24,0.338,0.488,0.826,0.195,3.2,0.352,85,14,0.349,116,-0.2,-0.2,0.1,67,95,118,81,19.80%,37.50%,35.30%,27.20%,19.60%,46.30%,34.10%,15149
2016,Khris Davis,Athletics,LF,150,555,610,137,69,24,2,42,85,102,42,0,166,8,5,0,19,1,2,0.247,6.90%,27.20%,0.25,0.307,0.524,0.831,0.277,2.7,0.27,87,15.6,0.349,122,-0.9,-0.6,-1.6,86,83,97,113,26.60%,38.60%,36.00%,25.40%,14.70%,46.20%,39.10%,9112
2018,Justin Upton,Angels,LF,145,533,613,137,88,18,1,30,80,85,64,1,176,10,6,0,12,8,2,0.257,10.40%,28.70%,0.36,0.344,0.463,0.808,0.206,3.8,0.321,88,16.7,0.348,123,0.4,-0.3,-0.2,126,103,100,98,23.10%,46.60%,32.50%,20.90%,16.80%,39.40%,43.80%,5222
2016,Michael Saunders,Blue Jays,LF,140,490,558,124,65,32,3,24,70,57,59,2,157,5,3,1,14,1,2,0.253,10.60%,28.10%,0.38,0.338,0.478,0.815,0.224,3,0.321,79,13.5,0.348,119,-0.9,1.4,-1.4,132,110,93,104,19.50%,41.30%,33.20%,25.50%,16.00%,46.60%,37.40%,9981
2018,Joey Gallo,Rangers,LF,148,500,577,103,38,24,1,40,82,92,74,4,207,3,0,0,3,3,4,0.206,12.80%,35.90%,0.36,0.312,0.498,0.81,0.292,3.1,0.249,81,13.4,0.343,108,-1.3,1.6,2.5,154,97,70,137,27.60%,45.10%,31.40%,23.60%,12.60%,38.90%,48.50%,14128
2016,Melky Cabrera,White Sox,LF,151,591,646,175,114,42,5,14,70,86,47,2,69,0,5,3,17,2,0,0.296,7.30%,10.70%,0.68,0.345,0.455,0.8,0.159,3.4,0.314,89,12.9,0.342,116,0,-2.4,-1.2,91,107,98,98,7.60%,38.70%,32.80%,28.50%,18.50%,52.80%,28.70%,4022
2017,Michael Brantley,Indians,LF,90,338,375,101,71,20,1,9,47,52,31,3,50,2,4,0,8,11,1,0.299,8.30%,13.30%,0.62,0.357,0.444,0.801,0.145,5,0.325,52,6.6,0.342,109,1.5,2.3,0.3,98,110,114,78,10.80%,39.70%,34.90%,25.30%,14.00%,52.10%,33.90%,4106
2017,Corey Dickerson,Rays,LF,150,588,629,166,102,33,4,27,84,62,35,6,152,3,2,0,11,4,3,0.282,5.60%,24.20%,0.23,0.325,0.49,0.815,0.207,4,0.338,87,10.6,0.341,116,-0.8,0.4,0.3,66,110,97,98,17.20%,34.30%,36.80%,29.00%,18.70%,47.70%,33.60%,10762
2018,Eddie Rosario,Twins,LF,138,559,592,161,104,31,2,24,87,77,30,5,104,0,2,1,4,8,2,0.288,5.10%,17.60%,0.29,0.323,0.479,0.803,0.191,4.7,0.316,81,12.2,0.34,114,0.5,4.5,2.7,61,95,84,121,12.00%,43.50%,33.20%,23.40%,17.50%,46.10%,36.50%,12155
2017,Brett Gardner,Yankees,LF,151,594,682,157,106,26,4,21,96,63,72,2,122,8,3,5,4,23,5,0.264,10.60%,17.90%,0.59,0.35,0.428,0.778,0.163,6,0.3,92,8.9,0.336,110,2,2.4,1.6,125,110,103,91,13.50%,37.30%,35.40%,27.30%,20.00%,51.30%,28.80%,9927
2018,Curtis Granderson,Blue Jays,LF,104,302,349,74,41,21,1,11,48,35,42,1,96,3,1,1,3,2,1,0.245,12.00%,27.50%,0.44,0.342,0.43,0.772,0.185,3.7,0.321,47,6.1,0.336,113,-0.2,-3,0.7,145,146,75,103,14.30%,50.00%,29.80%,20.20%,15.90%,45.70%,38.50%,4747
2016,Jefry Marte,Angels,LF,88,258,284,65,36,14,0,15,38,44,18,0,59,5,3,0,8,2,2,0.252,6.30%,20.80%,0.31,0.31,0.481,0.79,0.229,2.8,0.267,38,4.1,0.335,113,-0.6,0.5,-1.2,79,73,105,110,19.00%,50.50%,29.70%,19.80%,21.30%,42.60%,36.10%,5107
2017,Ezequiel Carrera,Blue Jays,LF,131,287,325,81,62,10,1,8,38,20,30,0,75,3,0,5,4,10,1,0.282,9.20%,23.10%,0.4,0.356,0.408,0.764,0.125,5.1,0.358,43,3.7,0.334,108,1.3,1,0.5,110,112,112,80,13.60%,37.80%,39.60%,22.60%,24.40%,49.80%,25.80%,9048
2018,Mark Canha,Athletics,LF,122,365,411,91,52,22,0,17,60,52,34,3,88,10,2,0,11,1,2,0.249,8.30%,21.40%,0.39,0.328,0.449,0.778,0.2,2.5,0.282,55,6.5,0.334,114,-0.8,0.8,-0.5,100,103,90,110,15.20%,44.80%,34.10%,21.20%,18.60%,44.10%,37.30%,11445
2018,Chad Pinder,Athletics,LF,110,298,333,77,51,12,1,13,43,27,27,1,88,6,0,2,4,0,2,0.258,8.10%,26.40%,0.31,0.332,0.436,0.769,0.178,2.8,0.325,44,5.1,0.333,114,-1,0,0.9,98,91,103,102,16.90%,37.70%,36.80%,25.50%,13.20%,40.60%,46.20%,15191
2018,Robbie Grossman,Twins,LF,129,396,465,108,75,27,1,5,50,48,60,0,83,2,5,2,2,0,1,0.273,12.90%,17.80%,0.72,0.367,0.384,0.751,0.111,1.9,0.329,61,6.9,0.333,109,-0.7,-5.5,1.4,155,114,91,102,4.20%,36.60%,34.70%,28.80%,17.50%,50.90%,31.60%,5254
2017,Andrew Benintendi,Red Sox,LF,151,573,658,155,108,26,1,20,84,90,70,7,112,6,8,1,16,20,5,0.271,10.60%,17.00%,0.63,0.352,0.424,0.776,0.154,4.5,0.301,86,6.2,0.332,102,1.4,-0.4,0.4,126,106,93,105,11.20%,34.30%,37.00%,28.70%,16.60%,49.20%,34.30%,17901
2016,Seth Smith,Mariners,LF,137,378,438,94,63,15,0,16,62,63,48,1,89,8,4,0,11,0,0,0.249,11.00%,20.30%,0.54,0.342,0.415,0.758,0.167,1.8,0.282,56,4.5,0.331,111,-0.3,-1.7,-0.6,137,106,109,86,18.00%,43.00%,39.60%,17.40%,15.00%,51.20%,33.80%,7331
2018,Denard Span,Mariners,LF,137,437,501,114,74,22,7,11,63,58,51,0,79,6,7,0,10,9,4,0.261,10.20%,15.80%,0.65,0.341,0.419,0.76,0.158,5.9,0.291,65,6.3,0.33,112,-0.1,2.4,0.1,123,125,95,92,9.20%,38.40%,30.70%,31.00%,19.20%,49.90%,31.00%,8347
2016,Justin Upton,Tigers,LF,153,570,626,140,79,28,2,31,81,87,50,3,179,4,2,0,15,9,4,0.246,8.00%,28.60%,0.28,0.31,0.465,0.775,0.219,4.2,0.301,79,5.8,0.329,105,-0.1,1.5,0,100,90,88,121,18.30%,39.20%,36.40%,24.40%,21.10%,41.00%,37.90%,5222
2018,Teoscar Hernandez,Blue Jays,LF,134,476,523,114,56,29,7,22,67,57,41,0,163,3,3,0,14,5,5,0.239,7.80%,31.20%,0.25,0.302,0.468,0.771,0.229,5.5,0.313,67,5.7,0.328,107,-1.3,1.3,-1.3,94,94,86,120,15.90%,37.70%,36.10%,26.30%,15.80%,46.80%,37.30%,13066
