Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2018,Mookie Betts,Red Sox,RF,136,520,614,180,96,47,5,32,129,80,81,8,91,8,5,0,5,30,6,0.346,13.20%,14.80%,0.89,0.438,0.64,1.078,0.294,7,0.368,139,67.2,0.449,185,3.1,2.7,1.1,159,100,80,123,16.40%,47.20%,34.80%,18.00%,12.20%,43.30%,44.50%,13611
2017,Aaron Judge,Yankees,RF,155,542,678,154,75,24,3,52,128,114,127,11,208,5,4,0,15,9,4,0.284,18.70%,30.70%,0.61,0.422,0.627,1.049,0.343,4.8,0.357,145,62.5,0.43,174,-0.4,0.5,-0.1,222,108,81,119,35.60%,41.40%,30.80%,27.80%,11.20%,43.50%,45.30%,15640
2017,J.D. Martinez,Tigers,RF,57,200,232,61,30,13,2,16,38,39,29,5,54,0,3,0,10,2,0,0.305,12.50%,23.30%,0.54,0.388,0.63,1.018,0.325,5,0.338,46,18,0.413,161,0.3,-0.7,-0.8,148,103,96,103,28.60%,36.90%,34.20%,28.90%,14.10%,38.90%,47.00%,6184
2018,Aaron Judge,Yankees,RF,112,413,498,115,66,22,0,27,77,67,76,3,152,4,5,0,10,6,3,0.278,15.30%,30.50%,0.5,0.392,0.528,0.919,0.249,3,0.368,89,31,0.391,150,-0.4,1.2,0.6,184,110,99,96,29.00%,40.20%,31.20%,28.60%,13.50%,38.40%,48.10%,15640
2016,J.D. Martinez,Tigers,RF,120,460,517,141,82,35,2,22,69,68,49,2,128,3,5,0,13,1,2,0.307,9.50%,24.80%,0.38,0.373,0.535,0.908,0.228,2.7,0.378,89,28,0.384,143,-0.9,-1.9,-0.7,118,105,96,102,18.00%,40.40%,35.90%,23.70%,10.70%,48.40%,41.00%,6184
2016,Nelson Cruz,Mariners,RF,155,589,667,169,98,27,1,43,96,105,62,5,159,9,7,0,15,2,0,0.287,9.30%,23.80%,0.39,0.36,0.555,0.915,0.268,2.8,0.32,114,35.8,0.383,148,0,-3.1,-0.1,116,88,101,106,26.20%,40.70%,37.30%,22.00%,16.30%,47.40%,36.40%,2434
2016,Mookie Betts,Red Sox,RF,158,672,730,214,136,42,5,31,122,113,49,1,80,2,7,0,12,26,4,0.318,6.70%,11.00%,0.61,0.363,0.534,0.897,0.216,6.4,0.322,123,36.9,0.379,136,3.1,6.7,0.8,84,94,94,111,13.20%,39.70%,35.10%,25.20%,17.40%,49.30%,33.40%,13611
2017,George Springer,Astros,RF,140,548,629,155,92,29,0,34,112,85,64,1,111,11,4,0,11,5,7,0.283,10.20%,17.60%,0.58,0.367,0.522,0.889,0.239,3.1,0.297,106,29.2,0.376,140,-2.4,0.7,-0.5,121,88,112,93,22.80%,40.80%,33.80%,25.40%,17.90%,45.40%,36.70%,12856
2017,Avisail Garcia,White Sox,RF,136,518,561,171,121,27,5,18,75,80,33,5,111,9,1,0,14,5,3,0.33,5.90%,19.80%,0.3,0.38,0.506,0.885,0.176,4.3,0.392,94,25.7,0.375,138,-0.7,3.6,-1,70,100,121,75,16.10%,42.70%,33.60%,23.80%,15.70%,49.00%,35.30%,5760
2017,Lonnie Chisenhall,Indians,RF,82,236,270,68,38,17,1,12,34,53,25,2,55,3,3,3,6,2,2,0.288,9.30%,20.40%,0.45,0.36,0.521,0.881,0.233,3.3,0.326,44,10.9,0.369,127,-0.6,0.2,0.4,110,78,89,125,14.30%,38.00%,38.50%,23.50%,23.50%,42.80%,33.70%,7571
2018,Mitch Haniger,Mariners,RF,157,596,683,170,102,38,4,26,90,93,70,4,148,10,7,0,8,8,2,0.285,10.20%,21.70%,0.47,0.366,0.493,0.859,0.208,4.5,0.336,109,28.9,0.367,137,0.4,-1,0.7,123,100,100,100,15.80%,44.80%,36.70%,18.50%,16.00%,46.80%,37.10%,14274
2018,Nicholas Castellanos,Tigers,RF,157,620,678,185,111,46,5,23,88,89,49,5,151,6,3,0,8,2,1,0.298,7.20%,22.30%,0.32,0.354,0.5,0.854,0.202,3.8,0.361,106,26.7,0.363,130,-0.4,1.6,2,87,136,84,98,13.60%,44.90%,30.30%,24.80%,12.10%,40.00%,47.90%,11737
2017,Mitch Haniger,Mariners,RF,96,369,410,104,61,25,2,16,58,47,31,0,93,9,0,1,9,5,4,0.282,7.60%,22.70%,0.33,0.352,0.491,0.843,0.209,4.3,0.338,63,13.4,0.36,129,-0.9,-2,0.4,90,95,102,101,15.80%,45.10%,33.60%,21.30%,17.70%,47.70%,34.70%,14274
2016,Carlos Beltran,Yankees,RF,151,552,593,163,101,33,0,29,73,93,35,4,101,2,4,0,19,1,0,0.295,5.90%,17.00%,0.35,0.337,0.513,0.85,0.217,1.8,0.315,89,19.6,0.358,122,-0.1,-2,-1,74,102,96,104,17.30%,47.70%,29.90%,22.40%,15.00%,49.20%,35.80%,589
2016,Mark Trumbo,Orioles,RF,159,613,667,157,82,27,1,47,94,108,51,1,170,3,0,0,14,2,0,0.256,7.60%,25.50%,0.3,0.316,0.533,0.85,0.277,2.9,0.278,101,22,0.358,125,0.1,-1.1,-0.4,95,85,90,121,24.60%,42.00%,34.10%,23.90%,19.20%,41.50%,39.30%,6876
2017,Josh Reddick,Astros,RF,134,477,540,150,99,34,4,13,77,82,43,1,72,0,12,1,9,7,3,0.314,8.00%,13.30%,0.6,0.363,0.484,0.847,0.17,4.8,0.339,82,16.6,0.357,127,-0.2,2.7,0.8,95,119,78,116,7.40%,35.90%,36.10%,28.00%,17.20%,51.70%,31.10%,3892
2016,Jose Bautista,Blue Jays,RF,116,423,517,99,52,24,1,22,68,69,87,1,103,3,4,0,21,2,2,0.234,16.80%,19.90%,0.84,0.366,0.452,0.817,0.217,2.5,0.255,76,15.5,0.355,123,-0.7,-1.5,-3.1,210,92,90,117,16.30%,52.80%,31.50%,15.70%,21.30%,37.70%,41.10%,1887
2018,Jorge Soler,Royals,RF,61,223,257,59,32,18,0,9,27,28,28,0,69,4,2,0,6,3,1,0.265,10.90%,26.80%,0.41,0.354,0.466,0.82,0.202,2.8,0.34,38,8.3,0.354,123,0,-2.3,-0.3,131,91,111,93,17.00%,53.20%,26.90%,19.90%,17.30%,39.70%,43.00%,14221
2016,George Springer,Astros,RF,162,644,744,168,105,29,5,29,116,82,88,2,178,11,1,0,12,9,10,0.261,11.80%,23.90%,0.49,0.359,0.457,0.815,0.196,4.7,0.317,109,21.4,0.353,126,-2.8,2.3,0.2,147,100,109,89,19.70%,39.00%,38.30%,22.70%,19.50%,46.90%,33.60%,12856
