Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2018,Manny Machado,Orioles,SS,96,365,413,115,69,21,1,24,48,65,45,12,51,0,3,0,14,8,1,0.315,10.90%,12.30%,0.88,0.387,0.575,0.963,0.26,3.6,0.311,77,28.4,0.399,153,0.9,-0.4,-0.9,131,79,91,123,16.90%,36.30%,35.30%,28.40%,17.70%,46.10%,36.30%,11493
2017,Carlos Correa,Astros,SS,109,422,481,133,83,25,1,24,82,84,53,5,92,2,4,0,12,2,1,0.315,11.00%,19.10%,0.58,0.391,0.55,0.941,0.235,3.2,0.352,88,29.5,0.394,152,-0.4,2.1,-0.1,131,100,111,87,22.60%,30.50%,40.70%,28.70%,15.00%,45.50%,39.50%,14162
2018,Xander Bogaerts,Red Sox,SS,136,513,580,148,77,45,3,23,72,103,55,4,102,6,6,0,14,8,2,0.288,9.50%,17.60%,0.54,0.36,0.522,0.883,0.234,4.3,0.317,95,27.5,0.373,133,0.5,-1.2,-1,114,100,102,98,15.50%,43.40%,34.80%,21.80%,16.60%,45.60%,37.90%,12161
2018,Francisco Lindor,Indians,SS,158,661,745,183,101,42,2,38,129,92,70,7,107,8,3,3,5,25,10,0.277,9.40%,14.40%,0.65,0.352,0.519,0.871,0.242,5.4,0.279,120,32.6,0.368,130,0.5,-0.3,1,113,102,92,109,17.30%,40.40%,34.60%,25.00%,16.10%,42.30%,41.60%,12916
2016,Manny Machado,Orioles,SS,157,640,696,188,110,40,1,37,105,96,48,9,120,3,5,0,14,0,3,0.294,6.90%,17.20%,0.4,0.343,0.533,0.876,0.239,2.3,0.309,110,27.6,0.366,131,-1.6,1.5,0.2,86,98,85,120,16.50%,41.90%,34.50%,23.60%,21.70%,42.90%,35.40%,11493
2018,Daniel Robertson,Rays,SS,88,282,340,74,49,16,0,9,46,34,43,0,77,13,2,0,7,2,2,0.262,12.60%,22.60%,0.56,0.382,0.415,0.797,0.152,2.6,0.328,51,10.9,0.354,128,-0.7,1.7,-0.3,152,89,120,84,14.30%,41.60%,33.30%,25.10%,22.20%,43.00%,34.80%,14145
2017,Francisco Lindor,Indians,SS,159,651,723,178,97,44,4,33,99,89,60,6,93,4,3,5,11,15,3,0.273,8.30%,12.90%,0.65,0.337,0.505,0.842,0.232,5.1,0.275,108,19.4,0.353,116,1.3,3.2,0.2,99,90,91,117,14.00%,40.50%,34.50%,25.10%,14.30%,50.50%,35.20%,12916
2018,Didi Gregorius,Yankees,SS,134,504,569,135,80,23,5,27,89,86,48,3,69,7,9,1,8,10,6,0.268,8.40%,12.10%,0.7,0.335,0.494,0.829,0.226,5.5,0.259,83,16.5,0.35,122,-0.8,1.9,1.2,102,92,92,114,14.80%,40.50%,36.90%,22.70%,22.50%,41.60%,36.00%,6012
2016,Carlos Correa,Astros,SS,153,577,660,158,99,36,3,20,76,96,75,5,139,5,3,0,12,13,3,0.274,11.40%,21.10%,0.54,0.361,0.451,0.811,0.177,4.5,0.328,95,16.9,0.349,123,1,2,0.8,142,110,114,77,16.50%,39.00%,34.70%,26.30%,16.30%,46.50%,37.20%,14162
2016,Xander Bogaerts,Red Sox,SS,157,652,719,192,136,34,1,21,115,89,58,0,123,6,3,0,14,13,4,0.294,8.10%,17.10%,0.47,0.356,0.446,0.802,0.152,4.5,0.335,102,17.5,0.348,114,0.5,3.8,1.7,101,96,103,98,11.40%,44.60%,31.20%,24.30%,20.50%,48.90%,30.60%,12161
