"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2018","Mike Trout","Angels","140","471","608","147","80","24","4","39","101","79","122","25","124","10","4","0","5","24","2",".312","20.1 %","20.4 %","0.98",".460",".628","1.088",".316","5.9",".346","136","65.4",".447","190","3.5","0.0","1.5","242","110","74","124","24.5 %","40.2 %","37.3 %","22.5 %","16.0 %","39.6 %","44.4 %","10155"
"2017","Mike Trout","Angels","114","402","507","123","62","25","3","33","92","72","94","15","90","7","4","0","8","22","4",".306","18.5 %","17.8 %","1.04",".442",".629","1.071",".323","6.2",".318","111","49.6",".437","181","2.3","1.0","0.7","220","90","85","123","23.2 %","40.2 %","35.8 %","24.1 %","19.0 %","42.7 %","38.3 %","10155"
"2016","Mike Trout","Angels","159","549","681","173","107","32","5","29","123","100","116","12","137","11","5","0","5","30","7",".315","17.0 %","20.1 %","0.85",".441",".550",".991",".235","6.6",".371","136","56.2",".418","170","2.6","3.5","3.5","212","108","94","103","19.0 %","40.5 %","32.9 %","26.6 %","12.0 %","46.3 %","41.7 %","10155"
"2017","Charlie Blackmon","Rockies","159","644","725","213","127","35","14","37","137","104","65","9","135","10","3","3","4","14","10",".331","9.0 %","18.6 %","0.48",".399",".601","1.000",".270","6.4",".371","146","57.2",".414","142","-1.9","3.0","0.9","100","109","92","105","19.6 %","43.5 %","31.7 %","24.9 %","17.1 %","43.9 %","39.0 %","7859"
"2017","Tommy Pham","Cardinals","128","444","530","136","89","22","2","23","95","73","71","0","117","10","3","2","18","25","7",".306","13.4 %","22.1 %","0.61",".411",".520",".931",".214","6.0",".368","99","34.5",".398","149","1.6","4.3","-0.6","149","108","117","74","26.7 %","36.8 %","34.9 %","28.3 %","15.4 %","49.1 %","35.5 %","2967"
"2016","Trea Turner","Nationals","73","307","324","105","70","14","8","13","53","40","14","0","59","1","2","0","1","33","6",".342","4.3 %","18.2 %","0.24",".370",".567",".937",".225","8.7",".388","59","20.6",".395","146","4.0","0.7","0.9","50","119","96","93","16.7 %","36.8 %","41.2 %","22.0 %","17.2 %","48.0 %","34.8 %","16252"
"2016","Charlie Blackmon","Rockies","143","578","641","187","118","35","5","29","111","82","43","4","102","13","4","3","2","17","9",".324","6.7 %","15.9 %","0.42",".381",".552",".933",".228","5.9",".350","116","40.1",".394","132","-0.7","1.9","1.7","78","131","77","111","16.2 %","43.9 %","31.3 %","24.8 %","19.1 %","46.6 %","34.4 %","7859"
"2017","Michael Conforto","Mets","109","373","440","104","56","20","1","27","72","68","57","5","113","8","2","0","3","2","0",".279","13.0 %","25.7 %","0.50",".384",".555",".939",".276","3.6",".328","80","26.4",".392","147","0.1","1.8","1.0","144","119","85","107","27.3 %","32.4 %","39.7 %","27.9 %","20.2 %","38.2 %","41.6 %","16376"
"2018","Brandon Nimmo","Mets","140","433","535","114","61","28","8","17","77","47","80","2","140","22","0","0","8","9","6",".263","15.0 %","26.2 %","0.57",".404",".483",".886",".219","5.9",".351","93","30.8",".385","148","-1.0","3.2","-0.3","167","99","104","96","17.5 %","44.7 %","32.1 %","23.2 %","18.4 %","44.4 %","37.2 %","12927"
"2017","George Springer","Astros","140","548","629","155","92","29","0","34","112","85","64","1","111","11","4","0","11","5","7",".283","10.2 %","17.6 %","0.58",".367",".522",".889",".239","3.1",".297","106","29.2",".376","140","-2.4","0.7","-0.5","121","88","112","93","22.8 %","40.8 %","33.8 %","25.4 %","17.9 %","45.4 %","36.7 %","12856"
