Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2016,Gary Sanchez,Yankees,C,53,201,229,60,28,12,0,20,34,42,24,2,57,2,2,0,5,1,0,0.299,10.50%,24.90%,0.42,0.376,0.657,1.032,0.358,2.2,0.317,47,20.2,0.425,170,0.1,-1.7,0.5,131,80,112,96,40.00%,54.10%,30.80%,15.10%,18.50%,39.70%,41.80%,11442
2017,Austin Barnes,Dodgers,C,102,218,262,63,38,15,2,8,35,38,39,1,43,5,0,0,6,4,1,0.289,14.90%,16.40%,0.91,0.408,0.486,0.895,0.197,4.9,0.329,46,14.3,0.386,142,0.2,-1.3,-0.2,165,125,102,83,15.70%,33.10%,41.70%,25.10%,21.10%,48.00%,30.90%,12158
2017,Kurt Suzuki,Braves,C,81,276,309,78,46,13,0,19,38,50,17,2,39,13,2,1,5,0,0,0.283,5.50%,12.60%,0.44,0.351,0.536,0.887,0.254,1.1,0.268,51,13.3,0.372,127,-0.2,-1.3,0.5,61,90,79,132,17.10%,48.80%,35.00%,16.30%,20.00%,46.70%,33.30%,8259
2017,Robinson Chirinos,Rangers,C,88,263,309,67,36,13,1,17,46,38,34,0,79,10,1,1,5,1,0,0.255,11.00%,25.60%,0.43,0.36,0.506,0.866,0.251,3.7,0.298,50,12.5,0.369,122,0,-2.5,0.4,131,67,93,127,20.00%,52.70%,25.30%,22.00%,16.70%,47.90%,35.50%,3142
2017,Gary Sanchez,Yankees,C,122,471,525,131,78,20,0,33,79,90,40,1,120,10,4,0,9,2,1,0.278,7.60%,22.90%,0.33,0.345,0.531,0.876,0.253,2.6,0.304,85,20.7,0.368,131,-0.3,-2.2,1.1,90,104,98,101,25.40%,51.60%,33.20%,15.20%,18.60%,44.50%,36.90%,11442
2017,Chris Iannetta,Diamondbacks,C,89,272,316,69,33,19,0,17,38,43,37,0,87,6,1,0,3,0,0,0.254,11.70%,27.50%,0.43,0.354,0.511,0.865,0.257,1,0.308,51,12.3,0.367,120,-0.2,-3.2,0.8,130,100,84,121,21.50%,40.90%,30.10%,29.00%,19.40%,45.20%,35.50%,8267
2017,Buster Posey,Giants,C,140,494,568,158,112,34,0,12,62,67,61,13,66,8,5,0,17,6,1,0.32,10.70%,11.60%,0.92,0.4,0.462,0.861,0.142,2.8,0.347,91,21.4,0.366,128,0.4,-1.1,-1.1,119,114,99,94,8.40%,36.50%,40.00%,23.60%,14.10%,52.90%,33.00%,9166
2016,Willson Contreras,Cubs,C,76,252,283,71,44,14,1,12,33,35,26,0,67,4,1,0,7,2,2,0.282,9.20%,23.70%,0.39,0.357,0.488,0.845,0.206,2.9,0.339,44,10.4,0.363,126,-0.6,0,-0.7,106,85,122,81,23.50%,42.50%,34.40%,23.10%,17.70%,50.00%,32.30%,11609
2016,Sandy Leon,Red Sox,C,78,252,283,78,52,17,2,7,36,35,23,1,66,2,2,4,4,0,0,0.31,8.10%,23.30%,0.35,0.369,0.476,0.845,0.167,2.9,0.392,44,10.3,0.362,124,-0.2,-1.5,0.4,101,121,100,88,12.10%,46.40%,28.10%,25.50%,19.80%,49.00%,31.30%,5273
2017,Willson Contreras,Cubs,C,117,377,428,104,62,21,0,21,50,74,45,2,98,3,2,1,13,5,4,0.276,10.50%,22.90%,0.46,0.356,0.499,0.855,0.223,2.4,0.319,67,14.8,0.362,122,-1,-4.1,-0.9,117,85,120,83,25.90%,43.60%,35.50%,20.90%,17.00%,47.50%,35.50%,11609
2017,Alex Avila,Tigers,C,112,311,376,82,54,13,1,14,41,49,62,2,120,1,1,1,10,0,1,0.264,16.50%,31.90%,0.52,0.387,0.447,0.834,0.183,1.8,0.382,59,13,0.362,125,-0.7,-1.3,-0.6,192,136,88,94,21.50%,34.70%,38.30%,26.90%,6.70%,44.60%,48.70%,7476
2016,Jonathan Lucroy,Brewers,C,142,490,544,143,92,24,3,24,67,81,47,5,100,3,4,0,16,5,0,0.292,8.60%,18.40%,0.47,0.355,0.5,0.855,0.208,4.3,0.322,84,19.5,0.362,123,0.7,-0.4,-0.8,102,115,84,112,15.80%,35.10%,37.20%,27.70%,21.10%,43.50%,35.40%,7870
2016,Wilson Ramos,Nationals,C,131,482,523,148,101,25,0,22,58,80,35,2,79,2,4,0,17,0,0,0.307,6.70%,15.10%,0.44,0.354,0.496,0.85,0.189,0.9,0.327,80,18.7,0.361,123,-0.3,-4.6,-1.8,77,96,122,74,21.40%,38.30%,34.20%,27.50%,17.90%,46.70%,35.40%,1433
2018,Wilson Ramos,Rays,C,111,382,416,117,79,22,1,15,39,70,32,2,80,0,2,0,20,0,0,0.306,7.70%,19.20%,0.4,0.358,0.487,0.845,0.181,1.1,0.353,65,15.9,0.361,131,-0.3,-7.9,-2.9,90,96,129,68,20.00%,40.10%,32.20%,27.60%,17.40%,43.40%,39.10%,1433
2017,Tyler Flowers,Braves,C,99,317,370,89,61,16,0,12,41,49,31,1,82,20,2,0,6,0,1,0.281,8.40%,22.20%,0.38,0.378,0.445,0.823,0.164,1.4,0.342,57,11.7,0.358,118,-0.7,0.7,0.3,93,119,95,95,15.20%,43.90%,28.30%,27.90%,18.10%,44.70%,37.10%,9134
2018,Francisco Cervelli,Pirates,C,104,332,404,86,56,15,3,12,39,57,51,1,84,15,4,2,7,2,3,0.259,12.60%,20.80%,0.61,0.378,0.431,0.809,0.172,3.1,0.308,61,13.3,0.355,124,-1.1,-0.4,-0.2,141,89,90,119,11.40%,38.60%,34.70%,26.80%,15.80%,50.40%,33.90%,5275
2017,Mike Zunino,Mariners,C,124,387,435,97,47,25,0,25,52,64,39,0,160,8,1,0,8,1,0,0.251,9.00%,36.80%,0.24,0.331,0.509,0.84,0.258,1.9,0.355,65,12.4,0.355,126,0,-1.8,0.1,106,110,74,125,24.00%,50.90%,32.50%,16.70%,17.50%,43.90%,38.60%,13265
2018,J.T. Realmuto,Marlins,C,125,477,531,132,78,30,3,21,74,74,38,0,104,10,4,0,9,3,2,0.277,7.20%,19.60%,0.37,0.34,0.484,0.825,0.208,4.1,0.312,79,16.6,0.353,126,-0.5,3.8,1.5,80,104,92,107,14.90%,45.10%,35.30%,19.60%,18.00%,43.50%,38.50%,11739
2018,Yasmani Grandal,Dodgers,C,140,440,518,106,57,23,2,24,65,68,72,1,124,3,3,0,12,2,1,0.241,13.90%,23.90%,0.58,0.349,0.466,0.815,0.225,3.1,0.278,76,15.6,0.352,125,-0.3,-4.8,-1,155,79,95,119,18.00%,48.30%,32.90%,18.80%,19.80%,39.50%,40.80%,11368
2016,Yasmani Grandal,Dodgers,C,126,390,457,89,47,14,1,27,49,72,64,1,116,2,1,0,11,1,3,0.228,14.00%,25.40%,0.55,0.339,0.477,0.816,0.249,1.9,0.25,66,12,0.35,121,-1.3,-3.4,-0.9,162,76,100,115,25.20%,42.90%,37.50%,19.60%,17.50%,43.60%,38.90%,11368
2018,Omar Narvaez,White Sox,C,97,280,322,77,53,14,1,9,30,30,38,1,65,2,0,2,5,0,2,0.275,11.80%,20.20%,0.58,0.366,0.429,0.794,0.154,1.9,0.33,46,8.6,0.348,122,-1,-1.9,-0.3,142,136,99,80,14.50%,34.60%,37.30%,28.10%,18.00%,53.50%,28.60%,13338
2016,Evan Gattis,Astros,C,128,447,499,112,61,19,0,32,58,72,43,6,127,4,5,0,12,2,1,0.251,8.60%,25.50%,0.34,0.319,0.508,0.826,0.257,1.9,0.273,70,11.1,0.345,121,-0.2,-0.2,-1.1,107,88,93,115,24.10%,46.60%,36.70%,16.70%,17.60%,50.00%,32.40%,11003
