Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2018,Mookie Betts,Red Sox,RF,136,520,614,180,96,47,5,32,129,80,81,8,91,8,5,0,5,30,6,0.346,13.20%,14.80%,0.89,0.438,0.64,1.078,0.294,7,0.368,139,67.2,0.449,185,3.1,2.7,1.1,159,100,80,123,16.40%,47.20%,34.80%,18.00%,12.20%,43.30%,44.50%,13611
2017,J.D. Martinez,Diamondbacks,RF,119,432,489,131,57,26,3,45,85,104,53,8,128,0,4,0,23,4,0,0.303,10.80%,26.20%,0.41,0.376,0.69,1.066,0.387,4.7,0.327,105,45.1,0.43,167,0.5,-3.4,-2.9,125,91,88,121,33.80%,38.30%,32.80%,28.90%,14.00%,37.00%,49.00%,6184
2017,Aaron Judge,Yankees,RF,155,542,678,154,75,24,3,52,128,114,127,11,208,5,4,0,15,9,4,0.284,18.70%,30.70%,0.61,0.422,0.627,1.049,0.343,4.8,0.357,145,62.5,0.43,174,-0.4,0.5,-0.1,222,108,81,119,35.60%,41.40%,30.80%,27.80%,11.20%,43.50%,45.30%,15640
2018,Christian Yelich,Brewers,RF,147,574,651,187,110,34,7,36,118,110,68,2,135,7,2,0,14,22,4,0.326,10.40%,20.70%,0.5,0.402,0.598,1,0.272,6.8,0.373,133,57,0.422,166,2.3,4.2,-0.7,116,113,120,67,35.00%,34.90%,38.10%,27.00%,14.50%,37.90%,47.60%,11477
2017,Bryce Harper,Nationals,RF,111,420,492,134,77,27,1,29,95,87,68,11,99,1,3,0,15,4,2,0.319,13.80%,20.10%,0.69,0.413,0.595,1.008,0.276,3.7,0.356,99,39.4,0.416,155,-0.4,-0.1,-0.3,154,107,91,107,24.00%,35.50%,35.20%,29.30%,13.30%,52.50%,34.30%,11579
2017,Giancarlo Stanton,Marlins,RF,159,597,692,168,77,32,0,59,123,132,85,13,163,7,3,0,13,2,2,0.281,12.30%,23.60%,0.52,0.376,0.631,1.007,0.35,2.3,0.288,137,52.3,0.41,158,-0.8,-2.4,0.9,137,78,101,112,34.30%,44.60%,35.20%,20.10%,20.80%,40.30%,38.90%,4949
2018,Aaron Judge,Yankees,RF,112,413,498,115,66,22,0,27,77,67,76,3,152,4,5,0,10,6,3,0.278,15.30%,30.50%,0.5,0.392,0.528,0.919,0.249,3,0.368,89,31,0.391,150,-0.4,1.2,0.6,184,110,99,96,29.00%,40.20%,31.20%,28.60%,13.50%,38.40%,48.10%,15640
2018,Brandon Nimmo,Mets,RF,140,433,535,114,61,28,8,17,77,47,80,2,140,22,0,0,8,9,6,0.263,15.00%,26.20%,0.57,0.404,0.483,0.886,0.219,5.9,0.351,93,30.8,0.385,148,-1,3.2,-0.3,167,99,104,96,17.50%,44.70%,32.10%,23.20%,18.40%,44.40%,37.20%,12927
2016,J.D. Martinez,Tigers,RF,120,460,517,141,82,35,2,22,69,68,49,2,128,3,5,0,13,1,2,0.307,9.50%,24.80%,0.38,0.373,0.535,0.908,0.228,2.7,0.378,89,28,0.384,143,-0.9,-1.9,-0.7,118,105,96,102,18.00%,40.40%,35.90%,23.70%,10.70%,48.40%,41.00%,6184
2016,Nelson Cruz,Mariners,RF,155,589,667,169,98,27,1,43,96,105,62,5,159,9,7,0,15,2,0,0.287,9.30%,23.80%,0.39,0.36,0.555,0.915,0.268,2.8,0.32,114,35.8,0.383,148,0,-3.1,-0.1,116,88,101,106,26.20%,40.70%,37.30%,22.00%,16.30%,47.40%,36.40%,2434
2016,Mookie Betts,Red Sox,RF,158,672,730,214,136,42,5,31,122,113,49,1,80,2,7,0,12,26,4,0.318,6.70%,11.00%,0.61,0.363,0.534,0.897,0.216,6.4,0.322,123,36.9,0.379,136,3.1,6.7,0.8,84,94,94,111,13.20%,39.70%,35.10%,25.20%,17.40%,49.30%,33.40%,13611
2017,George Springer,Astros,RF,140,548,629,155,92,29,0,34,112,85,64,1,111,11,4,0,11,5,7,0.283,10.20%,17.60%,0.58,0.367,0.522,0.889,0.239,3.1,0.297,106,29.2,0.376,140,-2.4,0.7,-0.5,121,88,112,93,22.80%,40.80%,33.80%,25.40%,17.90%,45.40%,36.70%,12856
2018,Bryce Harper,Nationals,RF,159,550,695,137,69,34,0,34,103,100,130,16,169,6,9,0,7,13,3,0.249,18.70%,24.30%,0.77,0.393,0.496,0.889,0.247,3.7,0.289,116,34.6,0.376,134,0.9,-2.8,2.3,208,102,92,109,23.10%,42.30%,29.50%,28.20%,11.80%,45.90%,42.30%,11579
2017,Avisail Garcia,White Sox,RF,136,518,561,171,121,27,5,18,75,80,33,5,111,9,1,0,14,5,3,0.33,5.90%,19.80%,0.3,0.38,0.506,0.885,0.176,4.3,0.392,94,25.7,0.375,138,-0.7,3.6,-1,70,100,121,75,16.10%,42.70%,33.60%,23.80%,15.70%,49.00%,35.30%,5760
2016,Matt Joyce,Pirates,RF,140,231,293,56,32,10,1,13,45,42,59,4,67,3,0,0,9,1,1,0.242,20.10%,22.90%,0.88,0.403,0.463,0.866,0.221,3.1,0.285,48,13.8,0.375,136,-0.4,0.3,-0.9,233,87,103,104,22.40%,47.00%,31.70%,21.30%,17.10%,47.00%,36.00%,3353
2017,Domingo Santana,Brewers,RF,151,525,607,146,87,29,0,30,88,85,73,2,178,6,3,0,12,15,4,0.278,12.00%,29.30%,0.41,0.371,0.505,0.875,0.227,4,0.363,100,26.1,0.372,127,0.9,2,0.3,134,134,101,79,30.90%,34.90%,37.10%,28.00%,11.70%,48.60%,39.70%,10348
2017,Lonnie Chisenhall,Indians,RF,82,236,270,68,38,17,1,12,34,53,25,2,55,3,3,3,6,2,2,0.288,9.30%,20.40%,0.45,0.36,0.521,0.881,0.233,3.3,0.326,44,10.9,0.369,127,-0.6,0.2,0.4,110,78,89,125,14.30%,38.00%,38.50%,23.50%,23.50%,42.80%,33.70%,7571
2018,Mitch Haniger,Mariners,RF,157,596,683,170,102,38,4,26,90,93,70,4,148,10,7,0,8,8,2,0.285,10.20%,21.70%,0.47,0.366,0.493,0.859,0.208,4.5,0.336,109,28.9,0.367,137,0.4,-1,0.7,123,100,100,100,15.80%,44.80%,36.70%,18.50%,16.00%,46.80%,37.10%,14274
2018,Jesse Winker,Reds,RF,89,281,334,84,61,16,0,7,38,43,49,4,46,2,1,1,6,0,0,0.299,14.70%,13.80%,1.07,0.405,0.431,0.836,0.132,1.1,0.336,53,13.9,0.366,128,-0.3,-2,0.1,163,110,97,97,8.90%,37.10%,37.10%,25.70%,11.80%,44.30%,43.90%,13590
