Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2017,Carlos Correa,Astros,SS,109,422,481,133,83,25,1,24,82,84,53,5,92,2,4,0,12,2,1,0.315,11.00%,19.10%,0.58,0.391,0.55,0.941,0.235,3.2,0.352,88,29.5,0.394,152,-0.4,2.1,-0.1,131,100,111,87,22.60%,30.50%,40.70%,28.70%,15.00%,45.50%,39.50%,14162
2017,Zack Cozart,Reds,SS,122,438,507,130,75,24,7,24,80,63,62,0,78,3,4,0,5,3,0,0.297,12.20%,15.40%,0.79,0.385,0.548,0.933,0.251,5.3,0.312,92,30.5,0.392,140,0.2,-2.7,1,136,95,86,120,15.60%,48.90%,34.60%,16.50%,19.50%,49.70%,30.80%,2616
2018,Trevor Story,Rockies,SS,157,598,656,174,89,42,6,37,88,108,47,3,168,7,4,0,12,27,6,0.291,7.20%,25.60%,0.28,0.348,0.567,0.914,0.276,6.3,0.345,114,37,0.384,128,2.6,-0.9,0.1,80,104,79,123,19.90%,43.30%,34.30%,22.40%,15.90%,39.60%,44.50%,12564
2016,Trevor Story,Rockies,SS,97,372,415,101,49,21,4,27,67,72,35,2,130,5,1,2,5,8,5,0.272,8.40%,31.30%,0.27,0.341,0.567,0.909,0.296,5.9,0.343,70,21.2,0.38,122,-0.6,1.4,1.1,98,111,66,138,23.70%,40.00%,33.10%,26.90%,14.30%,40.80%,44.90%,12564
2018,Manny Machado,Orioles,SS,162,632,709,188,113,35,3,37,84,107,70,18,104,2,5,0,26,14,2,0.297,9.90%,14.70%,0.67,0.367,0.538,0.905,0.241,4.4,0.304,119,35.9,0.377,140,1.6,1.4,-1.8,116,83,94,118,16.40%,38.10%,36.20%,25.70%,17.50%,43.90%,38.70%,11493
2018,Xander Bogaerts,Red Sox,SS,136,513,580,148,77,45,3,23,72,103,55,4,102,6,6,0,14,8,2,0.288,9.50%,17.60%,0.54,0.36,0.522,0.883,0.234,4.3,0.317,95,27.5,0.373,133,0.5,-1.2,-1,114,100,102,98,15.50%,43.40%,34.80%,21.80%,16.60%,45.60%,37.90%,12161
2016,Corey Seager,Dodgers,SS,157,627,687,193,122,40,5,26,105,72,54,5,133,4,2,0,12,3,3,0.308,7.90%,19.40%,0.41,0.365,0.512,0.877,0.204,4.1,0.355,112,30.6,0.372,136,-1,2.5,0.9,91,115,104,86,17.90%,37.10%,34.30%,28.60%,12.70%,47.60%,39.70%,13624
2016,Aledmys Diaz,Cardinals,SS,111,404,460,121,73,28,3,17,71,65,41,6,60,7,6,2,10,4,4,0.3,8.90%,13.00%,0.68,0.369,0.51,0.879,0.21,4.3,0.312,74,19.6,0.37,132,-1.1,-1.1,-0.5,103,73,102,114,12.60%,46.30%,30.70%,23.00%,19.00%,49.40%,31.50%,15937
2018,Francisco Lindor,Indians,SS,158,661,745,183,101,42,2,38,129,92,70,7,107,8,3,3,5,25,10,0.277,9.40%,14.40%,0.65,0.352,0.519,0.871,0.242,5.4,0.279,120,32.6,0.368,130,0.5,-0.3,1,113,102,92,109,17.30%,40.40%,34.60%,25.00%,16.10%,42.30%,41.60%,12916
2018,Javier Baez,Cubs,SS,160,606,645,176,93,40,9,34,101,111,29,8,167,5,4,1,10,21,9,0.29,4.50%,25.90%,0.17,0.326,0.554,0.881,0.264,7.1,0.347,103,27.2,0.366,131,0.2,2.9,0.8,50,101,105,92,24.30%,40.50%,33.30%,26.10%,19.40%,44.80%,35.80%,12979
