,Nameplayerid,Seasonplayerid,playeridplayerid,weightwRCplayerid,weightHRplayerid,weightPAplayerid,weightABplayerid,weightRplayerid,weightHplayerid,weight2Bplayerid,RBIsPredicted,linearSvrRBI,svrRBI,BayesRidgeRBI,HuberRegressorRBI,RidgeRBI,ARDRegressionRBI,Nameplayerid,Seasonplayerid,playeridplayerid,weightBABIP,weightOBPplayerid,weightwOBAplayerid,weightOPSplayerid,weightwRC+playerid,weightwRAAplayerid,weight1B,AVGPredicted,linearSvrAVG,svrAVG,BayesRidgeAVG,HuberRegressorAVG,RidgeAVG,ARDRegressionAVG,Nameplayerid,Seasonplayerid,playeridplayerid,weightRBIplayerid,weightISOplayerid,weightwRCplayerid,weightSLGplayerid,weightRplayerid,weightHRFB,weightOPSplayerid,HRsPredicted,linearSvrHR,SvrHR,BayesRidgeHR,HuberRegressorHR,RidgeHR,ARDRegressionHR,Nameplayerid,Seasonplayerid,playeridplayerid,weightwOBAplayerid,weightwRC+playerid,weightSLGplayerid,weightwRAAplayerid,weightOBPplayerid,weightISOplayerid,weightHRplayerid,opsPredicted,linearSvrOPS,svrOPS,BayesRidgeOPS,HuberRegressorOPS,RidgeOPS,ARDRegressionOPS,Name,Season,playerid,weightWRC,weightPAplayerid,weightHplayerid,weightABplayerid,weightRBIplayerid,weightG,weight2Bplayerid,runsPredicted,linearSVRRuns,svrRuns,BayesRidgeRuns,HuberRegressorRuns,RidgeRuns,ARDRegressionRuns,runs,hr,rbi,avg,ops
0,Jose Molina,2017,25,-1.80552954,-1.368827123,-1.316579499,-1.300165101,-2.021750044,-1.534327903,-1.968095682,13.89740236,12.5673837,25.96714687,13.85136784,13.41451509,13.50128849,13.84841257,Jose Molina,2017,25,-1.849448772,-2.612705628,-3.296123239,-3.327768927,-3.122314334,-1.792231937,-1.069185028,0.174492459,0.154767762,0.254,0.174411114,0.174872832,0.174413649,0.179949458,Jose Molina,2017,25,-1.601193507,-2.656756495,-1.80552954,-3.274296032,-2.021750044,-1.867623034,-3.327768927,-3.310958406,-3.338022665,7.071527156,-3.365552899,-3.097901651,-3.413687185,-3.451286226,Jose Molina,2017,25,-3.296123239,-3.122314334,-3.274296032,-1.792231937,-2.612705628,-2.656756495,-1.368827123,0.417091509,0.418521826,0.517005063,0.417091532,0.417,0.417236537,0.416425217,Jose Molina,2017,25,-1.80552954,-1.316579499,-1.534327903,-1.300165101,-1.601193507,-1.342055513,-1.968095682,15.43279306,15.52818843,25.8731868,15.52069251,15.48235159,15.77094276,15.3549479,#N/A,#N/A,#N/A,#N/A,#N/A
1,Brian Roberts,2017,166,-0.781058499,-0.834556723,-0.660053576,-0.633323486,-0.518923502,-0.719368774,-0.500700407,26.47640399,28.95863003,29.13034569,26.70201331,26.35270792,28.3334079,26.63701494,Brian Roberts,2017,166,-0.871065979,-0.618855595,-0.659837192,-0.770303698,-0.554123451,-0.565371543,-0.669106562,0.226938155,0.222029901,0.254,0.227234786,0.227329196,0.227213792,0.228289651,Brian Roberts,2017,166,-1.164274833,-0.556272649,-0.781058499,-0.736036948,-0.518923502,-1.072554122,-0.770303698,4.285275923,4.168672641,4.308097609,4.273546545,4.308433034,4.2631116,4.295124159,Brian Roberts,2017,166,-0.659837192,-0.554123451,-0.736036948,-0.565371543,-0.618855595,-0.556272649,-0.834556723,0.66002528,0.660513927,0.722527952,0.660025411,0.66,0.660411156,0.659867383,Brian Roberts,2017,166,-0.781058499,-0.660053576,-0.719368774,-0.633323486,-1.164274833,-0.967409659,-0.500700407,39.03172875,36.46562684,34.59529841,38.87134711,38.68787768,38.37641998,38.80970048,#N/A,#N/A,#N/A,#N/A,#N/A
2,Will Venable,2017,211,-0.380823296,-0.372509138,-0.119121212,-0.116881584,-0.22368922,-0.250001802,-0.489085351,40.70428138,40.73826259,40.25492651,40.73903934,40.44409526,40.99554124,40.73992842,Will Venable,2017,211,-0.017141811,-0.302952784,-0.533096793,-0.576317031,-0.42729958,-0.529597814,-0.091403126,0.249344055,0.246750061,0.254,0.249298983,0.24963172,0.249301591,0.249022098,Will Venable,2017,211,-0.412581768,-0.549339563,-0.380823296,-0.639694409,-0.22368922,-0.161521946,-0.576317031,9.164169099,9.120460962,9.637778874,9.167183021,9.131107282,9.169843543,9.165636958,Will Venable,2017,211,-0.533096793,-0.42729958,-0.639694409,-0.529597814,-0.302952784,-0.549339563,-0.372509138,0.677669254,0.678002565,0.732223962,0.677669258,0.677657116,0.677700266,0.677550446,Will Venable,2017,211,-0.380823296,-0.119121212,-0.250001802,-0.116881584,-0.412581768,0.431098011,-0.489085351,46.376408,46.31292796,45.49731731,46.36845842,46.44337226,46.34724486,46.47702308,#N/A,#N/A,#N/A,#N/A,#N/A
3,Paul Konerko,2017,242,-1.439647026,-0.834556723,-1.466085402,-1.423385835,-1.562553045,-1.464474263,-1.339211992,20.62294461,20.87032326,22.59400357,20.68919608,20.40619388,21.14773548,20.64930035,Paul Konerko,2017,242,-1.468966574,-1.929099902,-1.655169679,-1.689723016,-1.620910433,-0.910866711,-1.335904006,0.196312722,0.184219904,0.254,0.196677231,0.196891242,0.19665102,0.201804093,Paul Konerko,2017,242,-1.124554954,-0.777376212,-1.439647026,-1.366933714,-1.562553045,-0.443124567,-1.689723016,5.39627655,5.213907664,5.071999684,5.364708387,5.421935688,5.3369766,5.348575764,Paul Konerko,2017,242,-1.655169679,-1.620910433,-1.366933714,-0.910866711,-1.929099902,-0.777376212,-0.834556723,0.571067952,0.571678355,0.652817102,0.571068165,0.571,0.571688807,0.570726403,Paul Konerko,2017,242,-1.439647026,-1.466085402,-1.464474263,-1.423385835,-1.124554954,-1.307996799,-1.339211992,18.4511531,18.10985912,21.3238262,18.40975187,18.49474753,18.30138864,18.41789119,#N/A,#N/A,#N/A,#N/A,#N/A
4,Adam Dunn,2017,319,0.353177296,0.981962636,0.399488259,0.178483699,-0.143216866,-0.276962391,-0.291072511,66.36277769,65.89583489,63.99930581,66.3794739,66.23102445,66.47816059,66.36188445,Adam Dunn,2017,319,-0.409051882,0.435036566,0.41619793,0.212523848,0.55217416,0.386502902,-0.535747073,0.246393566,0.248379283,0.254,0.24685455,0.246719183,0.2468222,0.247891532,Adam Dunn,2017,319,0.543679981,0.788774024,0.353177296,0.070924033,-0.143216866,1.213268999,0.212523848,21.70482208,21.37195027,21.83728368,21.68541726,21.51533392,21.66747485,21.54887035,Adam Dunn,2017,319,0.41619793,0.55217416,0.070924033,0.386502902,0.435036566,0.788774024,0.981962636,0.752072658,0.751452622,0.780939216,0.752072999,0.752,0.753063183,0.752023979,Adam Dunn,2017,319,0.353177296,0.399488259,-0.276962391,0.178483699,0.543679981,0.394938902,-0.291072511,61.3702372,59.92684806,55.93390855,61.44700063,61.02511933,61.61642057,61.36480979,#N/A,#N/A,#N/A,#N/A,#N/A
5,Victor Martinez,2017,393,0.861753992,1.056760492,0.81940484,0.837352208,0.290933024,0.961775484,0.180590256,80.76241541,76.41039006,77.03614967,80.50908146,80.49133994,78.64433649,80.56396326,Victor Martinez,2017,393,-0.319366793,0.571757711,0.510351003,0.646870216,0.469201839,0.56066067,1.064566792,0.273555463,0.278826207,0.254,0.273172662,0.273509936,0.273199096,0.271273338,Victor Martinez,2017,393,1.222889919,0.320771483,0.861753992,0.612321491,0.290933024,0.226058434,0.646870216,19.54241771,19.10556337,18.82917818,19.53510347,19.30441693,19.52869908,19.48277522,Victor Martinez,2017,393,0.510351003,0.469201839,0.612321491,0.56066067,0.571757711,0.320771483,1.056760492,0.793669196,0.793131037,0.783545016,0.793668964,0.7937,0.793012418,0.793807283,Victor Martinez,2017,393,0.861753992,0.81940484,0.961775484,0.837352208,1.222889919,0.820672828,0.180590256,69.66443561,70.49733928,71.090951,69.7843207,69.46048506,70.16122661,69.71515839,38,10,47,0.255,0.697
6,Juan Uribe,2017,454,-0.905458554,-0.375084179,-0.875212072,-0.83337597,-1.061610864,-0.866061418,-0.836105041,36.11111455,34.73103111,31.53537699,36.05030068,35.84789948,35.59573315,36.04950754,Juan Uribe,2017,454,-1.131968057,-1.043260816,-0.947676587,-0.829484712,-1.004544621,-0.712030716,-0.782462127,0.222569691,0.21613209,0.254,0.222409554,0.223025749,0.22242034,0.22262699,Juan Uribe,2017,454,-0.675720317,-0.283578255,-0.905458554,-0.6142592,-1.061610864,0.007414483,-0.829484712,8.935226633,8.790126689,8.204152063,8.918591745,8.912036593,8.904068171,8.90865086,Juan Uribe,2017,454,-0.947676587,-1.004544621,-0.6142592,-0.712030716,-1.043260816,-0.283578255,-0.375084179,0.653387938,0.653659911,0.712971066,0.653387844,0.6534,0.653132449,0.653268758,Juan Uribe,2017,454,-0.905458554,-0.875212072,-0.866061418,-0.83337597,-0.675720317,-1.008280116,-0.836105041,31.72929573,31.02389883,29.60521308,31.6999645,31.58422766,31.62066489,31.63739742,#N/A,#N/A,#N/A,#N/A,#N/A
7,Carlos Beltran,2017,589,0.953224621,1.259783244,0.718000836,0.801110816,0.545578632,0.952461666,1.207766948,83.9496478,81.46544467,82.53330611,83.85535886,83.82369134,83.13336341,83.83442232,Carlos Beltran,2017,589,0.061115404,0.332495707,0.835851627,0.959684145,0.733923053,0.8645554,0.651152377,0.27550717,0.28134746,0.254,0.27542576,0.275660358,0.275431929,0.276039125,Carlos Beltran,2017,589,1.210973955,0.965656874,0.953224621,1.161054958,0.545578632,0.595434199,0.959684145,22.63563005,22.01789235,23.71818639,22.62221501,22.29208451,22.61057274,22.62532379,Carlos Beltran,2017,589,0.835851627,0.733923053,1.161054958,0.8645554,0.332495707,0.965656874,1.259783244,0.822688936,0.821875301,0.79242475,0.822688866,0.8227,0.82246456,0.822877302,Carlos Beltran,2017,589,0.953224621,0.718000836,0.952461666,0.801110816,1.210973955,0.749149528,1.207766948,71.24630325,70.37539705,72.54071858,71.13116944,70.92756942,70.82647531,71.26569305,60,14,51,0.231,0.666
8,Raul Ibanez,2017,607,-1.329882271,-0.834556723,-1.102071029,-1.147951254,-1.228591591,-1.511043356,-1.339211992,18.13722171,21.38738764,22.77842943,18.44343997,17.92007618,20.64035633,18.34638622,Raul Ibanez,2017,607,-2.827831564,-1.644264183,-1.762773191,-1.932787893,-1.581399804,-1.122394365,-1.502603367,0.173849036,0.160655323,0.254,0.174393383,0.174271195,0.174354158,0.177574965,Raul Ibanez,2017,607,-0.965675436,-0.648399134,-1.329882271,-1.836438285,-1.228591591,-0.608763924,-1.932787893,7.633582148,7.310273707,5.854017677,7.607392247,7.609087688,7.583294368,7.515046904,Raul Ibanez,2017,607,-1.762773191,-1.581399804,-1.836438285,-1.122394365,-1.644264183,-0.648399134,-0.834556723,0.549085001,0.549673752,0.645131251,0.549085326,0.549,0.550069153,0.54866955,Raul Ibanez,2017,607,-1.329882271,-1.102071029,-1.511043356,-1.147951254,-0.965675436,-1.001468373,-1.339211992,24.11066123,23.014177,23.40514112,24.0881431,24.04686716,24.00388596,24.05108776,#N/A,#N/A,#N/A,#N/A,#N/A
9,Brandon Barnes,2017,629,-0.523517477,-0.500734034,-0.594939999,-0.569174158,-0.47416031,-0.508460268,-0.363308613,35.85638795,36.27459922,35.21353948,35.91139506,35.77198234,36.30936475,35.89303666,Brandon Barnes,2017,629,0.765564423,-0.311497856,-0.282918627,-0.28780959,-0.628803788,-0.252496587,-0.471477669,0.257848894,0.25611887,0.254,0.258188066,0.258631067,0.258166386,0.25966171,Brandon Barnes,2017,629,-0.674732972,-0.267432521,-0.523517477,-0.239148323,-0.47416031,-0.290720644,-0.28780959,7.870714482,7.821833748,8.0502424,7.868406025,7.860404875,7.866583061,7.889897222,Brandon Barnes,2017,629,-0.282918627,-0.628803788,-0.239148323,-0.252496587,-0.311497856,-0.267432521,-0.500734034,0.704662331,0.704830659,0.744860714,0.704662464,0.704657116,0.704967382,0.704607893,Brandon Barnes,2017,629,-0.523517477,-0.594939999,-0.508460268,-0.569174158,-0.674732972,-0.0082594,-0.363308613,39.99444307,39.80789736,38.99126352,39.92437595,40.09375433,39.73056798,40.1079072,#N/A,#N/A,#N/A,#N/A,#N/A
