"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2017","J.D. Martinez","Diamondbacks","62","232","257","70","27","13","1","29","47","65","24","3","74","0","1","0","13","2","0",".302","9.3 %","28.8 %","0.32",".366",".741","1.107",".440","4.1",".315","58","27.1",".446","172","0.3","-2.7","-2.1","104","80","80","137","37.7 %","39.6 %","31.5 %","28.9 %","13.8 %","35.2 %","50.9 %","6184"
"2018","Christian Yelich","Brewers","147","574","651","187","110","34","7","36","118","110","68","2","135","7","2","0","14","22","4",".326","10.4 %","20.7 %","0.50",".402",".598","1.000",".272","6.8",".373","133","57.0",".422","166","2.3","4.2","-0.7","116","113","120","67","35.0 %","34.9 %","38.1 %","27.0 %","14.5 %","37.9 %","47.6 %","11477"
"2017","Rhys Hoskins","Phillies","50","170","212","44","19","7","0","18","37","48","37","1","46","3","2","0","2","2","0",".259","17.5 %","21.7 %","0.80",".396",".618","1.014",".359","3.4",".241","43","17.2",".417","158","0.3","0.6","1.0","194","116","70","128","31.6 %","49.2 %","28.6 %","22.2 %","12.7 %","41.3 %","46.0 %","16472"
"2017","Bryce Harper","Nationals","111","420","492","134","77","27","1","29","95","87","68","11","99","1","3","0","15","4","2",".319","13.8 %","20.1 %","0.69",".413",".595","1.008",".276","3.7",".356","99","39.4",".416","155","-0.4","-0.1","-0.3","154","107","91","107","24.0 %","35.5 %","35.2 %","29.3 %","13.3 %","52.5 %","34.3 %","11579"
"2017","Charlie Blackmon","Rockies","159","644","725","213","127","35","14","37","137","104","65","9","135","10","3","3","4","14","10",".331","9.0 %","18.6 %","0.48",".399",".601","1.000",".270","6.4",".371","146","57.2",".414","142","-1.9","3.0","0.9","100","109","92","105","19.6 %","43.5 %","31.7 %","24.9 %","17.1 %","43.9 %","39.0 %","7859"
"2017","Giancarlo Stanton","Marlins","159","597","692","168","77","32","0","59","123","132","85","13","163","7","3","0","13","2","2",".281","12.3 %","23.6 %","0.52",".376",".631","1.007",".350","2.3",".288","137","52.3",".410","158","-0.8","-2.4","0.9","137","78","101","112","34.3 %","44.6 %","35.2 %","20.1 %","20.8 %","40.3 %","38.9 %","4949"
"2017","Tommy Pham","Cardinals","128","444","530","136","89","22","2","23","95","73","71","0","117","10","3","2","18","25","7",".306","13.4 %","22.1 %","0.61",".411",".520",".931",".214","6.0",".368","99","34.5",".398","149","1.6","4.3","-0.6","149","108","117","74","26.7 %","36.8 %","34.9 %","28.3 %","15.4 %","49.1 %","35.5 %","2967"
"2016","Kris Bryant","Cubs","155","603","699","176","99","35","3","39","121","102","75","5","154","18","3","0","3","8","5",".292","10.7 %","22.0 %","0.49",".385",".554",".939",".262","4.5",".332","127","45.1",".396","148","-0.9","3.0","5.0","124","112","68","134","18.8 %","46.7 %","33.6 %","19.7 %","17.0 %","42.7 %","40.3 %","15429"
"2016","Trea Turner","Nationals","73","307","324","105","70","14","8","13","53","40","14","0","59","1","2","0","1","33","6",".342","4.3 %","18.2 %","0.24",".370",".567",".937",".225","8.7",".388","59","20.6",".395","146","4.0","0.7","0.9","50","119","96","93","16.7 %","36.8 %","41.2 %","22.0 %","17.2 %","48.0 %","34.8 %","16252"
"2016","Charlie Blackmon","Rockies","143","578","641","187","118","35","5","29","111","82","43","4","102","13","4","3","2","17","9",".324","6.7 %","15.9 %","0.42",".381",".552",".933",".228","5.9",".350","116","40.1",".394","132","-0.7","1.9","1.7","78","131","77","111","16.2 %","43.9 %","31.3 %","24.8 %","19.1 %","46.6 %","34.4 %","7859"
"2017","Michael Conforto","Mets","109","373","440","104","56","20","1","27","72","68","57","5","113","8","2","0","3","2","0",".279","13.0 %","25.7 %","0.50",".384",".555",".939",".276","3.6",".328","80","26.4",".392","147","0.1","1.8","1.0","144","119","85","107","27.3 %","32.4 %","39.7 %","27.9 %","20.2 %","38.2 %","41.6 %","16376"
"2018","Juan Soto","Nationals","116","414","494","121","73","25","1","22","77","70","79","10","99","0","0","1","9","5","2",".292","16.0 %","20.0 %","0.80",".406",".517",".923",".225","3.5",".338","89","31.1",".392","145","-0.2","2.0","0.2","178","80","124","83","24.7 %","36.1 %","36.4 %","27.5 %","20.3 %","44.9 %","34.8 %","20123"
