"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2018","Max Muncy","Dodgers","137","395","481","104","50","17","2","35","75","79","79","6","131","5","2","0","4","3","0",".263","16.4 %","27.2 %","0.60",".391",".582",".973",".319","4.0",".299","92","36.2",".407","162","0.3","1.0","1.8","183","95","79","129","29.4 %","44.7 %","31.2 %","24.1 %","12.4 %","40.2 %","47.4 %","13301"
"2017","Justin Turner","Dodgers","130","457","543","147","94","32","0","21","72","71","59","5","56","19","7","1","12","7","1",".322","10.9 %","10.3 %","1.05",".415",".530",".945",".208","3.3",".326","102","36.0",".400","151","0.6","1.0","0.5","121","101","71","136","10.8 %","36.7 %","38.9 %","24.5 %","9.8 %","51.3 %","38.9 %","5235"
"2017","Kris Bryant","Cubs","151","549","665","162","91","38","4","29","111","73","95","5","128","15","6","0","8","7","5",".295","14.3 %","19.2 %","0.74",".409",".537",".946",".242","4.4",".334","125","43.9",".399","147","-1.2","4.8","1.2","159","97","85","120","16.0 %","41.2 %","36.3 %","22.5 %","14.8 %","52.5 %","32.8 %","15429"
"2016","Kris Bryant","Cubs","155","603","699","176","99","35","3","39","121","102","75","5","154","18","3","0","3","8","5",".292","10.7 %","22.0 %","0.49",".385",".554",".939",".262","4.5",".332","127","45.1",".396","148","-0.9","3.0","5.0","124","112","68","134","18.8 %","46.7 %","33.6 %","19.7 %","17.0 %","42.7 %","40.3 %","15429"
"2018","Justin Turner","Dodgers","103","365","426","114","68","31","1","14","62","52","47","3","54","12","2","0","10","2","1",".312","11.0 %","12.7 %","0.87",".406",".518",".924",".205","3.1",".334","78","28.2",".396","154","-0.3","0.3","0.0","123","120","68","127","10.1 %","39.0 %","31.6 %","29.4 %","10.9 %","44.1 %","45.1 %","5235"
"2017","Nolan Arenado","Rockies","159","606","680","187","100","43","7","37","100","130","62","9","106","4","6","1","21","3","2",".309","9.1 %","15.6 %","0.58",".373",".586",".959",".277","4.1",".320","126","42.6",".395","130","-0.6","1.7","-0.6","101","103","77","127","16.3 %","37.7 %","35.1 %","27.2 %","17.6 %","45.8 %","36.7 %","9777"
"2017","Anthony Rendon","Nationals","147","508","605","153","86","41","1","25","81","100","84","6","82","7","6","0","7","7","2",".301","13.9 %","13.6 %","1.02",".403",".533",".937",".232","3.5",".314","111","37.4",".394","141","0.1","0.2","1.2","154","91","77","134","12.3 %","40.7 %","31.0 %","28.2 %","13.0 %","52.8 %","34.3 %","12861"
"2018","Nolan Arenado","Rockies","156","590","673","175","97","38","2","38","104","110","73","10","122","3","6","1","16","2","2",".297","10.8 %","18.1 %","0.60",".374",".561",".935",".264","2.9",".314","120","41.7",".391","132","-0.8","1.2","-0.4","121","98","92","111","20.7 %","39.8 %","36.8 %","23.4 %","15.4 %","41.7 %","43.0 %","9777"
"2016","Nolan Arenado","Rockies","160","618","696","182","100","35","6","41","116","133","68","10","103","2","8","0","17","2","3",".294","9.8 %","14.8 %","0.66",".362",".570",".932",".275","3.8",".293","121","39.0",".386","126","-1.2","0.3","0.0","113","85","79","137","16.8 %","45.7 %","32.1 %","22.2 %","14.5 %","47.6 %","37.9 %","9777"
"2018","Anthony Rendon","Nationals","136","529","597","163","93","44","2","24","88","92","55","5","82","5","8","0","5","2","1",".308","9.2 %","13.7 %","0.67",".374",".535",".909",".227","3.2",".323","103","33.2",".383","139","-0.4","3.7","1.8","103","109","75","125","12.1 %","40.2 %","32.8 %","27.0 %","14.5 %","47.7 %","37.8 %","12861"
"2018","Eugenio Suarez","Reds","143","527","606","149","91","22","2","34","79","104","64","7","142","9","6","0","20","1","1",".283","10.6 %","23.4 %","0.45",".366",".526",".892",".243","2.3",".322","101","30.5",".376","135","-0.6","-2.7","-0.8","118","112","89","106","23.4 %","42.7 %","35.8 %","21.5 %","8.4 %","43.0 %","48.6 %","12552"
"2018","Matt Carpenter","Cardinals","156","564","677","145","67","42","0","36","111","81","102","17","158","6","4","0","0","4","1",".257","15.1 %","23.3 %","0.65",".374",".523",".897",".266","3.1",".291","113","33.5",".375","140","0.0","-1.5","2.8","168","122","61","134","19.1 %","48.3 %","29.3 %","22.4 %","9.3 %","41.7 %","49.0 %","8090"
"2016","Matt Carpenter","Cardinals","129","473","566","128","65","36","6","21","81","68","81","6","108","5","4","3","4","0","4",".271","14.3 %","19.1 %","0.75",".380",".505",".885",".235","4.0",".307","93","26.6",".375","136","-2.0","-2.0","0.9","166","124","68","127","13.3 %","48.1 %","32.8 %","19.1 %","10.0 %","48.1 %","41.9 %","8090"
"2016","Jung Ho Kang","Pirates","103","318","370","81","41","19","0","21","45","62","36","1","79","14","2","0","11","3","1",".255","9.7 %","21.4 %","0.46",".354",".513",".867",".258","2.7",".273","59","15.6",".369","132","0.0","-2.1","-0.7","113","96","95","109","23.3 %","43.6 %","35.3 %","21.2 %","17.4 %","43.2 %","39.4 %","17182"
"2017","Travis Shaw","Brewers","144","538","606","147","81","34","1","31","84","101","60","6","138","4","3","1","20","10","0",".273","9.9 %","22.8 %","0.43",".349",".513",".862",".240","4.5",".312","94","20.4",".361","120","1.6","-0.8","-2.6","110","97","96","107","20.5 %","40.4 %","33.9 %","25.7 %","15.8 %","47.0 %","37.1 %","11982"
"2018","Kris Bryant","Cubs","102","389","457","106","62","28","3","13","59","52","48","6","107","17","3","0","5","2","4",".272","10.5 %","23.4 %","0.45",".374",".460",".834",".188","3.7",".342","70","16.4",".359","126","-1.5","-0.5","1.4","117","116","79","117","11.2 %","48.1 %","31.9 %","20.0 %","19.0 %","49.8 %","31.2 %","15429"
"2018","David Freese","Pirates","113","280","312","83","58","12","2","11","38","51","24","1","72","5","3","0","10","0","0",".296","7.7 %","23.1 %","0.33",".359",".471",".830",".175","2.5",".360","47","10.7",".357","126","-0.2","-0.9","-0.2","86","102","119","75","20.0 %","36.0 %","33.7 %","30.3 %","16.1 %","47.9 %","36.0 %","9549"
"2017","Eugenio Suarez","Reds","156","534","632","139","86","25","2","26","87","82","84","1","147","9","5","0","16","4","5",".260","13.3 %","23.3 %","0.57",".367",".461",".828",".200","3.1",".309","96","18.9",".356","116","-1.8","1.3","-0.9","148","117","88","105","17.9 %","42.7 %","30.2 %","27.1 %","20.7 %","45.5 %","33.8 %","12552"
"2016","Jonathan Villar","Brewers","156","589","679","168","108","38","3","19","92","63","79","4","174","2","4","5","7","62","18",".285","11.6 %","25.6 %","0.45",".369",".457",".826",".171","6.4",".373","101","21.0",".356","120","4.6","-1.2","0.1","135","96","124","71","19.6 %","32.3 %","41.8 %","25.9 %","20.5 %","44.3 %","35.1 %","10071"
"2016","Justin Turner","Dodgers","151","556","622","153","89","34","3","27","79","90","48","1","107","10","8","0","16","4","1",".275","7.7 %","17.2 %","0.45",".339",".493",".832",".218","3.8",".293","91","17.9",".353","123","0.1","-0.1","0.2","89","112","81","117","14.8 %","35.2 %","33.5 %","31.3 %","12.0 %","50.3 %","37.6 %","5235"
"2017","Jake Lamb","Diamondbacks","149","536","635","133","69","30","4","30","89","105","87","13","152","7","5","0","15","6","4",".248","13.7 %","23.9 %","0.57",".357",".487",".844",".239","4.4",".287","94","17.1",".353","111","-0.9","2.0","-0.3","152","100","93","109","20.1 %","41.9 %","35.2 %","22.9 %","12.9 %","51.4 %","35.7 %","13329"
"2016","Jake Lamb","Diamondbacks","151","523","594","130","61","31","9","29","81","91","64","5","154","3","4","0","13","6","1",".249","10.8 %","25.9 %","0.42",".332",".509",".840",".260","5.9",".294","87","16.8",".352","114","0.5","4.6","-0.7","125","82","103","108","21.2 %","43.2 %","34.3 %","22.5 %","13.9 %","46.7 %","39.4 %","13329"
"2018","Travis Shaw","Brewers","152","498","587","120","65","23","0","32","73","86","78","6","108","4","6","1","7","5","2",".241","13.3 %","18.4 %","0.72",".345",".480",".825",".239","2.6",".242","86","17.2",".351","119","-0.2","0.0","0.8","148","83","86","128","18.3 %","45.8 %","32.5 %","21.7 %","19.9 %","40.3 %","39.8 %","11982"
"2018","Johan Camargo","Braves","134","464","524","126","79","27","1","19","63","76","51","4","108","6","3","0","13","1","1",".272","9.7 %","20.6 %","0.47",".349",".457",".806",".185","2.3",".315","75","13.5",".346","116","-0.5","-1.8","-0.5","108","91","104","101","15.0 %","41.2 %","33.4 %","25.4 %","18.7 %","45.1 %","36.2 %","14950"
"2016","Yangervis Solarte","Padres","109","405","443","116","74","26","1","15","55","71","30","1","63","5","3","0","7","1","1",".286","6.8 %","14.2 %","0.48",".341",".467",".808",".180","2.5",".306","62","10.0",".346","117","-0.5","0.3","0.6","78","103","92","108","11.9 %","49.0 %","29.6 %","21.5 %","17.7 %","49.6 %","32.8 %","5352"
"2017","Jedd Gyorko","Cardinals","125","426","481","116","73","21","2","20","52","67","47","1","105","1","7","0","12","6","2",".272","9.8 %","21.8 %","0.45",".341",".472",".813",".200","3.8",".312","68","9.4",".344","113","0.0","-2.2","-0.3","109","98","92","112","15.5 %","43.0 %","30.5 %","26.5 %","19.2 %","50.0 %","30.8 %","10816"
"2016","Anthony Rendon","Nationals","156","567","647","153","93","38","2","20","91","85","65","2","117","7","8","0","5","12","6",".270","10.0 %","18.1 %","0.56",".348",".450",".797",".180","4.6",".304","89","13.0",".342","110","-0.4","2.1","1.5","116","97","80","128","10.0 %","40.2 %","30.8 %","29.0 %","13.8 %","49.8 %","36.5 %","12861"
"2018","Daniel Descalso","Diamondbacks","138","349","423","83","44","22","4","13","54","57","64","2","110","2","7","0","2","0","1",".238","15.1 %","26.0 %","0.58",".353",".436",".789",".198","3.6",".300","58","8.9",".341","112","-0.7","1.5","1.4","169","108","70","133","11.4 %","49.2 %","29.3 %","21.5 %","15.9 %","41.1 %","43.1 %","8392"
"2016","Adam Rosales","Padres","105","214","248","49","21","12","3","13","37","35","29","2","88","1","4","0","2","4","0",".229","11.7 %","35.5 %","0.33",".319",".495",".814",".266","7.0",".308","34","4.5",".340","113","0.7","1.7","0.5","135","80","83","135","21.7 %","48.5 %","31.5 %","20.0 %","13.9 %","49.2 %","36.9 %","9682"
"2016","Aaron Hill","Brewers","78","254","292","72","53","11","0","8","34","29","30","0","43","2","4","0","5","4","2",".283","10.3 %","14.7 %","0.70",".359",".421",".780",".138","3.0",".309","40","5.2",".340","109","-0.2","1.6","0.5","119","110","79","121","9.0 %","41.4 %","34.4 %","24.2 %","17.7 %","49.3 %","33.0 %","6104"
"2016","Jedd Gyorko","Cardinals","128","400","438","97","57","9","1","30","58","59","37","1","96","0","1","0","11","0","0",".243","8.4 %","21.9 %","0.39",".306",".495",".801",".253","1.7",".244","59","7.5",".339","112","-0.2","0.2","0.1","98","90","91","118","24.4 %","45.3 %","33.1 %","21.6 %","16.7 %","48.5 %","34.8 %","10816"
"2016","Greg Garcia","Cardinals","99","214","257","59","45","11","0","3","33","17","38","4","50","4","1","0","3","1","1",".276","14.8 %","19.5 %","0.76",".393",".369",".762",".093","2.2",".346","35","4.3",".338","111","-0.4","1.9","0.2","171","120","113","71","7.7 %","33.3 %","35.8 %","30.9 %","17.6 %","58.8 %","23.6 %","10951"
"2017","Asdrubal Cabrera","Mets","135","479","540","134","88","32","0","14","66","59","50","1","83","5","5","1","19","3","2",".280","9.3 %","15.4 %","0.60",".351",".434",".785",".154","2.5",".310","74","7.8",".338","112","-0.6","-6.2","-2.1","103","99","98","103","9.7 %","46.3 %","34.3 %","19.4 %","17.2 %","46.0 %","36.8 %","4962"
"2016","Wilmer Flores","Mets","103","307","335","82","52","14","0","16","38","49","23","0","48","2","3","0","9","1","1",".267","6.9 %","14.3 %","0.48",".319",".469",".788",".202","1.8",".268","44","5.0",".336","114","-0.4","-4.7","0.2","79","103","74","132","13.6 %","40.1 %","36.6 %","23.3 %","20.2 %","52.7 %","27.1 %","5827"
"2016","Martin Prado","Marlins","153","600","658","183","135","37","3","8","70","75","49","4","69","4","5","0","24","2","2",".305","7.4 %","10.5 %","0.71",".359",".417",".775",".112","2.6",".331","87","9.4",".335","112","-0.8","1.2","-2.3","86","117","106","81","5.4 %","34.5 %","38.8 %","26.7 %","16.4 %","55.2 %","28.4 %","3312"
"2016","David Freese","Pirates","141","437","492","118","82","23","0","13","63","55","45","2","142","10","0","0","15","0","0",".270","9.1 %","28.9 %","0.32",".352",".412",".764",".142","1.6",".372","64","6.5",".334","108","-0.3","-2.7","-1.5","106","90","136","60","21.7 %","34.6 %","38.3 %","27.1 %","16.6 %","48.1 %","35.3 %","9549"
"2018","Brian Anderson","Marlins","156","590","670","161","112","34","4","11","87","65","62","2","129","16","2","0","18","2","4",".273","9.3 %","19.3 %","0.48",".357",".400",".757",".127","3.5",".332","88","10.0",".333","112","-1.7","2.9","-1.8","103","90","120","82","8.3 %","38.4 %","35.4 %","26.1 %","16.2 %","45.6 %","38.2 %","18289"
"2018","Jedd Gyorko","Cardinals","125","351","402","92","61","19","1","11","49","47","44","0","77","3","4","0","12","2","0",".262","10.9 %","19.2 %","0.57",".346",".416",".762",".154","3.3",".303","53","5.9",".333","111","0.1","-2.2","-1.7","122","94","92","113","10.0 %","43.9 %","33.1 %","23.0 %","16.2 %","46.8 %","37.1 %","10816"
"2017","Josh Harrison","Pirates","128","486","542","132","88","26","2","16","66","47","28","2","90","23","3","2","5","12","4",".272","5.2 %","16.6 %","0.31",".339",".432",".771",".160","4.9",".303","71","5.1",".332","104","0.4","0.7","1.1","57","111","82","116","10.0 %","43.9 %","31.9 %","24.2 %","18.7 %","48.9 %","32.4 %","8202"
"2017","Wilmer Flores","Mets","110","336","362","91","55","17","1","18","42","52","17","1","54","3","6","0","14","1","1",".271","4.7 %","14.9 %","0.31",".307",".488",".795",".217","2.4",".270","47","3.2",".331","107","-0.4","-0.3","-1.9","52","90","81","130","13.6 %","40.3 %","33.0 %","26.7 %","16.3 %","48.3 %","35.4 %","5827"
"2017","Johan Camargo","Braves","82","241","256","72","45","21","2","4","30","27","12","2","51","0","1","2","5","0","0",".299","4.7 %","19.9 %","0.24",".331",".452",".783",".154","3.0",".364","33","2.1",".330","100","-0.1","0.5","0.1","52","105","108","88","6.8 %","36.8 %","38.9 %","24.4 %","20.2 %","51.3 %","28.5 %","14950"
"2016","Jose Reyes","Mets","60","255","279","68","43","13","4","8","45","24","23","1","49","0","1","0","3","9","2",".267","8.2 %","17.6 %","0.47",".326",".443",".769",".176","7.5",".302","35","2.5",".329","109","0.8","1.1","0.6","95","103","78","127","9.0 %","37.7 %","34.8 %","27.5 %","30.4 %","40.6 %","29.0 %","1736"
"2018","Maikel Franco","Phillies","131","433","465","117","77","17","1","22","48","68","29","7","62","0","3","0","15","1","0",".270","6.2 %","13.3 %","0.47",".314",".467",".780",".196","2.1",".270","60","5.2",".328","105","0.0","-0.7","-2.2","69","78","114","97","17.5 %","44.4 %","34.0 %","21.7 %","28.3 %","44.1 %","27.5 %","12179"
"2018","Mike Moustakas","Brewers","54","195","218","50","30","12","0","8","20","33","19","2","40","2","2","0","3","1","1",".256","8.7 %","18.3 %","0.48",".326",".441",".767",".185","1.6",".282","28","2.3",".328","103","-0.3","-0.2","0.9","97","79","78","141","10.4 %","45.2 %","36.3 %","18.5 %","20.4 %","44.6 %","35.0 %","4892"
"2018","Wil Myers","Padres","83","312","343","79","42","25","1","11","39","39","30","1","94","0","1","0","10","13","1",".253","8.7 %","27.4 %","0.32",".318",".446",".763",".192","5.6",".327","44","3.6",".328","107","2.0","2.5","-0.8","97","126","101","83","17.5 %","50.2 %","33.3 %","16.4 %","12.3 %","41.1 %","46.6 %","10047"
"2018","Eduardo Escobar","Diamondbacks","54","198","223","53","34","11","0","8","30","21","18","2","35","2","5","0","5","1","1",".268","8.1 %","15.7 %","0.51",".327",".444",".772",".177","2.6",".281","28","2.3",".327","104","-0.3","-1.0","0.0","90","120","76","118","11.6 %","41.7 %","34.5 %","23.8 %","16.1 %","47.0 %","36.9 %","6153"
"2017","David Freese","Pirates","130","426","503","112","86","16","0","10","44","52","58","5","116","15","4","0","10","0","1",".263","11.5 %","23.1 %","0.50",".368",".371",".739",".108","1.0",".336","64","2.3",".326","100","-0.8","-3.4","0.0","128","99","129","64","14.1 %","25.8 %","43.3 %","30.9 %","19.4 %","48.7 %","31.9 %","9549"
"2017","T.J. Rivera","Mets","73","214","231","62","43","13","1","5","27","27","9","0","32","5","2","1","4","1","0",".290","3.9 %","13.9 %","0.28",".330",".430",".760",".140","3.6",".318","29","1.0",".326","104","0.1","0.4","0.6","43","122","80","113","6.8 %","43.8 %","36.8 %","19.5 %","18.9 %","51.4 %","29.7 %","12495"
"2017","Derek Dietrich","Marlins","135","406","464","101","61","22","5","13","56","53","36","5","98","18","4","0","4","0","1",".249","7.8 %","21.1 %","0.37",".334",".424",".758",".175","3.9",".294","58","1.1",".324","101","-0.7","0.9","1.3","86","111","83","116","10.2 %","40.7 %","36.5 %","22.8 %","20.5 %","47.4 %","32.1 %","10542"
"2017","Eduardo Nunez","Giants","76","302","318","93","68","21","0","4","37","31","12","0","29","1","2","1","8","18","5",".308","3.8 %","9.1 %","0.41",".334",".417",".752",".109","5.0",".328","39","0.6",".323","100","1.3","1.1","0.1","42","87","124","77","5.4 %","39.9 %","39.1 %","21.0 %","26.5 %","48.6 %","25.0 %","6848"
"2018","Christian Villanueva","Padres","110","351","384","83","48","15","0","20","42","46","23","0","104","9","1","0","12","3","0",".236","6.0 %","27.1 %","0.22",".299",".450",".750",".214","3.0",".276","47","2.5",".323","104","0.4","0.0","-1.4","67","94","75","135","17.1 %","50.0 %","30.2 %","19.8 %","23.4 %","44.4 %","32.3 %","11738"
"2018","Colin Moran","Pirates","144","415","465","115","84","19","1","11","49","58","39","4","82","4","7","0","6","0","2",".277","8.4 %","17.6 %","0.48",".340",".407",".747",".130","2.0",".316","57","2.8",".322","102","-1.1","-4.0","1.1","93","120","103","84","11.1 %","37.7 %","31.8 %","30.6 %","15.3 %","52.1 %","32.7 %","16909"
"2017","Greg Garcia","Cardinals","133","241","290","61","48","9","2","2","27","20","37","0","64","6","1","5","6","2","1",".253","12.8 %","22.1 %","0.58",".365",".332",".697",".079","3.9",".335","34","-1.1",".317","95","-0.3","1.1","0.4","142","148","108","62","5.3 %","29.5 %","38.8 %","31.7 %","19.7 %","63.4 %","16.9 %","10951"
"2016","Eugenio Suarez","Reds","159","565","627","140","92","25","2","21","78","70","51","0","155","8","3","0","10","11","5",".248","8.1 %","24.7 %","0.33",".317",".411",".728",".163","4.4",".304","73","-0.9",".316","93","-0.2","-1.3","0.3","94","102","91","111","13.5 %","39.5 %","35.1 %","25.4 %","17.2 %","47.9 %","34.9 %","12552"
"2016","Javier Baez","Cubs","142","421","450","115","81","19","1","14","50","59","15","3","108","11","2","1","8","12","3",".273","3.3 %","24.0 %","0.14",".314",".423",".737",".150","4.7",".336","52","-0.9",".316","94","0.9","0.9","1.0","39","92","99","107","12.7 %","45.6 %","34.5 %","19.9 %","18.7 %","52.2 %","29.1 %","12979"
"2018","David Bote","Cubs","74","184","210","44","27","9","2","6","23","33","19","1","60","4","3","0","3","3","4",".239","9.0 %","28.6 %","0.32",".319",".408",".727",".168","4.8",".314","24","-0.1",".314","96","-1.1","0.6","0.1","101","83","133","70","19.4 %","35.4 %","38.6 %","26.0 %","18.1 %","43.3 %","38.6 %","14593"
"2016","Conor Gillaspie","Giants","101","191","205","50","32","8","4","6","24","25","12","3","28","1","1","0","3","1","2",".262","5.9 %","13.7 %","0.43",".307",".440",".747",".178","4.8",".278","23","-0.8",".314","96","-0.7","0.0","0.4","68","109","86","113","9.5 %","37.2 %","35.4 %","27.4 %","19.5 %","48.8 %","31.7 %","9009"
"2016","Andres Blanco","Phillies","90","190","209","48","28","15","1","4","26","21","11","0","41","7","1","0","7","2","3",".253","5.3 %","19.6 %","0.27",".316",".405",".721",".153","4.2",".301","24","-0.8",".313","93","-0.9","0.5","-0.8","61","92","116","85","9.3 %","36.0 %","37.3 %","26.7 %","24.0 %","48.7 %","27.3 %","1907"
"2017","Cory Spangenberg","Padres","129","444","486","117","84","18","2","13","57","46","34","1","128","5","1","2","2","11","3",".264","7.0 %","26.3 %","0.27",".322",".401",".723",".137","5.0",".342","56","-3.3",".313","93","0.6","2.5","2.0","78","111","112","79","15.5 %","42.3 %","32.3 %","25.4 %","16.9 %","53.9 %","29.2 %","12294"
"2018","Pablo Sandoval","Giants","92","230","252","57","37","10","1","9","22","40","19","2","52","2","1","0","9","0","0",".248","7.5 %","20.6 %","0.37",".310",".417",".727",".170","1.7",".282","29","-0.5",".312","98","-0.1","-0.7","-1.0","84","92","116","85","17.0 %","33.5 %","36.9 %","29.6 %","15.6 %","43.6 %","40.8 %","5409"
"2016","Hernan Perez","Brewers","123","404","430","110","76","18","3","13","50","56","18","0","94","1","4","3","6","34","7",".272","4.2 %","21.9 %","0.19",".302",".428",".730",".156","6.9",".322","48","-2.2",".312","90","3.7","1.5","1.2","48","96","97","106","11.5 %","36.9 %","35.7 %","27.4 %","17.7 %","50.5 %","31.9 %","5751"
"2016","Maikel Franco","Phillies","152","581","630","148","99","23","1","25","67","88","40","7","106","5","4","0","13","1","1",".255","6.3 %","16.8 %","0.38",".306",".427",".733",".172","1.9",".271","71","-3.6",".311","92","-0.5","-0.9","0.0","73","94","100","104","14.7 %","45.5 %","34.7 %","19.8 %","21.5 %","47.8 %","30.7 %","12179"
"2016","Adonis Garcia","Braves","134","532","563","145","102","29","0","14","65","65","24","4","93","6","0","0","18","3","2",".273","4.3 %","16.5 %","0.26",".311",".406",".717",".133","2.7",".308","62","-4.6",".308","90","-0.5","0.0","-1.0","49","99","117","78","12.0 %","35.8 %","40.3 %","23.9 %","20.5 %","49.7 %","29.8 %","13777"
"2016","Jhonny Peralta","Cardinals","82","289","313","75","49","17","1","8","37","29","20","0","56","1","3","0","5","0","0",".260","6.4 %","17.9 %","0.36",".307",".408",".715",".149","2.4",".294","34","-2.6",".308","91","-0.2","-2.0","0.3","74","114","91","103","9.6 %","44.9 %","28.8 %","26.3 %","13.6 %","54.2 %","32.2 %","1738"
"2017","Logan Forsythe","Dodgers","119","361","439","81","56","19","0","6","56","36","69","1","109","4","5","0","12","3","2",".224","15.7 %","24.8 %","0.63",".351",".327",".678",".102","2.8",".299","48","-5.2",".307","90","-0.6","2.3","-0.9","175","112","99","94","7.1 %","30.0 %","42.8 %","27.2 %","13.2 %","50.2 %","36.6 %","7185"
"2018","Todd Frazier","Mets","115","408","472","87","51","18","0","18","54","59","48","1","112","8","8","0","10","9","4",".213","10.2 %","23.7 %","0.43",".303",".390",".693",".176","3.7",".241","50","-5.1",".302","93","-0.1","-0.2","0.0","113","86","82","131","12.9 %","49.7 %","30.3 %","20.1 %","17.4 %","41.8 %","40.8 %","785"
"2018","Ryan McMahon","Rockies","91","181","202","42","27","9","1","5","17","19","18","2","64","2","1","0","0","1","0",".232","8.9 %","31.7 %","0.28",".307",".376",".683",".144","3.5",".327","21","-3.1",".296","69","0.1","0.7","0.8","99","110","107","86","14.3 %","29.7 %","40.7 %","29.7 %","18.6 %","47.5 %","33.9 %","15112"
"2016","Matt Duffy","Giants","70","257","286","65","48","11","2","4","32","21","20","0","40","4","3","2","9","8","4",".253","7.0 %","14.0 %","0.50",".313",".358",".671",".105","5.4",".282","28","-5.5",".295","83","-0.2","-0.5","-0.8","81","111","108","83","6.5 %","27.5 %","35.6 %","36.9 %","18.5 %","53.2 %","28.4 %","13836"
"2018","Evan Longoria","Giants","125","480","512","117","72","25","4","16","51","54","22","3","101","5","5","0","11","3","1",".244","4.3 %","19.7 %","0.22",".281",".413",".694",".169","4.2",".274","52","-8.3",".295","87","0.0","0.0","-0.2","48","85","98","112","10.7 %","41.9 %","32.3 %","25.8 %","15.6 %","43.2 %","41.2 %","9368"
