Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2017,Austin Barnes,Dodgers,C,102,218,262,63,38,15,2,8,35,38,39,1,43,5,0,0,6,4,1,0.289,14.90%,16.40%,0.91,0.408,0.486,0.895,0.197,4.9,0.329,46,14.3,0.386,142,0.2,-1.3,-0.2,165,125,102,83,15.70%,33.10%,41.70%,25.10%,21.10%,48.00%,30.90%,12158
2017,Kurt Suzuki,Braves,C,81,276,309,78,46,13,0,19,38,50,17,2,39,13,2,1,5,0,0,0.283,5.50%,12.60%,0.44,0.351,0.536,0.887,0.254,1.1,0.268,51,13.3,0.372,127,-0.2,-1.3,0.5,61,90,79,132,17.10%,48.80%,35.00%,16.30%,20.00%,46.70%,33.30%,8259
2017,Chris Iannetta,Diamondbacks,C,89,272,316,69,33,19,0,17,38,43,37,0,87,6,1,0,3,0,0,0.254,11.70%,27.50%,0.43,0.354,0.511,0.865,0.257,1,0.308,51,12.3,0.367,120,-0.2,-3.2,0.8,130,100,84,121,21.50%,40.90%,30.10%,29.00%,19.40%,45.20%,35.50%,8267
2017,Buster Posey,Giants,C,140,494,568,158,112,34,0,12,62,67,61,13,66,8,5,0,17,6,1,0.32,10.70%,11.60%,0.92,0.4,0.462,0.861,0.142,2.8,0.347,91,21.4,0.366,128,0.4,-1.1,-1.1,119,114,99,94,8.40%,36.50%,40.00%,23.60%,14.10%,52.90%,33.00%,9166
2016,Willson Contreras,Cubs,C,76,252,283,71,44,14,1,12,33,35,26,0,67,4,1,0,7,2,2,0.282,9.20%,23.70%,0.39,0.357,0.488,0.845,0.206,2.9,0.339,44,10.4,0.363,126,-0.6,0,-0.7,106,85,122,81,23.50%,42.50%,34.40%,23.10%,17.70%,50.00%,32.30%,11609
2017,Willson Contreras,Cubs,C,117,377,428,104,62,21,0,21,50,74,45,2,98,3,2,1,13,5,4,0.276,10.50%,22.90%,0.46,0.356,0.499,0.855,0.223,2.4,0.319,67,14.8,0.362,122,-1,-4.1,-0.9,117,85,120,83,25.90%,43.60%,35.50%,20.90%,17.00%,47.50%,35.50%,11609
2016,Wilson Ramos,Nationals,C,131,482,523,148,101,25,0,22,58,80,35,2,79,2,4,0,17,0,0,0.307,6.70%,15.10%,0.44,0.354,0.496,0.85,0.189,0.9,0.327,80,18.7,0.361,123,-0.3,-4.6,-1.8,77,96,122,74,21.40%,38.30%,34.20%,27.50%,17.90%,46.70%,35.40%,1433
2017,Tyler Flowers,Braves,C,99,317,370,89,61,16,0,12,41,49,31,1,82,20,2,0,6,0,1,0.281,8.40%,22.20%,0.38,0.378,0.445,0.823,0.164,1.4,0.342,57,11.7,0.358,118,-0.7,0.7,0.3,93,119,95,95,15.20%,43.90%,28.30%,27.90%,18.10%,44.70%,37.10%,9134
2016,Jonathan Lucroy,Brewers,C,95,338,376,101,68,17,3,13,48,50,33,3,70,1,4,0,12,5,0,0.299,8.80%,18.60%,0.47,0.359,0.482,0.841,0.183,5.1,0.34,56,12.1,0.357,121,0.8,1.3,-0.7,102,113,87,109,12.90%,34.30%,39.90%,25.80%,15.90%,47.60%,36.50%,7870
2018,Francisco Cervelli,Pirates,C,104,332,404,86,56,15,3,12,39,57,51,1,84,15,4,2,7,2,3,0.259,12.60%,20.80%,0.61,0.378,0.431,0.809,0.172,3.1,0.308,61,13.3,0.355,124,-1.1,-0.4,-0.2,141,89,90,119,11.40%,38.60%,34.70%,26.80%,15.80%,50.40%,33.90%,5275
2018,J.T. Realmuto,Marlins,C,125,477,531,132,78,30,3,21,74,74,38,0,104,10,4,0,9,3,2,0.277,7.20%,19.60%,0.37,0.34,0.484,0.825,0.208,4.1,0.312,79,16.6,0.353,126,-0.5,3.8,1.5,80,104,92,107,14.90%,45.10%,35.30%,19.60%,18.00%,43.50%,38.50%,11739
2018,Yasmani Grandal,Dodgers,C,140,440,518,106,57,23,2,24,65,68,72,1,124,3,3,0,12,2,1,0.241,13.90%,23.90%,0.58,0.349,0.466,0.815,0.225,3.1,0.278,76,15.6,0.352,125,-0.3,-4.8,-1,155,79,95,119,18.00%,48.30%,32.90%,18.80%,19.80%,39.50%,40.80%,11368
