Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2017,Charlie Blackmon,Rockies,CF,159,644,725,213,127,35,14,37,137,104,65,9,135,10,3,3,4,14,10,0.331,9.00%,18.60%,0.48,0.399,0.601,1,0.27,6.4,0.371,146,57.2,0.414,142,-1.9,3,0.9,100,109,92,105,19.60%,43.50%,31.70%,24.90%,17.10%,43.90%,39.00%,7859
2017,Tommy Pham,Cardinals,CF,128,444,530,136,89,22,2,23,95,73,71,0,117,10,3,2,18,25,7,0.306,13.40%,22.10%,0.61,0.411,0.52,0.931,0.214,6,0.368,99,34.5,0.398,149,1.6,4.3,-0.6,149,108,117,74,26.70%,36.80%,34.90%,28.30%,15.40%,49.10%,35.50%,2967
2016,Trea Turner,Nationals,CF,73,307,324,105,70,14,8,13,53,40,14,0,59,1,2,0,1,33,6,0.342,4.30%,18.20%,0.24,0.37,0.567,0.937,0.225,8.7,0.388,59,20.6,0.395,146,4,0.7,0.9,50,119,96,93,16.70%,36.80%,41.20%,22.00%,17.20%,48.00%,34.80%,16252
2016,Charlie Blackmon,Rockies,CF,143,578,641,187,118,35,5,29,111,82,43,4,102,13,4,3,2,17,9,0.324,6.70%,15.90%,0.42,0.381,0.552,0.933,0.228,5.9,0.35,116,40.1,0.394,132,-0.7,1.9,1.7,78,131,77,111,16.20%,43.90%,31.30%,24.80%,19.10%,46.60%,34.40%,7859
2017,Michael Conforto,Mets,CF,109,373,440,104,56,20,1,27,72,68,57,5,113,8,2,0,3,2,0,0.279,13.00%,25.70%,0.5,0.384,0.555,0.939,0.276,3.6,0.328,80,26.4,0.392,147,0.1,1.8,1,144,119,85,107,27.30%,32.40%,39.70%,27.90%,20.20%,38.20%,41.60%,16376
2018,Brandon Nimmo,Mets,CF,140,433,535,114,61,28,8,17,77,47,80,2,140,22,0,0,8,9,6,0.263,15.00%,26.20%,0.57,0.404,0.483,0.886,0.219,5.9,0.351,93,30.8,0.385,148,-1,3.2,-0.3,167,99,104,96,17.50%,44.70%,32.10%,23.20%,18.40%,44.40%,37.20%,12927
2018,Bryce Harper,Nationals,CF,159,550,695,137,69,34,0,34,103,100,130,16,169,6,9,0,7,13,3,0.249,18.70%,24.30%,0.77,0.393,0.496,0.889,0.247,3.7,0.289,116,34.6,0.376,134,0.9,-2.8,2.3,208,102,92,109,23.10%,42.30%,29.50%,28.20%,11.80%,45.90%,42.30%,11579
2016,Yoenis Cespedes,Mets,CF,132,479,543,134,77,25,1,31,72,86,51,8,108,7,6,0,14,3,1,0.28,9.40%,19.90%,0.47,0.354,0.53,0.884,0.251,2.9,0.298,87,22.8,0.369,136,-0.1,0.4,-0.8,109,101,83,121,19.90%,39.30%,36.90%,23.90%,15.40%,45.40%,39.30%,13110
2018,Charlie Blackmon,Rockies,CF,156,626,696,182,115,31,7,29,119,70,59,2,134,8,2,1,10,12,4,0.291,8.50%,19.30%,0.44,0.358,0.502,0.86,0.211,6.1,0.329,111,30.1,0.368,117,0.3,1.2,-0.1,94,106,100,96,17.70%,40.80%,37.00%,22.20%,16.00%,48.30%,35.80%,7859
2016,Dexter Fowler,Cubs,CF,125,456,551,126,81,25,7,13,84,48,79,0,124,11,4,1,3,13,4,0.276,14.30%,22.50%,0.64,0.393,0.447,0.84,0.171,6.5,0.35,87,22.2,0.367,129,0.6,4.2,1.3,166,112,91,104,11.00%,39.50%,38.00%,22.60%,17.50%,51.90%,30.60%,4062
2017,Chris Taylor,Dodgers,CF,140,514,568,148,88,34,5,21,85,72,50,0,142,3,1,0,2,17,4,0.288,8.80%,25.00%,0.35,0.354,0.496,0.85,0.208,6.4,0.361,89,19.3,0.361,126,1.4,3,2.3,98,110,94,102,15.80%,38.30%,33.50%,28.20%,15.80%,51.70%,32.40%,13757
2017,Andrew McCutchen,Pirates,CF,156,570,650,159,99,30,2,28,94,88,73,5,116,4,3,0,10,11,5,0.279,11.20%,17.80%,0.63,0.363,0.486,0.849,0.207,4.3,0.305,101,21.5,0.36,122,-0.3,0.1,1.3,125,107,92,106,16.40%,42.70%,36.80%,20.60%,17.50%,47.30%,35.20%,9847
2016,Joc Pederson,Dodgers,CF,137,406,476,100,49,26,0,25,64,68,63,4,130,4,2,1,5,6,2,0.246,13.20%,27.30%,0.48,0.352,0.495,0.847,0.249,3.2,0.296,72,16.3,0.36,128,0.1,-1.2,1.3,153,97,89,116,23.10%,41.60%,37.30%,21.20%,17.20%,44.10%,38.70%,11899
2018,Lorenzo Cain,Brewers,CF,141,539,620,166,129,25,2,10,90,38,71,1,94,8,2,0,10,30,7,0.308,11.50%,15.20%,0.76,0.395,0.417,0.813,0.109,5.6,0.357,95,22.3,0.359,124,2.6,3.8,0,128,102,126,66,9.70%,29.80%,37.40%,32.90%,18.10%,43.60%,38.30%,9077
2017,Dexter Fowler,Cardinals,CF,118,420,491,111,62,22,9,18,68,64,63,6,101,4,4,0,10,7,3,0.264,12.80%,20.60%,0.62,0.363,0.488,0.851,0.224,5.9,0.305,75,15.2,0.358,122,-0.2,2.2,-0.1,143,109,89,108,14.60%,40.30%,37.50%,22.30%,12.70%,49.20%,38.10%,4062
2017,Ian Happ,Cubs,CF,115,364,413,92,48,17,3,24,62,68,39,5,129,4,4,2,12,8,4,0.253,9.40%,31.20%,0.3,0.328,0.514,0.842,0.261,5.7,0.316,60,9.8,0.349,114,-0.3,-0.4,-1.9,105,98,91,113,25.30%,44.80%,31.50%,23.70%,18.70%,48.60%,32.80%,17919
2017,Christian Yelich,Marlins,CF,156,602,695,170,114,36,2,18,100,81,80,4,137,6,6,0,13,16,2,0.282,11.50%,19.70%,0.58,0.369,0.439,0.807,0.156,5.2,0.336,101,15.8,0.348,117,1.9,3.1,1.8,128,95,125,71,15.30%,33.30%,37.40%,29.30%,15.90%,48.80%,35.20%,11477
