Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2018,Christian Yelich,Brewers,LF,147,574,651,187,110,34,7,36,118,110,68,2,135,7,2,0,14,22,4,0.326,10.40%,20.70%,0.5,0.402,0.598,1,0.272,6.8,0.373,133,57,0.422,166,2.3,4.2,-0.7,116,113,120,67,35.00%,34.90%,38.10%,27.00%,14.50%,37.90%,47.60%,11477
2017,Rhys Hoskins,Phillies,LF,50,170,212,44,19,7,0,18,37,48,37,1,46,3,2,0,2,2,0,0.259,17.50%,21.70%,0.8,0.396,0.618,1.014,0.359,3.4,0.241,43,17.2,0.417,158,0.3,0.6,1,194,116,70,128,31.60%,49.20%,28.60%,22.20%,12.70%,41.30%,46.00%,16472
2017,Tommy Pham,Cardinals,LF,128,444,530,136,89,22,2,23,95,73,71,0,117,10,3,2,18,25,7,0.306,13.40%,22.10%,0.61,0.411,0.52,0.931,0.214,6,0.368,99,34.5,0.398,149,1.6,4.3,-0.6,149,108,117,74,26.70%,36.80%,34.90%,28.30%,15.40%,49.10%,35.50%,2967
2016,Kris Bryant,Cubs,LF,155,603,699,176,99,35,3,39,121,102,75,5,154,18,3,0,3,8,5,0.292,10.70%,22.00%,0.49,0.385,0.554,0.939,0.262,4.5,0.332,127,45.1,0.396,148,-0.9,3,5,124,112,68,134,18.80%,46.70%,33.60%,19.70%,17.00%,42.70%,40.30%,15429
2017,Michael Conforto,Mets,LF,109,373,440,104,56,20,1,27,72,68,57,5,113,8,2,0,3,2,0,0.279,13.00%,25.70%,0.5,0.384,0.555,0.939,0.276,3.6,0.328,80,26.4,0.392,147,0.1,1.8,1,144,119,85,107,27.30%,32.40%,39.70%,27.90%,20.20%,38.20%,41.60%,16376
2018,Juan Soto,Nationals,LF,116,414,494,121,73,25,1,22,77,70,79,10,99,0,0,1,9,5,2,0.292,16.00%,20.00%,0.8,0.406,0.517,0.923,0.225,3.5,0.338,89,31.1,0.392,145,-0.2,2,0.2,178,80,124,83,24.70%,36.10%,36.40%,27.50%,20.30%,44.90%,34.80%,20123
2017,Marcell Ozuna,Marlins,LF,159,613,679,191,122,30,2,37,93,124,64,4,144,0,2,0,18,1,3,0.312,9.40%,21.20%,0.44,0.376,0.548,0.924,0.237,2.3,0.355,121,38.4,0.388,143,-1.5,-3.1,-0.6,105,94,107,95,23.40%,38.60%,36.30%,25.10%,18.30%,42.70%,39.10%,10324
2018,Ronald Acuna Jr.,Braves,LF,111,433,487,127,71,26,4,26,78,64,45,2,123,6,3,0,4,16,5,0.293,9.20%,25.30%,0.37,0.366,0.552,0.917,0.259,6.3,0.352,86,28.9,0.388,143,0.9,1.6,0.3,103,84,98,113,21.10%,43.80%,36.10%,20.10%,13.70%,41.90%,44.40%,18401
2017,Cody Bellinger,Dodgers,LF,132,480,548,128,59,26,4,39,87,97,64,13,146,1,3,0,5,10,3,0.267,11.70%,26.60%,0.44,0.352,0.581,0.933,0.315,5.5,0.299,94,27.3,0.38,138,0.4,-0.6,2.2,130,86,80,134,25.20%,42.40%,34.70%,22.90%,14.00%,43.00%,43.00%,15998
2017,Jose Martinez,Cardinals,LF,106,272,307,84,56,13,1,14,47,46,32,2,60,0,2,1,9,4,0,0.309,10.40%,19.50%,0.53,0.379,0.518,0.897,0.21,4.6,0.35,52,15,0.379,136,0.6,0.2,-0.6,116,130,95,89,20.90%,34.90%,35.80%,29.30%,17.70%,45.10%,37.20%,7996
