Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2016,Patrick Corbin,Diamondbacks,P,38,49,53,15,11,3,1,0,7,4,1,0,14,0,0,3,0,0,1,0.306,1.90%,26.40%,0.07,0.32,0.408,0.728,0.102,5.6,0.429,6,-0.2,0.313,87,-0.4,,,22,114,142,36,0.00%,15.80%,47.40%,36.80%,18.40%,73.70%,7.90%,9323
2016,Jake Arrieta,Cubs,P,31,65,70,17,12,2,1,2,7,7,4,0,28,0,0,1,1,0,0,0.262,5.70%,40.00%,0.14,0.304,0.415,0.72,0.154,3.7,0.429,8,-0.5,0.31,90,0,,,66,92,87,122,13.30%,23.70%,47.40%,29.00%,13.20%,57.90%,29.00%,4153
2017,Adam Wainwright,Cardinals,P,26,42,50,11,7,2,0,2,7,11,1,0,15,0,0,7,2,0,0,0.262,2.00%,30.00%,0.07,0.279,0.452,0.731,0.19,2.6,0.36,6,-0.5,0.308,90,0,,,22,75,104,109,20.00%,35.30%,47.10%,17.70%,26.50%,47.10%,26.50%,2233
2016,Adam Wainwright,Cardinals,P,34,62,69,14,3,8,1,2,6,18,2,0,17,0,0,5,1,0,0,0.226,2.90%,24.60%,0.12,0.25,0.484,0.734,0.258,3.8,0.279,7,-0.7,0.305,89,0,,,34,88,88,123,11.10%,56.00%,30.00%,14.00%,20.00%,48.00%,32.00%,2233
2016,Noah Syndergaard,Mets,P,31,58,67,11,5,3,0,3,6,6,7,0,34,0,0,2,1,0,0,0.19,10.40%,50.70%,0.21,0.277,0.397,0.673,0.207,0.8,0.381,6,-1.4,0.292,84,0,,,121,129,61,133,30.00%,42.30%,42.30%,15.40%,7.70%,50.00%,42.30%,11762
2018,Clayton Kershaw,Dodgers,P,27,46,57,11,9,2,0,0,1,7,7,0,11,0,0,4,0,0,0,0.239,12.30%,19.30%,0.64,0.34,0.283,0.622,0.043,0.1,0.314,5,-1.3,0.287,82,0,,,137,129,144,27,0.00%,33.30%,25.60%,41.00%,33.30%,51.30%,15.40%,2036
2018,German Marquez,Rockies,P,33,60,65,18,17,0,0,1,4,5,0,0,11,0,0,5,1,0,0,0.3,0.00%,16.90%,0,0.3,0.35,0.65,0.05,0.6,0.354,6,-1.7,0.283,60,0,,,0,114,131,52,12.50%,33.30%,37.00%,29.60%,18.50%,53.70%,27.80%,15038
2016,Madison Bumgarner,Giants,P,36,86,97,16,7,6,0,3,8,9,10,0,43,0,1,0,1,0,0,0.186,10.30%,44.30%,0.23,0.268,0.36,0.629,0.174,0.9,0.317,8,-3.6,0.274,69,0,,,119,96,102,100,20.00%,68.20%,15.90%,15.90%,18.20%,50.00%,31.80%,5524
2017,Ty Blach,Giants,P,38,44,53,10,7,2,0,1,5,7,4,0,21,0,1,4,1,0,0,0.227,7.50%,39.60%,0.19,0.286,0.341,0.627,0.114,1.4,0.391,4,-2.2,0.273,67,0,,,84,177,82,77,16.70%,17.90%,39.30%,42.90%,21.40%,57.10%,21.40%,14361
2017,Robbie Ray,Diamondbacks,P,28,53,61,13,11,2,0,0,5,2,3,0,23,0,0,5,0,0,0,0.245,4.90%,37.70%,0.13,0.286,0.283,0.569,0.038,1.5,0.433,4,-3.5,0.253,46,0,,,55,90,126,74,0.00%,22.90%,62.90%,14.30%,31.40%,51.40%,17.10%,11486
2018,Zack Greinke,Diamondbacks,P,34,64,71,15,11,4,0,0,6,5,3,0,16,0,0,4,3,3,0,0.234,4.20%,22.50%,0.19,0.269,0.297,0.566,0.063,5.5,0.313,5,-3.8,0.25,52,0.6,,,47,125,105,78,0.00%,34.60%,28.90%,36.50%,17.30%,51.90%,30.80%,1943
2018,Max Scherzer,Nationals,P,35,70,78,17,15,2,0,0,8,6,1,0,14,2,0,5,1,1,0,0.243,1.30%,17.90%,0.07,0.274,0.271,0.545,0.029,4.7,0.304,5,-4.5,0.244,47,0.2,,,14,69,153,54,0.00%,27.90%,52.50%,19.70%,24.60%,60.70%,14.80%,3137
2016,Jose Fernandez,Marlins,P,30,52,61,13,11,2,0,0,3,6,1,0,13,0,0,8,1,0,0,0.25,1.60%,21.30%,0.08,0.264,0.288,0.553,0.038,0.9,0.333,3,-3.8,0.242,50,0,,,19,74,153,46,0.00%,46.80%,29.80%,23.40%,25.50%,63.80%,10.60%,11530
2016,Jason Hammel,Cubs,P,35,65,69,16,13,3,0,0,6,7,1,0,24,0,0,3,0,0,0,0.246,1.40%,34.80%,0.04,0.258,0.292,0.55,0.046,1.7,0.39,4,-4.4,0.24,44,0,,,17,87,124,77,0.00%,25.00%,31.80%,43.20%,31.80%,47.70%,20.50%,4538
2017,Taijuan Walker,Diamondbacks,P,28,52,54,12,10,1,0,1,6,5,1,0,19,0,0,1,1,0,0,0.231,1.90%,35.20%,0.05,0.245,0.308,0.553,0.077,2.1,0.344,3,-3.7,0.239,36,0,,,21,103,137,52,16.70%,20.60%,52.90%,26.50%,35.30%,50.00%,14.70%,11836
2017,Zack Greinke,Diamondbacks,P,33,62,70,13,9,4,0,0,4,4,2,0,18,1,0,5,0,0,0,0.21,2.90%,25.70%,0.11,0.246,0.274,0.52,0.065,1.2,0.295,3,-5.4,0.23,30,0,,,32,166,92,71,0.00%,34.70%,40.80%,24.50%,20.40%,44.90%,34.70%,1943
2016,Carlos Martinez,Cardinals,P,33,59,65,14,13,1,0,0,5,6,0,0,13,1,1,4,1,0,0,0.237,0.00%,20.00%,0,0.246,0.254,0.5,0.017,1.7,0.298,2,-5.3,0.219,32,0,,,0,60,167,37,0.00%,33.30%,45.10%,21.60%,37.30%,41.20%,21.60%,11682
2017,Jacob deGrom,Mets,P,37,71,77,15,13,1,0,1,6,4,2,0,22,0,0,4,0,1,0,0.211,2.60%,28.60%,0.09,0.233,0.268,0.5,0.056,3.9,0.292,3,-6.6,0.219,34,0.2,,,29,139,101,75,7.70%,34.00%,34.00%,32.10%,28.30%,47.20%,24.50%,10954
2016,Zack Greinke,Diamondbacks,P,27,52,60,11,10,1,0,0,4,3,3,0,9,0,2,3,0,1,0,0.212,5.00%,15.00%,0.33,0.246,0.231,0.476,0.019,4,0.244,2,-5.2,0.212,20,0.2,,,58,99,104,95,0.00%,31.30%,35.40%,33.30%,18.80%,54.20%,27.10%,1943
2016,Stephen Strasburg,Nationals,P,24,48,57,10,9,1,0,0,3,2,2,0,11,0,0,7,2,0,0,0.208,3.50%,19.30%,0.18,0.24,0.229,0.469,0.021,1.1,0.27,2,-5.1,0.211,22,0,,,41,83,165,26,0.00%,18.20%,56.80%,25.00%,36.40%,52.30%,11.40%,10131
2016,Robbie Ray,Diamondbacks,P,32,53,60,10,7,2,0,1,3,2,1,0,26,0,0,6,0,0,0,0.189,1.70%,43.30%,0.04,0.204,0.283,0.487,0.094,0.8,0.346,2,-5.4,0.21,18,0,,,19,70,149,54,20.00%,39.40%,42.40%,18.20%,39.40%,39.40%,21.20%,11486
2018,Tanner Roark,Nationals,P,31,58,65,11,8,2,1,0,6,8,1,0,19,1,0,5,1,0,0,0.19,1.50%,29.20%,0.05,0.217,0.259,0.475,0.069,5.1,0.282,2,-5.6,0.209,23,0,,,17,70,178,22,0.00%,15.90%,63.60%,20.50%,22.70%,59.10%,18.20%,8753
2017,Jhoulys Chacin,Padres,P,34,54,61,12,10,2,0,0,0,4,0,0,11,0,0,7,2,1,0,0.222,0.00%,18.00%,0,0.222,0.259,0.481,0.037,2.9,0.279,2,-5.8,0.208,24,0.2,,,0,57,126,92,0.00%,50.00%,24.00%,26.00%,38.00%,46.00%,16.00%,2608
2017,Clayton Kershaw,Dodgers,P,27,49,59,9,8,1,0,0,6,2,4,0,13,0,0,6,2,0,0,0.184,6.80%,22.00%,0.31,0.245,0.204,0.449,0.02,2.4,0.25,2,-5.6,0.208,25,0,,,75,89,151,43,0.00%,23.80%,26.20%,50.00%,16.70%,73.80%,9.50%,2036
2017,Jon Lester,Cubs,P,32,54,65,8,4,3,0,1,5,6,4,0,26,0,1,6,0,1,0,0.148,6.20%,40.00%,0.15,0.203,0.259,0.463,0.111,4.7,0.25,1,-6.5,0.203,18,0.2,,,68,67,148,59,16.70%,37.10%,45.70%,17.10%,22.90%,51.40%,25.70%,4930
2016,Tyler Chatwood,Rockies,P,27,53,58,10,9,0,1,0,3,4,2,0,14,0,0,3,1,0,0,0.189,3.40%,24.10%,0.14,0.218,0.226,0.445,0.038,3.6,0.256,1,-5.8,0.197,0,0,,,40,92,143,49,0.00%,16.70%,40.50%,42.90%,28.60%,66.70%,4.80%,4338
2016,Julio Teheran,Braves,P,31,49,61,10,9,1,0,0,1,2,1,0,16,0,0,11,1,0,0,0.204,1.60%,26.20%,0.06,0.22,0.224,0.444,0.02,0.1,0.303,1,-6.1,0.197,15,0,,,19,152,79,95,0.00%,18.20%,45.50%,36.40%,36.40%,50.00%,13.60%,6797
2017,Zach Davies,Brewers,P,33,48,69,6,4,2,0,0,7,3,7,0,15,0,0,14,1,0,0,0.125,10.10%,21.70%,0.47,0.236,0.167,0.403,0.042,2.6,0.182,1,-7.2,0.197,12,0,,,113,44,144,77,0.00%,29.80%,34.00%,36.20%,36.20%,51.10%,12.80%,13183
2018,Patrick Corbin,Diamondbacks,P,33,61,67,12,11,1,0,0,1,5,2,0,25,0,0,4,3,0,0,0.197,3.00%,37.30%,0.08,0.222,0.213,0.435,0.016,0.1,0.333,1,-6.5,0.195,16,0,,,33,86,166,27,0.00%,30.00%,45.00%,25.00%,27.50%,57.50%,15.00%,9323
2017,Max Scherzer,Nationals,P,31,62,72,10,9,0,0,1,4,5,4,0,16,0,0,6,0,0,0,0.161,5.60%,22.20%,0.25,0.212,0.21,0.422,0.048,1,0.2,1,-7.9,0.192,8,0,,,62,76,146,57,11.10%,32.70%,34.60%,32.70%,38.50%,40.40%,21.20%,3137
2018,Julio Teheran,Braves,P,31,40,54,7,6,0,0,1,2,4,1,0,8,0,1,12,0,0,0,0.175,1.90%,14.80%,0.13,0.19,0.25,0.44,0.075,0.4,0.188,1,-5.5,0.19,12,0,,,21,55,126,96,9.10%,24.40%,55.60%,20.00%,20.00%,60.00%,20.00%,6797
2016,Jeremy Hellickson,Phillies,P,32,54,66,9,8,1,0,0,3,4,4,0,24,0,0,8,1,0,0,0.167,6.10%,36.40%,0.17,0.224,0.185,0.409,0.019,1,0.3,1,-7,0.19,11,0,,,70,101,160,21,0.00%,26.30%,34.20%,39.50%,31.60%,65.80%,2.60%,4371
2017,Carlos Martinez,Cardinals,P,34,62,69,11,8,3,0,0,5,11,1,0,19,1,0,5,1,0,0,0.177,1.40%,27.50%,0.05,0.203,0.226,0.429,0.048,2.1,0.256,1,-7.7,0.189,12,0,,,16,100,162,22,0.00%,31.30%,50.00%,18.80%,45.80%,39.60%,14.60%,11682
2017,Mike Leake,Cardinals,P,27,47,55,8,7,1,0,0,2,4,3,0,15,0,0,5,2,0,0,0.17,5.50%,27.30%,0.2,0.22,0.191,0.411,0.021,0.7,0.25,1,-6.1,0.189,12,0,,,61,114,113,76,0.00%,37.80%,40.50%,21.60%,24.30%,56.80%,18.90%,10130
2018,Steven Matz,Mets,P,30,46,53,5,2,1,0,2,2,4,3,0,13,0,0,4,1,0,0,0.109,5.70%,24.50%,0.23,0.163,0.261,0.424,0.152,0.1,0.097,1,-5.5,0.186,16,0,,,63,111,112,78,22.20%,21.60%,37.80%,40.50%,27.00%,59.50%,13.50%,13361
2016,Max Scherzer,Nationals,P,34,70,85,13,12,1,0,0,4,12,2,0,30,0,0,13,1,0,0,0.186,2.40%,35.30%,0.07,0.208,0.2,0.408,0.014,1.2,0.325,1,-9.5,0.183,3,0,,,27,83,157,37,0.00%,24.50%,41.50%,34.00%,22.60%,54.70%,22.60%,3137
2018,Zack Wheeler,Mets,P,29,56,60,11,9,2,0,0,4,4,0,0,21,0,1,3,1,0,0,0.196,0.00%,35.00%,0,0.193,0.232,0.425,0.036,1.8,0.306,1,-6.5,0.183,13,0,,,0,118,106,82,0.00%,38.50%,33.30%,28.20%,15.40%,74.40%,10.30%,10310
2018,Miles Mikolas,Cardinals,P,34,63,71,9,6,1,0,2,4,6,2,0,33,0,1,5,0,0,0,0.143,2.80%,46.50%,0.06,0.167,0.254,0.421,0.111,0.9,0.241,1,-7.7,0.181,10,0,,,31,98,107,92,22.20%,33.30%,30.60%,36.10%,25.00%,52.80%,22.20%,9803
2018,Jacob deGrom,Mets,P,32,67,74,11,10,1,0,0,1,5,4,0,25,0,0,3,1,0,0,0.164,5.40%,33.80%,0.16,0.211,0.179,0.39,0.015,0.1,0.262,1,-8.1,0.18,12,0,,,60,106,119,73,0.00%,26.70%,26.70%,46.70%,20.00%,73.30%,6.70%,10954
2017,Gerrit Cole,Pirates,P,34,55,68,9,7,1,0,1,3,3,1,0,21,0,0,12,1,0,0,0.164,1.50%,30.90%,0.05,0.179,0.236,0.415,0.073,0.9,0.242,0,-8.1,0.179,4,0,,,16,47,146,73,12.50%,21.70%,41.30%,37.00%,21.70%,63.00%,15.20%,13125
2018,Jake Arrieta,Phillies,P,31,45,50,6,5,0,0,1,3,3,3,0,27,0,0,2,1,0,0,0.133,6.00%,54.00%,0.11,0.188,0.2,0.388,0.067,1.1,0.294,0,-5.6,0.177,4,0,,,67,122,77,115,16.70%,40.00%,40.00%,20.00%,10.00%,65.00%,25.00%,4153
2017,Patrick Corbin,Diamondbacks,P,35,56,70,7,6,0,1,0,6,0,6,0,28,0,0,8,0,0,0,0.125,8.60%,40.00%,0.21,0.21,0.161,0.37,0.036,4.9,0.25,0,-8.5,0.177,-5,0,,,95,56,174,33,0.00%,25.00%,44.40%,30.60%,36.10%,41.70%,22.20%,9323
2018,Jhoulys Chacin,Brewers,P,36,56,68,9,8,1,0,0,2,1,3,0,17,0,0,9,0,0,0,0.161,4.40%,25.00%,0.18,0.203,0.179,0.382,0.018,0.6,0.231,0,-7.7,0.175,2,0,,,49,59,148,66,0.00%,43.80%,20.80%,35.40%,22.90%,47.90%,29.20%,2608
