"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","wRC","wRAA","wOBA","Spd","wRC+","wSB","UBR","wGDP","FB%+","BB%+","LD+%","GB%+","Hard%","Med%","Soft%","Oppo%","Cent%","Pull%","HR/FB","playerid"
"2016","Hunter Renfroe","Padres","11","35","36","13","6","3","0","4","8","14","1","1","5","0","0","0","1","0","0",".371","2.8 %","13.9 %","0.20",".389",".800","1.189",".429",".346","9","5.0",".487","2.0","212","0.0","0.3","0.0","127","32","63","97","26.7 %","66.7 %","6.7 %","13.3 %","46.7 %","40.0 %","30.8 %","15464"
"2015","Jarrett Parker","Giants","21","49","54","17","9","2","0","6","11","14","5","0","21","0","0","0","1","1","1",".347","9.3 %","38.9 %","0.24",".407",".755","1.163",".408",".500","14","7.5",".486","3.1","219","-0.2","0.3","0.1","97","117","134","86","39.3 %","53.6 %","7.1 %","14.3 %","42.9 %","42.9 %","66.7 %","11624"
"2018","Mark Zagunis","Cubs","5","5","6","2","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0",".400","16.7 %","16.7 %","1.00",".500",".600","1.100",".200",".500","1","0.8",".469","0.1","199","0.0","0.0","0.0","143","186","229","0","25.0 %","25.0 %","50.0 %","100.0 %","0.0 %","0.0 %","0.0 %","16565"
"2019","Tyrone Taylor","Brewers","15","10","12","4","2","2","0","0","1","1","1","0","1","1","0","0","0","0","0",".400","8.3 %","8.3 %","1.00",".500",".600","1.100",".200",".444","3","1.5",".465","0.8","190","0.0","-0.1","0.1","0","94","51","207","22.2 %","44.4 %","33.3 %","44.4 %","22.2 %","33.3 %","0.0 %","13675"
"2015","Bryce Harper","Nationals","153","521","654","172","91","38","1","42","118","99","124","15","131","5","4","0","15","6","4",".330","19.0 %","20.0 %","0.95",".460",".649","1.109",".319",".369","151","77.3",".461","3.1","197","-0.8","3.5","0.9","119","239","104","85","40.9 %","47.2 %","11.9 %","20.8 %","33.8 %","45.4 %","27.3 %","11579"
"2017","J.D. Martinez","Diamondbacks","62","232","257","70","27","13","1","29","47","65","24","3","74","0","1","0","13","2","0",".302","9.3 %","28.8 %","0.32",".366",".741","1.107",".440",".315","58","27.1",".446","4.1","172","0.3","-2.7","-2.1","137","104","80","80","50.9 %","35.2 %","13.8 %","28.9 %","31.5 %","39.6 %","37.7 %","6184"
"2019","Christian Yelich","Brewers","130","489","580","161","85","29","3","44","100","97","80","16","118","8","3","0","8","30","2",".329","13.8 %","20.3 %","0.68",".429",".671","1.100",".342",".355","134","61.0",".442","6.2","174","4.8","3.2","0.5","101","156","96","101","50.8 %","34.8 %","14.4 %","23.3 %","37.4 %","39.3 %","32.8 %","11477"
"2016","Jordan Patterson","Rockies","10","18","19","8","7","1","0","0","1","2","1","0","1","0","0","0","0","0","1",".444","5.3 %","5.3 %","1.00",".474",".500",".974",".056",".471","4","1.7",".425","1.3","153","-0.4","0.3","0.1","103","61","139","79","29.4 %","35.3 %","35.3 %","23.5 %","29.4 %","47.1 %","0.0 %","15119"
"2017","Jeremy Hazelbaker","Diamondbacks","41","52","61","18","12","2","2","2","10","10","9","2","20","0","0","0","0","1","0",".346","14.8 %","32.8 %","0.45",".443",".577","1.020",".231",".533","13","5.2",".422","6.5","156","0.2","0.9","0.3","106","164","122","85","40.6 %","50.0 %","9.4 %","12.5 %","50.0 %","37.5 %","16.7 %","9399"
"2018","Christian Yelich","Brewers","147","574","651","187","110","34","7","36","118","110","68","2","135","7","2","0","14","22","4",".326","10.4 %","20.7 %","0.50",".402",".598","1.000",".272",".373","133","57.0",".422","6.8","166","2.3","4.2","-0.7","67","116","113","120","47.6 %","37.9 %","14.5 %","27.0 %","38.1 %","34.9 %","35.0 %","11477"
