Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2017,J.D. Martinez,Diamondbacks,RF,62,232,257,70,27,13,1,29,47,65,24,3,74,0,1,0,13,2,0,0.302,9.30%,28.80%,0.32,0.366,0.741,1.107,0.44,4.1,0.315,58,27.1,0.446,172,0.3,-2.7,-2.1,104,80,80,137,37.70%,39.60%,31.50%,28.90%,13.80%,35.20%,50.90%,6184
2018,Christian Yelich,Brewers,RF,147,574,651,187,110,34,7,36,118,110,68,2,135,7,2,0,14,22,4,0.326,10.40%,20.70%,0.5,0.402,0.598,1,0.272,6.8,0.373,133,57,0.422,166,2.3,4.2,-0.7,116,113,120,67,35.00%,34.90%,38.10%,27.00%,14.50%,37.90%,47.60%,11477
2017,Bryce Harper,Nationals,RF,111,420,492,134,77,27,1,29,95,87,68,11,99,1,3,0,15,4,2,0.319,13.80%,20.10%,0.69,0.413,0.595,1.008,0.276,3.7,0.356,99,39.4,0.416,155,-0.4,-0.1,-0.3,154,107,91,107,24.00%,35.50%,35.20%,29.30%,13.30%,52.50%,34.30%,11579
2017,Giancarlo Stanton,Marlins,RF,159,597,692,168,77,32,0,59,123,132,85,13,163,7,3,0,13,2,2,0.281,12.30%,23.60%,0.52,0.376,0.631,1.007,0.35,2.3,0.288,137,52.3,0.41,158,-0.8,-2.4,0.9,137,78,101,112,34.30%,44.60%,35.20%,20.10%,20.80%,40.30%,38.90%,4949
2018,Brandon Nimmo,Mets,RF,140,433,535,114,61,28,8,17,77,47,80,2,140,22,0,0,8,9,6,0.263,15.00%,26.20%,0.57,0.404,0.483,0.886,0.219,5.9,0.351,93,30.8,0.385,148,-1,3.2,-0.3,167,99,104,96,17.50%,44.70%,32.10%,23.20%,18.40%,44.40%,37.20%,12927
2018,Bryce Harper,Nationals,RF,159,550,695,137,69,34,0,34,103,100,130,16,169,6,9,0,7,13,3,0.249,18.70%,24.30%,0.77,0.393,0.496,0.889,0.247,3.7,0.289,116,34.6,0.376,134,0.9,-2.8,2.3,208,102,92,109,23.10%,42.30%,29.50%,28.20%,11.80%,45.90%,42.30%,11579
2016,Matt Joyce,Pirates,RF,140,231,293,56,32,10,1,13,45,42,59,4,67,3,0,0,9,1,1,0.242,20.10%,22.90%,0.88,0.403,0.463,0.866,0.221,3.1,0.285,48,13.8,0.375,136,-0.4,0.3,-0.9,233,87,103,104,22.40%,47.00%,31.70%,21.30%,17.10%,47.00%,36.00%,3353
2017,Domingo Santana,Brewers,RF,151,525,607,146,87,29,0,30,88,85,73,2,178,6,3,0,12,15,4,0.278,12.00%,29.30%,0.41,0.371,0.505,0.875,0.227,4,0.363,100,26.1,0.372,127,0.9,2,0.3,134,134,101,79,30.90%,34.90%,37.10%,28.00%,11.70%,48.60%,39.70%,10348
2018,Jesse Winker,Reds,RF,89,281,334,84,61,16,0,7,38,43,49,4,46,2,1,1,6,0,0,0.299,14.70%,13.80%,1.07,0.405,0.431,0.836,0.132,1.1,0.336,53,13.9,0.366,128,-0.3,-2,0.1,163,110,97,97,8.90%,37.10%,37.10%,25.70%,11.80%,44.30%,43.90%,13590
2016,Carlos Gonzalez,Rockies,RF,150,584,632,174,105,42,2,25,87,100,46,6,129,1,1,0,10,2,2,0.298,7.30%,20.40%,0.36,0.35,0.505,0.855,0.207,3,0.346,97,22.6,0.361,110,-0.7,-2.4,1.5,84,101,103,95,16.90%,37.10%,37.50%,25.40%,20.20%,42.80%,37.10%,7287
2018,Franmil Reyes,Padres,RF,87,261,285,73,48,9,0,16,36,31,24,0,80,0,0,0,5,0,0,0.28,8.40%,28.10%,0.3,0.34,0.498,0.838,0.218,1.1,0.345,44,10.4,0.36,129,-0.2,0.2,-0.3,94,96,114,86,29.60%,33.70%,43.10%,23.20%,14.90%,40.90%,44.20%,14566
2017,Aaron Altherr,Phillies,RF,107,372,412,101,53,24,5,19,58,65,32,2,104,7,1,0,12,5,4,0.272,7.80%,25.20%,0.31,0.34,0.516,0.856,0.245,5.5,0.328,64,13.3,0.359,120,-0.9,-0.1,-0.9,86,94,97,107,18.80%,37.60%,32.30%,30.10%,20.10%,43.50%,36.40%,11270
2018,Adam Eaton,Nationals,RF,95,319,370,96,72,18,1,5,55,33,38,0,64,11,0,2,2,9,1,0.301,10.30%,17.30%,0.59,0.394,0.411,0.805,0.11,5.4,0.364,56,13,0.358,122,1.1,-0.5,0.6,114,120,110,75,7.70%,31.90%,31.90%,36.20%,18.70%,48.60%,32.70%,11205
2018,David Dahl,Rockies,RF,77,249,271,68,38,11,3,16,31,48,19,4,68,1,2,0,4,5,3,0.273,7.00%,25.10%,0.28,0.325,0.534,0.859,0.261,4.9,0.311,41,9.4,0.357,110,-0.4,-0.1,0.6,78,105,91,108,23.20%,45.40%,33.30%,21.30%,15.90%,46.50%,37.70%,13744
2018,Jose Martinez,Cardinals,RF,152,534,590,163,116,30,0,17,64,83,49,0,104,2,3,2,15,0,3,0.305,8.30%,17.60%,0.47,0.364,0.457,0.821,0.152,1.4,0.351,89,19.8,0.356,127,-1.6,0.1,-0.1,93,119,107,79,14.20%,32.40%,32.90%,34.70%,14.00%,45.50%,40.50%,7996
2018,Ben Zobrist,Cubs,RF,139,455,520,139,99,28,3,9,67,58,55,1,60,2,7,1,8,3,4,0.305,10.60%,11.50%,0.92,0.378,0.44,0.817,0.134,3.2,0.331,78,16.9,0.355,123,-1.4,1.9,0,118,99,111,87,7.40%,47.20%,31.50%,21.30%,11.90%,52.60%,35.50%,7435
2018,Gregory Polanco,Pirates,RF,130,461,535,117,56,32,6,23,75,81,61,5,117,3,7,0,11,12,2,0.254,11.40%,21.90%,0.52,0.34,0.499,0.839,0.245,6.3,0.287,79,16.8,0.353,123,1.3,-2.5,0.2,127,85,77,138,13.80%,45.70%,34.60%,19.70%,20.00%,46.00%,34.00%,12907
2017,Jay Bruce,Mets,RF,103,406,448,104,55,20,0,29,61,75,39,0,102,1,2,0,9,0,1,0.256,8.70%,22.80%,0.38,0.321,0.52,0.841,0.264,1.5,0.271,67,12,0.353,121,-0.7,-2.7,0.5,97,94,73,138,19.60%,44.10%,34.00%,21.90%,11.80%,45.80%,42.50%,9892
2018,Yasiel Puig,Dodgers,RF,125,405,444,108,63,21,1,23,60,63,36,2,87,1,2,0,15,15,5,0.267,8.10%,19.60%,0.41,0.327,0.494,0.82,0.227,4.8,0.286,64,12.3,0.349,123,0.7,1.6,-2.2,90,98,99,103,20.00%,41.90%,35.00%,23.10%,24.10%,37.50%,38.40%,14225
2017,Yasiel Puig,Dodgers,RF,152,499,570,131,77,24,2,28,72,74,64,8,100,2,5,0,21,15,6,0.263,11.20%,17.50%,0.64,0.346,0.487,0.833,0.224,4.4,0.274,83,13.3,0.349,117,0.1,-5.3,-2.4,125,78,109,101,19.40%,46.50%,30.50%,23.00%,18.30%,48.80%,32.90%,14225
2016,Hunter Pence,Giants,RF,106,395,442,114,77,23,1,13,58,57,43,1,95,1,3,0,10,1,1,0.289,9.70%,21.50%,0.45,0.357,0.451,0.808,0.162,2.5,0.348,63,11.1,0.349,119,-0.5,-2.2,-0.1,113,79,123,83,15.10%,34.00%,36.00%,30.00%,20.10%,49.80%,30.00%,8252
