Season,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,Spd,wRC+,wSB,UBR,wGDP,FB%+,BB%+,LD+%,GB%+,Hard%,Med%,Soft%,Oppo%,Cent%,Pull%,HR/FB,playerid,SS
2019,Fernando Tatis Jr.,Padres,84,334,372,106,65,13,6,22,61,53,30,1,110,5,3,0,4,16,6,0.317,8.10%,29.60%,0.27,0.379,0.59,0.969,0.272,0.41,72,25.2,0.398,7.1,150,0.4,1.8,0.8,87,91,103,109,41.90%,36.60%,21.60%,21.60%,36.60%,41.90%,31.90%,19709,N
2019,Trevor Story,Rockies,145,588,656,173,95,38,5,35,111,85,58,0,174,7,3,0,3,23,8,0.294,8.80%,26.50%,0.33,0.363,0.554,0.917,0.26,0.361,117,34.2,0.38,6.6,121,0.8,2.6,2.5,119,100,112,78,44.10%,43.70%,12.20%,28.30%,32.10%,39.60%,19.90%,12564,Y
2019,Trea Turner,Nationals,122,521,569,155,94,37,5,19,96,57,43,2,113,3,2,0,10,35,5,0.298,7.60%,19.90%,0.38,0.353,0.497,0.85,0.2,0.348,89,17.6,0.356,7.6,117,4.5,2.1,-0.1,92,85,92,110,37.80%,45.10%,17.10%,24.90%,32.70%,42.40%,14.20%,16252,N
2019,Javier Baez,Cubs,138,531,561,149,78,38,4,29,89,85,28,3,156,0,2,0,16,11,7,0.281,5.00%,27.80%,0.18,0.316,0.531,0.847,0.25,0.345,84,13.2,0.347,5.7,114,-1.1,3.4,-1.1,89,56,83,117,37.40%,44.60%,18.00%,27.90%,36.10%,36.10%,24.40%,12979,N
2019,Donovan Solano,Giants,81,215,228,71,53,13,1,4,27,23,10,0,49,1,2,0,4,0,1,0.33,4.40%,21.50%,0.2,0.36,0.456,0.815,0.126,0.409,34,5.1,0.346,2.7,116,-0.6,-0.3,0,82,50,156,86,38.10%,48.20%,13.70%,26.80%,45.20%,28.00%,8.20%,8623,N
2019,Corey Seager,Dodgers,134,489,541,133,69,44,1,19,82,87,44,3,98,4,4,0,8,1,0,0.272,8.10%,18.10%,0.45,0.335,0.483,0.817,0.211,0.303,78,9.6,0.34,3.2,113,0,2.4,1,111,92,100,91,42.30%,43.00%,14.70%,28.10%,34.70%,37.20%,12.30%,13624,N
2019,Kevin Newman,Pirates,130,493,531,152,114,20,6,12,61,64,28,2,62,7,1,2,5,16,8,0.308,5.30%,11.70%,0.45,0.353,0.446,0.8,0.138,0.333,76,9,0.339,5.5,110,-0.6,-0.4,0.8,80,60,102,115,26.70%,53.00%,20.30%,28.60%,34.10%,37.30%,9.80%,17696,N
2019,Seth Mejias-Brean,Padres,14,30,33,7,3,2,0,2,3,5,3,0,9,0,0,0,1,0,0,0.233,9.10%,27.30%,0.33,0.303,0.5,0.803,0.267,0.263,5,0.4,0.333,0.3,107,0,-0.1,-0.1,94,103,66,122,33.30%,42.90%,23.80%,23.80%,42.90%,33.30%,28.60%,13905,N
2019,Chris Taylor,Dodgers,124,366,414,96,51,29,4,12,52,52,37,3,115,4,5,2,6,8,0,0.262,8.90%,27.80%,0.32,0.333,0.462,0.794,0.199,0.344,56,4,0.331,6.4,107,1.4,0.5,0.6,98,101,126,89,38.00%,48.10%,14.00%,32.20%,33.00%,34.90%,13.60%,13757,N
2019,Jon Berti,Marlins,73,256,287,70,49,14,1,6,52,24,24,0,73,6,1,0,2,17,3,0.273,8.40%,25.40%,0.33,0.348,0.406,0.755,0.133,0.36,38,1.6,0.326,7.1,104,1.9,3.6,0.9,59,94,121,124,36.40%,44.00%,19.60%,28.80%,36.40%,34.80%,15.80%,12037,N
