,Name,Season,playerid,runsPredicted,HRsPredicted,RBIsPredicted,AVGPredicted,opsPredicted,runsActual,HRsActual,RBIsActuals,AVGActuals,OpsActuals
0,Victor Martinez,2019,393,55.21219637,14.48246427,63.62126905,0.267182193,0.784885685,#N/A,#N/A,#N/A,#N/A,#N/A
1,Juan Uribe,2019,454,19.19780765,6.436876372,35.82243955,0.206424096,0.678277966,#N/A,#N/A,#N/A,#N/A,#N/A
2,Carlos Beltran,2019,589,60.04828723,20.3851606,66.62833203,0.259667921,0.758906756,#N/A,#N/A,#N/A,#N/A,#N/A
3,Adrian Beltre,2019,639,58.4388119,18.50222077,78.93190301,0.284309548,0.79189483,#N/A,#N/A,#N/A,#N/A,#N/A
4,David Ortiz,2019,745,79.13345223,38.72541934,103.0280475,0.30990519,0.901651135,#N/A,#N/A,#N/A,#N/A,#N/A
5,A.J. Pierzynski,2019,746,17.08559928,0.320518063,31.09622202,0.232241519,0.619422853,#N/A,#N/A,#N/A,#N/A,#N/A
6,Todd Frazier,2019,785,62.49203313,25.03575466,86.23453902,0.214751706,0.805506695,63,21,67,0.251,0.772
7,Brandon Phillips,2019,791,66.03045241,10.66142212,59.03162716,0.272957411,0.726754515,#N/A,#N/A,#N/A,#N/A,#N/A
8,Ichiro Suzuki,2019,1101,43.55989965,4.989826517,32.23593259,0.264199152,0.683261895,#N/A,#N/A,#N/A,#N/A,#N/A
9,Andrew Romine,2019,1159,35.32451285,-0.035581729,32.85009918,0.233131978,0.701029578,#N/A,#N/A,#N/A,#N/A,#N/A
10,Albert Pujols,2019,1177,60.23793688,21.40709289,65.32553539,0.251113393,0.78981534,55,23,93,0.244,0.734
11,Chris Johnson,2019,1191,22.35402849,3.406959002,15.19379245,0.223881781,0.710248983,#N/A,#N/A,#N/A,#N/A,#N/A
12,Alex Rodriguez,2019,1274,15.4172134,9.48997853,37.79527438,0.18502067,0.658477003,#N/A,#N/A,#N/A,#N/A,#N/A
13,Mark Teixeira,2019,1281,45.71036771,20.02075731,46.47383616,0.19780026,0.762832359,#N/A,#N/A,#N/A,#N/A,#N/A
14,Jayson Werth,2019,1327,57.52390253,17.19395865,55.08505249,0.246764576,0.763470506,#N/A,#N/A,#N/A,#N/A,#N/A
15,Wilson Ramos,2019,1433,37.99548521,16.51055661,44.77863403,0.284149218,0.724835152,52,14,73,0.288,0.768
