"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2016","Cubs","2332","6335","199","808","767","66","10.4 %","21.1 %",".173",".302",".256",".343",".429",".333","106","17.3","61.3","104.8","37.1"
"2016","Red Sox","2284","6320","208","878","836","83","8.8 %","18.4 %",".179",".320",".282",".348",".461",".346","113","10.6","109.9","15.9","35.2"
"2018","Dodgers","2574","6358","235","804","756","75","10.2 %","22.6 %",".191",".294",".250",".333",".442",".333","111","11.4","99.1","38.3","34.8"
"2017","Astros","2313","6271","238","896","854","98","8.1 %","17.3 %",".196",".309",".282",".346",".478",".349","121","-0.4","162.6","-37.9","33.7"
"2017","Dodgers","2464","6191","221","770","730","77","10.5 %","22.3 %",".188",".293",".249",".334",".437",".330","104","5.8","40.7","90.2","33.3"
"2018","Red Sox","2345","6302","208","876","829","125","9.0 %","19.9 %",".185",".309",".268",".339",".453",".340","110","-5.1","73.1","30.9","32.1"
"2018","Yankees","2269","6271","267","851","821","63","10.0 %","22.7 %",".202",".285",".249",".329",".451",".335","112","14.6","105.0","-4.6","31.7"
"2018","Athletics","2403","6255","227","813","778","35","8.8 %","22.1 %",".187",".294",".252",".325",".439",".329","111","-5.8","77.8","23.0","31.7"
"2017","Yankees","2294","6354","241","858","821","90","9.7 %","21.8 %",".185",".304",".262",".339",".447",".336","109","11.1","82.3","-6.5","29.2"
"2018","Indians","2413","6300","216","818","786","135","8.8 %","18.9 %",".176",".291",".259",".332",".434",".330","104","13.7","45.6","16.8","27.9"
"2017","Marlins","2399","6248","194","778","743","91","7.8 %","20.5 %",".163",".313",".267",".331",".431",".325","101","1.4","9.0","65.7","27.9"
"2018","Brewers","2496","6210","218","754","711","124","8.6 %","23.5 %",".172",".302",".252",".323",".424",".322","99","8.2","3.0","68.3","27.5"
"2017","Cubs","2420","6283","223","822","785","62","9.9 %","22.3 %",".182",".302",".255",".338",".437",".331","101","-6.8","4.8","57.6","26.7"
"2017","Indians","2367","6234","212","818","780","88","9.7 %","18.5 %",".186",".295",".263",".339",".449",".336","105","11.1","48.8","6.8","26.7"
"2017","Cardinals","2416","6219","196","761","728","81","9.5 %","21.7 %",".170",".304",".256",".334",".426",".326","101","2.0","8.4","51.4","26.3"
"2018","Braves","2377","6251","175","759","717","90","8.2 %","20.6 %",".161",".302",".257",".324",".417",".319","97","12.6","-10.8","66.8","26.0"
"2017","Twins","2324","6261","206","815","781","95","9.5 %","21.4 %",".174",".306",".260",".334",".434",".329","103","14.4","39.7","7.2","26.0"
"2018","Astros","2348","6146","205","797","763","71","9.2 %","19.5 %",".170",".289",".255",".329",".425",".327","109","-7.0","60.1","-11.5","25.9"
"2016","Giants","2404","6271","130","715","675","79","9.1 %","17.7 %",".140",".299",".258",".329",".398",".315","96","-2.8","-34.8","92.8","25.9"
"2018","Cardinals","2464","6200","205","759","725","63","8.5 %","22.3 %",".160",".294",".249",".321",".409",".316","99","12.9","8.3","47.1","25.8"
"2016","Dodgers","2491","6164","189","725","680","45","8.5 %","21.4 %",".160",".294",".249",".319",".409",".314","97","2.0","-20.2","77.9","25.5"
"2016","Blue Jays","2349","6233","221","759","728","54","10.1 %","21.9 %",".178",".289",".248",".330",".426",".327","104","-9.0","21.9","8.8","25.1"
"2018","Cubs","2490","6369","167","761","722","66","9.0 %","21.8 %",".152",".313",".258",".333",".410",".321","100","2.2","-0.9","44.0","25.1"
"2016","Indians","2366","6155","185","777","733","134","8.6 %","20.2 %",".168",".304",".262",".329",".430",".326","100","15.8","14.1","16.8","24.9"
"2018","Angels","2467","6108","214","721","690","89","8.4 %","21.3 %",".171",".277",".242",".313",".413",".313","100","2.8","-1.1","36.7","24.4"
"2017","Nationals","2322","6214","215","819","796","108","8.7 %","21.4 %",".183",".311",".266",".332",".449",".331","99","11.9","2.4","38.7","24.4"
"2018","Nationals","2441","6288","191","771","737","119","10.0 %","20.5 %",".164",".297",".254",".335",".419",".325","100","8.4","11.5","22.2","23.8"
"2016","Astros","2334","6204","198","724","689","102","8.9 %","23.4 %",".170",".298",".247",".319",".417",".317","101","-5.4","2.8","14.6","23.7"
"2016","Mets","2430","6115","218","671","649","42","8.5 %","21.3 %",".171",".282",".246",".316",".417",".315","99","-8.6","-17.7","55.9","23.4"
"2018","Rays","2371","6195","150","716","664","128","8.7 %","22.4 %",".148",".317",".258",".333",".406",".322","106","-0.3","45.9","-23.7","23.4"
"2017","Mets","2396","6169","224","735","713","58","8.6 %","20.9 %",".184",".286",".250",".320",".434",".322","101","-11.3","-7.2","32.1","22.6"
"2016","Nationals","2302","6202","203","763","735","121","8.6 %","20.2 %",".170",".293",".256",".325",".426",".322","96","16.0","-16.7","41.2","22.2"
"2016","Cardinals","2400","6223","225","779","745","35","8.5 %","21.2 %",".187",".294",".255",".325",".443",".329","105","-17.1","18.9","2.8","22.0"
"2017","Rays","2345","6147","228","694","671","88","8.9 %","25.0 %",".178",".296",".245",".317",".422",".316","99","11.2","1.1","6.5","21.7"
"2017","Mariners","2323","6166","200","750","714","89","7.9 %","20.5 %",".165",".300",".259",".325",".424",".321","103","-12.6","7.2","-0.8","21.6"
"2016","Mariners","2371","6227","223","768","735","56","8.1 %","20.7 %",".171",".297",".259",".326",".430",".325","108","-13.5","44.6","-51.2","21.3"
"2016","Marlins","2460","6133","128","655","626","71","7.3 %","19.8 %",".131",".314",".263",".322",".394",".309","95","2.4","-40.1","57.4","21.3"
"2016","Tigers","2295","6127","211","750","719","58","8.0 %","21.3 %",".171",".312",".267",".331",".438",".330","106","-16.9","27.0","-31.9","21.1"
"2016","Orioles","2257","6089","253","744","710","19","7.7 %","21.7 %",".188",".291",".256",".317",".443",".326","103","2.5","22.6","-29.8","20.7"
"2018","Diamondbacks","2409","6157","176","693","658","79","9.1 %","23.7 %",".162",".286",".235",".310",".397",".306","89","7.1","-76.0","79.2","20.3"
"2017","Diamondbacks","2360","6224","220","812","776","103","9.3 %","23.4 %",".190",".306",".254",".329",".445",".329","95","12.4","-27.9","21.1","19.7"
"2017","Reds","2321","6213","219","753","715","120","9.1 %","21.4 %",".179",".294",".253",".329",".433",".325","95","-5.3","-47.4","38.7","19.4"
"2016","Angels","2419","6041","156","717","686","73","7.8 %","16.4 %",".145",".289",".260",".322",".405",".314","99","-16.8","-27.4","6.4","19.2"
"2016","Rays","2281","6046","216","672","647","60","7.4 %","24.5 %",".182",".293",".243",".307",".426",".315","98","-0.4","-13.0","-9.0","19.1"
"2016","Pirates","2458","6261","153","729","696","110","9.0 %","21.3 %",".144",".311",".257",".332",".402",".318","97","-6.7","-26.5","15.6","18.8"
"2017","Angels","2392","6073","186","710","678","136","8.6 %","19.7 %",".155",".277",".243",".315",".397",".307","92","1.4","-61.3","42.6","18.8"
"2016","Rockies","2369","6236","204","845","805","66","7.9 %","21.3 %",".182",".326",".275",".336",".457",".339","94","1.1","-45.0","32.2","18.5"
"2018","Mariners","2373","6087","176","677","644","79","7.1 %","20.1 %",".154",".295",".254",".314",".408",".313","100","-7.0","-6.8","-17.4","18.2"
"2017","Red Sox","2334","6338","168","785","735","106","9.0 %","19.3 %",".149",".300",".258",".329",".407",".316","91","4.9","-64.0","30.2","18.2"
"2018","Pirates","2293","6066","157","692","665","70","7.8 %","20.3 %",".154",".298",".254",".317",".407",".312","95","-13.3","-47.6","29.1","17.7"
"2017","Athletics","2350","6126","234","739","708","57","9.2 %","24.3 %",".190",".294",".246",".319",".436",".323","103","-5.5","19.9","-53.6","17.5"
"2017","Brewers","2423","6135","224","732","695","128","8.9 %","25.6 %",".180",".308",".249",".322",".429",".321","94","2.4","-48.6","20.7","17.3"
"2018","Reds","2402","6240","172","696","665","77","9.0 %","22.1 %",".148",".307",".254",".328",".401",".317","95","-1.9","-44.0","8.6","16.6"
"2018","Rockies","2368","6178","210","780","748","95","8.2 %","22.6 %",".179",".304",".256",".322",".435",".325","88","3.2","-88.7","53.2","16.4"
"2016","Rangers","2324","6089","215","765","746","99","7.2 %","20.0 %",".172",".298",".262",".322",".433",".324","95","2.0","-37.0","-14.5","16.2"
"2018","Twins","2351","6154","166","738","704","47","8.7 %","21.6 %",".155",".298",".250",".318",".405",".313","96","0.6","-30.6","-17.4","16.0"
"2017","Braves","2374","6216","165","732","706","77","7.6 %","19.0 %",".150",".305",".263",".326",".412",".316","90","4.3","-79.8","35.0","15.9"
"2016","Diamondbacks","2399","6260","190","752","709","137","7.4 %","22.8 %",".171",".315",".261",".320",".432",".321","93","17.7","-39.9","-2.1","15.6"
"2016","Yankees","2308","6058","183","680","647","72","7.8 %","19.6 %",".153",".289",".252",".314",".405",".311","92","10.6","-49.7","-7.3","15.5"
"2018","Mets","2333","6177","170","676","649","71","9.2 %","22.7 %",".154",".283",".234",".312",".389",".305","94","2.6","-40.1","-8.3","15.0"
"2016","White Sox","2217","6131","168","686","656","77","7.4 %","21.0 %",".153",".304",".257",".317",".410",".314","97","-2.5","-27.2","-38.0","15.0"
"2017","Tigers","2336","6150","187","735","699","65","8.2 %","21.3 %",".166",".306",".258",".324",".424",".321","98","-19.8","-37.8","-29.4","14.2"
"2017","White Sox","2289","6059","186","706","670","71","6.6 %","23.1 %",".161",".309",".256",".314",".417",".313","95","-1.9","-36.4","-29.2","14.1"
"2017","Rockies","2374","6201","192","824","793","59","8.4 %","22.7 %",".171",".332",".273",".338",".444",".332","88","-6.4","-105.8","40.0","13.7"
"2018","Blue Jays","2435","6076","217","709","680","47","8.2 %","22.8 %",".183",".286",".244",".312",".427",".319","101","-27.1","-22.5","-49.7","13.2"
"2016","Brewers","2342","6061","194","671","641","181","9.9 %","25.5 %",".163",".304",".244",".322",".407",".315","92","5.2","-55.2","-9.3","12.7"
"2016","Twins","2290","6245","200","722","690","91","8.2 %","22.8 %",".171",".300",".251",".316",".421",".317","95","7.8","-28.5","-65.9","12.4"
"2018","Phillies","2474","6136","186","677","653","69","9.5 %","24.8 %",".158",".289",".234",".314",".393",".307","90","2.9","-71.4","-3.1","12.2"
"2016","Reds","2287","6094","164","716","678","139","7.4 %","21.1 %",".152",".303",".256",".316",".408",".311","89","-4.3","-89.9","18.6","12.1"
"2018","Royals","2184","6063","155","638","606","117","7.0 %","21.6 %",".146",".293",".245",".305",".392",".303","88","-7.4","-97.1","11.6","11.8"
"2016","Royals","2244","6052","147","675","640","121","6.3 %","20.2 %",".139",".309",".261",".312",".400",".307","89","-4.3","-83.9","-9.8","11.8"
"2018","Rangers","2300","6163","194","737","696","74","9.0 %","24.1 %",".164",".292",".240",".318",".404",".315","89","7.2","-77.4","-15.1","11.4"
"2017","Orioles","2351","6140","232","743","713","32","6.4 %","23.0 %",".175",".306",".260",".312",".435",".318","95","-14.9","-51.3","-44.9","11.3"
"2017","Royals","2342","6027","193","702","660","91","6.5 %","19.3 %",".160",".295",".259",".311",".420",".312","91","2.5","-65.6","-28.5","11.1"
"2016","Padres","2355","6000","177","686","654","125","7.5 %","25.0 %",".155",".291",".235",".299",".390",".297","84","24.8","-92.3","14.0","11.1"
"2017","Blue Jays","2455","6154","222","693","661","53","8.8 %","21.6 %",".172",".276",".240",".312",".412",".312","93","-15.8","-72.6","-30.2","10.7"
"2017","Giants","2372","6137","128","639","612","76","7.6 %","19.6 %",".132",".294",".249",".309",".380",".296","83","2.6","-134.1","38.5","10.5"
