Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
2019,Astros,2309,6394,288,920,891,67,10.10%,18.20%,0.221,0.296,0.274,0.352,0.495,0.355,125,-9.5,196.6,-2.5,40.8
2019,Dodgers,2413,6281,279,886,861,57,9.70%,21.60%,0.215,0.291,0.257,0.338,0.472,0.338,111,11.9,102.9,51.7,34.8
2018,Dodgers,2574,6358,235,804,756,75,10.20%,22.60%,0.191,0.294,0.25,0.333,0.442,0.333,111,11.4,99.1,38.3,34.8
2017,Astros,2313,6271,238,896,854,98,8.10%,17.30%,0.196,0.309,0.282,0.346,0.478,0.349,121,-0.4,162.6,-37.9,33.7
2017,Dodgers,2464,6191,221,770,730,77,10.50%,22.30%,0.188,0.293,0.249,0.334,0.437,0.33,104,5.8,40.7,90.2,33.3
2019,Yankees,2312,6245,306,943,904,55,9.10%,23.00%,0.222,0.306,0.267,0.339,0.49,0.346,117,-0.8,130.8,-14.5,32.7
2018,Red Sox,2345,6302,208,876,829,125,9.00%,19.90%,0.185,0.309,0.268,0.339,0.453,0.34,110,-5.1,73.1,30.9,32.1
2018,Yankees,2269,6271,267,851,821,63,10.00%,22.70%,0.202,0.285,0.249,0.329,0.451,0.335,112,14.6,105,-4.6,31.7
2018,Athletics,2403,6255,227,813,778,35,8.80%,22.10%,0.187,0.294,0.252,0.325,0.439,0.329,111,-5.8,77.8,23,31.7
2019,Twins,2320,6392,307,939,906,28,8.20%,20.90%,0.224,0.3,0.27,0.338,0.494,0.347,116,-8.4,120.2,-26.7,31
2017,Yankees,2294,6354,241,858,821,90,9.70%,21.80%,0.185,0.304,0.262,0.339,0.447,0.336,109,11.1,82.3,-6.5,29.2
2019,Athletics,2363,6269,257,845,800,49,9.20%,21.30%,0.199,0.282,0.249,0.327,0.448,0.327,107,-1.7,53.4,18.3,28.5
2018,Indians,2413,6300,216,818,786,135,8.80%,18.90%,0.176,0.291,0.259,0.332,0.434,0.33,104,13.7,45.6,16.8,27.9
2017,Marlins,2399,6248,194,778,743,91,7.80%,20.50%,0.163,0.313,0.267,0.331,0.431,0.325,101,1.4,9,65.7,27.9
2019,Red Sox,2455,6475,245,901,857,68,9.10%,21.30%,0.197,0.313,0.269,0.34,0.466,0.338,106,-7,43.2,10.9,27.5
2018,Brewers,2496,6210,218,754,711,124,8.60%,23.50%,0.172,0.302,0.252,0.323,0.424,0.322,99,8.2,3,68.3,27.5
2019,Braves,2411,6302,249,855,824,89,9.80%,23.30%,0.195,0.305,0.258,0.336,0.452,0.332,102,11,26.4,46.2,26.9
